prn_0.IQI.bin S3FIFO-0.0100-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size      711, 5585886 req, miss ratio 0.3739, byte miss ratio 0.3739
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size     2134, 5585886 req, miss ratio 0.3430, byte miss ratio 0.3430
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size     7113, 5585886 req, miss ratio 0.3154, byte miss ratio 0.3154
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size    21341, 5585886 req, miss ratio 0.2825, byte miss ratio 0.2825
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size    71138, 5585886 req, miss ratio 0.2162, byte miss ratio 0.2162
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size   142277, 5585886 req, miss ratio 0.1751, byte miss ratio 0.1751
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size   284554, 5585886 req, miss ratio 0.1387, byte miss ratio 0.1387
prn_0.IQI.bin S3FIFO-0.1500-1.9000 cache size   569108, 5585886 req, miss ratio 0.1287, byte miss ratio 0.1287
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size      711, 5585886 req, miss ratio 0.3913, byte miss ratio 0.3913
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size     2134, 5585886 req, miss ratio 0.3577, byte miss ratio 0.3577
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size     7113, 5585886 req, miss ratio 0.3328, byte miss ratio 0.3328
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size    21341, 5585886 req, miss ratio 0.3033, byte miss ratio 0.3033
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size    71138, 5585886 req, miss ratio 0.2380, byte miss ratio 0.2380
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size   142277, 5585886 req, miss ratio 0.1957, byte miss ratio 0.1957
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size   284554, 5585886 req, miss ratio 0.1545, byte miss ratio 0.1545
prn_0.IQI.bin S3FIFO-0.9500-0.9000 cache size   569108, 5585886 req, miss ratio 0.1382, byte miss ratio 0.1382
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size      711, 5585886 req, miss ratio 0.3772, byte miss ratio 0.3772
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size     2134, 5585886 req, miss ratio 0.3457, byte miss ratio 0.3457
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size     7113, 5585886 req, miss ratio 0.3236, byte miss ratio 0.3236
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size    21341, 5585886 req, miss ratio 0.2942, byte miss ratio 0.2942
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size    71138, 5585886 req, miss ratio 0.2277, byte miss ratio 0.2277
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size   142277, 5585886 req, miss ratio 0.1859, byte miss ratio 0.1859
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size   284554, 5585886 req, miss ratio 0.1419, byte miss ratio 0.1419
prn_0.IQI.bin S3FIFO-0.6000-1.9000 cache size   569108, 5585886 req, miss ratio 0.1331, byte miss ratio 0.1331
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size      711, 5585886 req, miss ratio 0.3883, byte miss ratio 0.3883
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size     2134, 5585886 req, miss ratio 0.3548, byte miss ratio 0.3548
prn_0.IQI.bin S3FIFO-0.0100-0.9000 cache size     7113, 5585886 req, miss ratio 0.3225, byte miss ratio 0.3225
