cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size        8, 7940006 req, miss ratio 0.5004, byte miss ratio 0.5004
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size       25, 7940006 req, miss ratio 0.2343, byte miss ratio 0.2343
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size       86, 7940006 req, miss ratio 0.0356, byte miss ratio 0.0356
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size      259, 7940006 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size      865, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size     1731, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size     3463, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.4000-1.9000 cache size     6926, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size        8, 7940006 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size       25, 7940006 req, miss ratio 0.2095, byte miss ratio 0.2095
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size       86, 7940006 req, miss ratio 0.0283, byte miss ratio 0.0283
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size      259, 7940006 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size      865, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size     1731, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size     3463, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.1000-1.9000 cache size     6926, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size        8, 7940006 req, miss ratio 0.5663, byte miss ratio 0.5663
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size       25, 7940006 req, miss ratio 0.2823, byte miss ratio 0.2823
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size       86, 7940006 req, miss ratio 0.0497, byte miss ratio 0.0497
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size      259, 7940006 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size      865, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size     1731, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size     3463, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.8500-0.9000 cache size     6926, 7940006 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns475 S3FIFO-0.5500-1.9000 cache size        8, 7940006 req, miss ratio 0.5253, byte miss ratio 0.5253
