io_traces.ns138 S3FIFO-0.7500-1.9000 cache size     1613, 18800000 req, miss ratio 0.1205, byte miss ratio 0.1205
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size     4841, 18800000 req, miss ratio 0.1156, byte miss ratio 0.1156
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size    16139, 18800000 req, miss ratio 0.1110, byte miss ratio 0.1110
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size    48419, 18800000 req, miss ratio 0.1089, byte miss ratio 0.1089
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size   161398, 18800000 req, miss ratio 0.1029, byte miss ratio 0.1029
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size   322796, 18800000 req, miss ratio 0.0976, byte miss ratio 0.0976
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size   645592, 18800000 req, miss ratio 0.0914, byte miss ratio 0.0914
io_traces.ns138 S3FIFO-0.7500-1.9000 cache size  1291184, 18800000 req, miss ratio 0.0863, byte miss ratio 0.0863
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size     1613, 18800000 req, miss ratio 0.1191, byte miss ratio 0.1191
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size     4841, 18800000 req, miss ratio 0.1148, byte miss ratio 0.1148
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size    16139, 18800000 req, miss ratio 0.1096, byte miss ratio 0.1096
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size    48419, 18800000 req, miss ratio 0.1067, byte miss ratio 0.1067
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size   161398, 18800000 req, miss ratio 0.0996, byte miss ratio 0.0996
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size   322796, 18800000 req, miss ratio 0.0957, byte miss ratio 0.0957
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size   645592, 18800000 req, miss ratio 0.0911, byte miss ratio 0.0911
io_traces.ns138 S3FIFO-0.0250-0.9000 cache size  1291184, 18800000 req, miss ratio 0.0863, byte miss ratio 0.0863
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size     1613, 18800000 req, miss ratio 0.1163, byte miss ratio 0.1163
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size     4841, 18800000 req, miss ratio 0.1144, byte miss ratio 0.1144
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size    16139, 18800000 req, miss ratio 0.1095, byte miss ratio 0.1095
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size    48419, 18800000 req, miss ratio 0.1067, byte miss ratio 0.1067
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size   161398, 18800000 req, miss ratio 0.0994, byte miss ratio 0.0994
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size   322796, 18800000 req, miss ratio 0.0956, byte miss ratio 0.0956
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size   645592, 18800000 req, miss ratio 0.0911, byte miss ratio 0.0911
io_traces.ns138 S3FIFO-0.2500-1.9000 cache size  1291184, 18800000 req, miss ratio 0.0863, byte miss ratio 0.0863
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size     1613, 18800000 req, miss ratio 0.1243, byte miss ratio 0.1243
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size     4841, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size    16139, 18800000 req, miss ratio 0.1122, byte miss ratio 0.1122
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size    48419, 18800000 req, miss ratio 0.1091, byte miss ratio 0.1091
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size   161398, 18800000 req, miss ratio 0.1042, byte miss ratio 0.1042
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size   322796, 18800000 req, miss ratio 0.0985, byte miss ratio 0.0985
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size   645592, 18800000 req, miss ratio 0.0923, byte miss ratio 0.0923
io_traces.ns138 S3FIFO-0.8500-0.9000 cache size  1291184, 18800000 req, miss ratio 0.0863, byte miss ratio 0.0863
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size     1613, 18800000 req, miss ratio 0.1245, byte miss ratio 0.1245
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size     4841, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size    16139, 18800000 req, miss ratio 0.1124, byte miss ratio 0.1124
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size    48419, 18800000 req, miss ratio 0.1092, byte miss ratio 0.1092
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size   161398, 18800000 req, miss ratio 0.1047, byte miss ratio 0.1047
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size   322796, 18800000 req, miss ratio 0.0989, byte miss ratio 0.0989
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size   645592, 18800000 req, miss ratio 0.0923, byte miss ratio 0.0923
io_traces.ns138 S3FIFO-0.8500-1.9000 cache size  1291184, 18800000 req, miss ratio 0.0863, byte miss ratio 0.0863
io_traces.ns138 S3FIFO-0.6000-0.9000 cache size     1613, 18800000 req, miss ratio 0.1176, byte miss ratio 0.1176
io_traces.ns138 S3FIFO-0.6000-0.9000 cache size     4841, 18800000 req, miss ratio 0.1149, byte miss ratio 0.1149
io_traces.ns138 S3FIFO-0.6000-0.9000 cache size    16139, 18800000 req, miss ratio 0.1104, byte miss ratio 0.1104
