tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size      235, 1386469 req, miss ratio 0.4676, byte miss ratio 0.4676
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size      706, 1386469 req, miss ratio 0.4630, byte miss ratio 0.4630
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size     2353, 1386469 req, miss ratio 0.4591, byte miss ratio 0.4591
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size     7060, 1386469 req, miss ratio 0.4580, byte miss ratio 0.4580
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size    23536, 1386469 req, miss ratio 0.3984, byte miss ratio 0.3984
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size    47072, 1386469 req, miss ratio 0.3485, byte miss ratio 0.3485
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size    94144, 1386469 req, miss ratio 0.2143, byte miss ratio 0.2143
tencentBlock.ns6032 S3FIFO-0.1500-0.9000 cache size   188288, 1386469 req, miss ratio 0.1708, byte miss ratio 0.1708
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size      235, 1386469 req, miss ratio 0.4675, byte miss ratio 0.4675
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size      706, 1386469 req, miss ratio 0.4636, byte miss ratio 0.4636
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size     2353, 1386469 req, miss ratio 0.4593, byte miss ratio 0.4593
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size     7060, 1386469 req, miss ratio 0.4583, byte miss ratio 0.4583
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size    23536, 1386469 req, miss ratio 0.4185, byte miss ratio 0.4185
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size    47072, 1386469 req, miss ratio 0.3775, byte miss ratio 0.3775
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size    94144, 1386469 req, miss ratio 0.2490, byte miss ratio 0.2490
tencentBlock.ns6032 S3FIFO-0.6000-0.9000 cache size   188288, 1386469 req, miss ratio 0.1750, byte miss ratio 0.1750
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size      235, 1386469 req, miss ratio 0.5145, byte miss ratio 0.5145
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size      706, 1386469 req, miss ratio 0.4656, byte miss ratio 0.4656
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size     2353, 1386469 req, miss ratio 0.4597, byte miss ratio 0.4597
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size     7060, 1386469 req, miss ratio 0.4391, byte miss ratio 0.4391
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size    23536, 1386469 req, miss ratio 0.4014, byte miss ratio 0.4014
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size    47072, 1386469 req, miss ratio 0.3163, byte miss ratio 0.3163
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size    94144, 1386469 req, miss ratio 0.2093, byte miss ratio 0.2093
tencentBlock.ns6032 S3FIFO-0.0250-1.9000 cache size   188288, 1386469 req, miss ratio 0.1708, byte miss ratio 0.1708
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size      235, 1386469 req, miss ratio 0.4685, byte miss ratio 0.4685
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size      706, 1386469 req, miss ratio 0.4634, byte miss ratio 0.4634
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size     2353, 1386469 req, miss ratio 0.4593, byte miss ratio 0.4593
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size     7060, 1386469 req, miss ratio 0.4586, byte miss ratio 0.4586
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size    23536, 1386469 req, miss ratio 0.4234, byte miss ratio 0.4234
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size    47072, 1386469 req, miss ratio 0.3778, byte miss ratio 0.3778
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size    94144, 1386469 req, miss ratio 0.2488, byte miss ratio 0.2488
tencentBlock.ns6032 S3FIFO-0.6500-1.9000 cache size   188288, 1386469 req, miss ratio 0.1760, byte miss ratio 0.1760
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size      235, 1386469 req, miss ratio 0.4737, byte miss ratio 0.4737
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size      706, 1386469 req, miss ratio 0.4647, byte miss ratio 0.4647
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size     2353, 1386469 req, miss ratio 0.4594, byte miss ratio 0.4594
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size     7060, 1386469 req, miss ratio 0.4580, byte miss ratio 0.4580
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size    23536, 1386469 req, miss ratio 0.3955, byte miss ratio 0.3955
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size    47072, 1386469 req, miss ratio 0.3210, byte miss ratio 0.3210
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size    94144, 1386469 req, miss ratio 0.2100, byte miss ratio 0.2100
tencentBlock.ns6032 S3FIFO-0.0500-0.9000 cache size   188288, 1386469 req, miss ratio 0.1708, byte miss ratio 0.1708
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size      235, 1386469 req, miss ratio 0.4663, byte miss ratio 0.4663
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size      706, 1386469 req, miss ratio 0.4634, byte miss ratio 0.4634
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size     2353, 1386469 req, miss ratio 0.4591, byte miss ratio 0.4591
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size     7060, 1386469 req, miss ratio 0.4581, byte miss ratio 0.4581
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size    23536, 1386469 req, miss ratio 0.4158, byte miss ratio 0.4158
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size    47072, 1386469 req, miss ratio 0.3698, byte miss ratio 0.3698
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size    94144, 1386469 req, miss ratio 0.2332, byte miss ratio 0.2332
tencentBlock.ns6032 S3FIFO-0.4500-0.9000 cache size   188288, 1386469 req, miss ratio 0.1737, byte miss ratio 0.1737
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size      235, 1386469 req, miss ratio 0.4686, byte miss ratio 0.4686
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size      706, 1386469 req, miss ratio 0.4637, byte miss ratio 0.4637
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size     2353, 1386469 req, miss ratio 0.4594, byte miss ratio 0.4594
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size     7060, 1386469 req, miss ratio 0.4584, byte miss ratio 0.4584
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size    23536, 1386469 req, miss ratio 0.4129, byte miss ratio 0.4129
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size    47072, 1386469 req, miss ratio 0.3779, byte miss ratio 0.3779
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size    94144, 1386469 req, miss ratio 0.2488, byte miss ratio 0.2488
tencentBlock.ns6032 S3FIFO-0.6500-0.9000 cache size   188288, 1386469 req, miss ratio 0.1760, byte miss ratio 0.1760
tencentBlock.ns6032 S3FIFO-0.4000-0.9000 cache size      235, 1386469 req, miss ratio 0.4661, byte miss ratio 0.4661
tencentBlock.ns6032 S3FIFO-0.4000-0.9000 cache size      706, 1386469 req, miss ratio 0.4630, byte miss ratio 0.4630
