tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size      950, 6904761 req, miss ratio 0.5408, byte miss ratio 0.5408
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size     2852, 6904761 req, miss ratio 0.3892, byte miss ratio 0.3892
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size     9509, 6904761 req, miss ratio 0.3288, byte miss ratio 0.3288
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size    28527, 6904761 req, miss ratio 0.2830, byte miss ratio 0.2830
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size    95092, 6904761 req, miss ratio 0.1980, byte miss ratio 0.1980
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size   190185, 6904761 req, miss ratio 0.1508, byte miss ratio 0.1508
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size   380371, 6904761 req, miss ratio 0.1406, byte miss ratio 0.1406
tencentBlock.ns1117 S3FIFO-0.1500-1.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size      950, 6904761 req, miss ratio 0.5390, byte miss ratio 0.5390
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size     2852, 6904761 req, miss ratio 0.4052, byte miss ratio 0.4052
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size     9509, 6904761 req, miss ratio 0.3355, byte miss ratio 0.3355
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size    28527, 6904761 req, miss ratio 0.2909, byte miss ratio 0.2909
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size    95092, 6904761 req, miss ratio 0.2002, byte miss ratio 0.2002
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size   190185, 6904761 req, miss ratio 0.1588, byte miss ratio 0.1588
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size   380371, 6904761 req, miss ratio 0.1432, byte miss ratio 0.1432
tencentBlock.ns1117 S3FIFO-0.0100-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size      950, 6904761 req, miss ratio 0.5688, byte miss ratio 0.5688
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size     2852, 6904761 req, miss ratio 0.3935, byte miss ratio 0.3935
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size     9509, 6904761 req, miss ratio 0.3465, byte miss ratio 0.3465
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size    28527, 6904761 req, miss ratio 0.2850, byte miss ratio 0.2850
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size    95092, 6904761 req, miss ratio 0.2056, byte miss ratio 0.2056
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size   190185, 6904761 req, miss ratio 0.1520, byte miss ratio 0.1520
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size   380371, 6904761 req, miss ratio 0.1397, byte miss ratio 0.1397
tencentBlock.ns1117 S3FIFO-0.3500-1.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size      950, 6904761 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size     2852, 6904761 req, miss ratio 0.4170, byte miss ratio 0.4170
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size     9509, 6904761 req, miss ratio 0.3557, byte miss ratio 0.3557
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size    28527, 6904761 req, miss ratio 0.3024, byte miss ratio 0.3024
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size    95092, 6904761 req, miss ratio 0.2085, byte miss ratio 0.2085
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size   190185, 6904761 req, miss ratio 0.1640, byte miss ratio 0.1640
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size   380371, 6904761 req, miss ratio 0.1457, byte miss ratio 0.1457
tencentBlock.ns1117 S3FIFO-0.0010-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size      950, 6904761 req, miss ratio 0.5805, byte miss ratio 0.5805
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size     2852, 6904761 req, miss ratio 0.3990, byte miss ratio 0.3990
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size     9509, 6904761 req, miss ratio 0.3486, byte miss ratio 0.3486
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size    28527, 6904761 req, miss ratio 0.2803, byte miss ratio 0.2803
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size    95092, 6904761 req, miss ratio 0.2097, byte miss ratio 0.2097
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size   190185, 6904761 req, miss ratio 0.1543, byte miss ratio 0.1543
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size   380371, 6904761 req, miss ratio 0.1399, byte miss ratio 0.1399
tencentBlock.ns1117 S3FIFO-0.4500-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size      950, 6904761 req, miss ratio 0.5363, byte miss ratio 0.5363
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size     2852, 6904761 req, miss ratio 0.3939, byte miss ratio 0.3939
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size     9509, 6904761 req, miss ratio 0.3306, byte miss ratio 0.3306
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size    28527, 6904761 req, miss ratio 0.2835, byte miss ratio 0.2835
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size    95092, 6904761 req, miss ratio 0.1985, byte miss ratio 0.1985
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size   190185, 6904761 req, miss ratio 0.1552, byte miss ratio 0.1552
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size   380371, 6904761 req, miss ratio 0.1417, byte miss ratio 0.1417
tencentBlock.ns1117 S3FIFO-0.0250-1.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size      950, 6904761 req, miss ratio 0.5923, byte miss ratio 0.5923
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size     2852, 6904761 req, miss ratio 0.4139, byte miss ratio 0.4139
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size     9509, 6904761 req, miss ratio 0.3530, byte miss ratio 0.3530
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size    28527, 6904761 req, miss ratio 0.2837, byte miss ratio 0.2837
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size    95092, 6904761 req, miss ratio 0.2148, byte miss ratio 0.2148
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size   190185, 6904761 req, miss ratio 0.1586, byte miss ratio 0.1586
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size   380371, 6904761 req, miss ratio 0.1406, byte miss ratio 0.1406
tencentBlock.ns1117 S3FIFO-0.5500-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size      950, 6904761 req, miss ratio 0.5739, byte miss ratio 0.5739
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size     2852, 6904761 req, miss ratio 0.3957, byte miss ratio 0.3957
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size     9509, 6904761 req, miss ratio 0.3464, byte miss ratio 0.3464
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size    28527, 6904761 req, miss ratio 0.2818, byte miss ratio 0.2818
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size    95092, 6904761 req, miss ratio 0.2072, byte miss ratio 0.2072
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size   190185, 6904761 req, miss ratio 0.1532, byte miss ratio 0.1532
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size   380371, 6904761 req, miss ratio 0.1399, byte miss ratio 0.1399
tencentBlock.ns1117 S3FIFO-0.4000-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size      950, 6904761 req, miss ratio 0.5760, byte miss ratio 0.5760
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size     2852, 6904761 req, miss ratio 0.3964, byte miss ratio 0.3964
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size     9509, 6904761 req, miss ratio 0.3488, byte miss ratio 0.3488
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size    28527, 6904761 req, miss ratio 0.2808, byte miss ratio 0.2808
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size    95092, 6904761 req, miss ratio 0.2077, byte miss ratio 0.2077
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size   190185, 6904761 req, miss ratio 0.1531, byte miss ratio 0.1531
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size   380371, 6904761 req, miss ratio 0.1399, byte miss ratio 0.1399
tencentBlock.ns1117 S3FIFO-0.4000-1.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size      950, 6904761 req, miss ratio 0.5467, byte miss ratio 0.5467
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size     2852, 6904761 req, miss ratio 0.3908, byte miss ratio 0.3908
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size     9509, 6904761 req, miss ratio 0.3297, byte miss ratio 0.3297
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size    28527, 6904761 req, miss ratio 0.2852, byte miss ratio 0.2852
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size    95092, 6904761 req, miss ratio 0.1993, byte miss ratio 0.1993
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size   190185, 6904761 req, miss ratio 0.1513, byte miss ratio 0.1513
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size   380371, 6904761 req, miss ratio 0.1400, byte miss ratio 0.1400
tencentBlock.ns1117 S3FIFO-0.2000-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size      950, 6904761 req, miss ratio 0.6037, byte miss ratio 0.6037
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size     2852, 6904761 req, miss ratio 0.4410, byte miss ratio 0.4410
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size     9509, 6904761 req, miss ratio 0.3578, byte miss ratio 0.3578
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size    28527, 6904761 req, miss ratio 0.2885, byte miss ratio 0.2885
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size    95092, 6904761 req, miss ratio 0.2196, byte miss ratio 0.2196
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size   190185, 6904761 req, miss ratio 0.1657, byte miss ratio 0.1657
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size   380371, 6904761 req, miss ratio 0.1415, byte miss ratio 0.1415
tencentBlock.ns1117 S3FIFO-0.6500-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size      950, 6904761 req, miss ratio 0.6838, byte miss ratio 0.6838
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size     2852, 6904761 req, miss ratio 0.5304, byte miss ratio 0.5304
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size     9509, 6904761 req, miss ratio 0.4034, byte miss ratio 0.4034
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size    28527, 6904761 req, miss ratio 0.3108, byte miss ratio 0.3108
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size    95092, 6904761 req, miss ratio 0.2230, byte miss ratio 0.2230
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size   190185, 6904761 req, miss ratio 0.1834, byte miss ratio 0.1834
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size   380371, 6904761 req, miss ratio 0.1566, byte miss ratio 0.1566
tencentBlock.ns1117 S3FIFO-0.9900-1.9000 cache size   760742, 6904761 req, miss ratio 0.1451, byte miss ratio 0.1451
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size      950, 6904761 req, miss ratio 0.5410, byte miss ratio 0.5410
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size     2852, 6904761 req, miss ratio 0.3909, byte miss ratio 0.3909
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size     9509, 6904761 req, miss ratio 0.3291, byte miss ratio 0.3291
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size    28527, 6904761 req, miss ratio 0.2847, byte miss ratio 0.2847
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size    95092, 6904761 req, miss ratio 0.1974, byte miss ratio 0.1974
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size   190185, 6904761 req, miss ratio 0.1509, byte miss ratio 0.1509
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size   380371, 6904761 req, miss ratio 0.1406, byte miss ratio 0.1406
tencentBlock.ns1117 S3FIFO-0.1500-0.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size      950, 6904761 req, miss ratio 0.5619, byte miss ratio 0.5619
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size     2852, 6904761 req, miss ratio 0.3913, byte miss ratio 0.3913
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size     9509, 6904761 req, miss ratio 0.3433, byte miss ratio 0.3433
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size    28527, 6904761 req, miss ratio 0.2840, byte miss ratio 0.2840
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size    95092, 6904761 req, miss ratio 0.2036, byte miss ratio 0.2036
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size   190185, 6904761 req, miss ratio 0.1521, byte miss ratio 0.1521
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size   380371, 6904761 req, miss ratio 0.1399, byte miss ratio 0.1399
tencentBlock.ns1117 S3FIFO-0.3000-1.9000 cache size   760742, 6904761 req, miss ratio 0.1379, byte miss ratio 0.1379
tencentBlock.ns1117 S3FIFO-0.9000-0.9000 cache size      950, 6904761 req, miss ratio 0.6547, byte miss ratio 0.6547
tencentBlock.ns1117 S3FIFO-0.9000-0.9000 cache size     2852, 6904761 req, miss ratio 0.5042, byte miss ratio 0.5042
tencentBlock.ns1117 S3FIFO-0.9000-0.9000 cache size     9509, 6904761 req, miss ratio 0.3856, byte miss ratio 0.3856
