tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size       53, 2115415 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size      160, 2115415 req, miss ratio 0.1596, byte miss ratio 0.1596
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size      534, 2115415 req, miss ratio 0.1365, byte miss ratio 0.1365
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size     1603, 2115415 req, miss ratio 0.1202, byte miss ratio 0.1202
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size     5345, 2115415 req, miss ratio 0.1012, byte miss ratio 0.1012
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size    10690, 2115415 req, miss ratio 0.0808, byte miss ratio 0.0808
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size    21381, 2115415 req, miss ratio 0.0456, byte miss ratio 0.0456
tencentBlock.ns2688 S3FIFO-0.0100-0.9000 cache size    42763, 2115415 req, miss ratio 0.0266, byte miss ratio 0.0266
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size       53, 2115415 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size      160, 2115415 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size      534, 2115415 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size     1603, 2115415 req, miss ratio 0.1330, byte miss ratio 0.1330
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size     5345, 2115415 req, miss ratio 0.1131, byte miss ratio 0.1131
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size    10690, 2115415 req, miss ratio 0.0821, byte miss ratio 0.0821
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size    21381, 2115415 req, miss ratio 0.0460, byte miss ratio 0.0460
tencentBlock.ns2688 S3FIFO-0.0010-1.9000 cache size    42763, 2115415 req, miss ratio 0.0266, byte miss ratio 0.0266
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size       53, 2115415 req, miss ratio 0.2457, byte miss ratio 0.2457
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size      160, 2115415 req, miss ratio 0.1775, byte miss ratio 0.1775
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size      534, 2115415 req, miss ratio 0.1337, byte miss ratio 0.1337
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size     1603, 2115415 req, miss ratio 0.1229, byte miss ratio 0.1229
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size     5345, 2115415 req, miss ratio 0.1180, byte miss ratio 0.1180
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size    10690, 2115415 req, miss ratio 0.0928, byte miss ratio 0.0928
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size    21381, 2115415 req, miss ratio 0.0509, byte miss ratio 0.0509
tencentBlock.ns2688 S3FIFO-0.6000-1.9000 cache size    42763, 2115415 req, miss ratio 0.0308, byte miss ratio 0.0308
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size       53, 2115415 req, miss ratio 0.2955, byte miss ratio 0.2955
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size      160, 2115415 req, miss ratio 0.1960, byte miss ratio 0.1960
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size      534, 2115415 req, miss ratio 0.1495, byte miss ratio 0.1495
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size     1603, 2115415 req, miss ratio 0.1330, byte miss ratio 0.1330
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size     5345, 2115415 req, miss ratio 0.1135, byte miss ratio 0.1135
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size    10690, 2115415 req, miss ratio 0.0907, byte miss ratio 0.0907
tencentBlock.ns2688 S3FIFO-0.9500-1.9000 cache size    21381, 2115415 req, miss ratio 0.0564, byte miss ratio 0.0564
