io_traces.ns273 S3FIFO-0.0010-0.9000 cache size     1220, 11800000 req, miss ratio 0.5320, byte miss ratio 0.5320
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size     3661, 11800000 req, miss ratio 0.4616, byte miss ratio 0.4616
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size    12204, 11800000 req, miss ratio 0.3397, byte miss ratio 0.3397
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size    36612, 11800000 req, miss ratio 0.3009, byte miss ratio 0.3009
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size   122041, 11800000 req, miss ratio 0.2247, byte miss ratio 0.2247
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size   244082, 11800000 req, miss ratio 0.1778, byte miss ratio 0.1778
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size   488164, 11800000 req, miss ratio 0.1397, byte miss ratio 0.1397
io_traces.ns273 S3FIFO-0.0010-0.9000 cache size   976328, 11800000 req, miss ratio 0.1040, byte miss ratio 0.1040
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size     1220, 11800000 req, miss ratio 0.5323, byte miss ratio 0.5323
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size     3661, 11800000 req, miss ratio 0.4775, byte miss ratio 0.4775
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size    12204, 11800000 req, miss ratio 0.3053, byte miss ratio 0.3053
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size    36612, 11800000 req, miss ratio 0.2314, byte miss ratio 0.2314
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size   122041, 11800000 req, miss ratio 0.1591, byte miss ratio 0.1591
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size   244082, 11800000 req, miss ratio 0.1296, byte miss ratio 0.1296
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size   488164, 11800000 req, miss ratio 0.1108, byte miss ratio 0.1108
io_traces.ns273 S3FIFO-0.2500-1.9000 cache size   976328, 11800000 req, miss ratio 0.1040, byte miss ratio 0.1040
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size     1220, 11800000 req, miss ratio 0.6068, byte miss ratio 0.6068
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size     3661, 11800000 req, miss ratio 0.5337, byte miss ratio 0.5337
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size    12204, 11800000 req, miss ratio 0.3221, byte miss ratio 0.3221
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size    36612, 11800000 req, miss ratio 0.2354, byte miss ratio 0.2354
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size   122041, 11800000 req, miss ratio 0.1764, byte miss ratio 0.1764
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size   244082, 11800000 req, miss ratio 0.1411, byte miss ratio 0.1411
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size   488164, 11800000 req, miss ratio 0.1174, byte miss ratio 0.1174
io_traces.ns273 S3FIFO-0.9500-0.9000 cache size   976328, 11800000 req, miss ratio 0.1060, byte miss ratio 0.1060
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size     1220, 11800000 req, miss ratio 0.5794, byte miss ratio 0.5794
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size     3661, 11800000 req, miss ratio 0.5304, byte miss ratio 0.5304
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size    12204, 11800000 req, miss ratio 0.3100, byte miss ratio 0.3100
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size    36612, 11800000 req, miss ratio 0.2307, byte miss ratio 0.2307
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size   122041, 11800000 req, miss ratio 0.1741, byte miss ratio 0.1741
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size   244082, 11800000 req, miss ratio 0.1394, byte miss ratio 0.1394
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size   488164, 11800000 req, miss ratio 0.1140, byte miss ratio 0.1140
io_traces.ns273 S3FIFO-0.8500-1.9000 cache size   976328, 11800000 req, miss ratio 0.1044, byte miss ratio 0.1044
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size     1220, 11800000 req, miss ratio 0.5403, byte miss ratio 0.5403
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size     3661, 11800000 req, miss ratio 0.4718, byte miss ratio 0.4718
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size    12204, 11800000 req, miss ratio 0.2917, byte miss ratio 0.2917
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size    36612, 11800000 req, miss ratio 0.2304, byte miss ratio 0.2304
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size   122041, 11800000 req, miss ratio 0.1614, byte miss ratio 0.1614
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size   244082, 11800000 req, miss ratio 0.1306, byte miss ratio 0.1306
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size   488164, 11800000 req, miss ratio 0.1109, byte miss ratio 0.1109
io_traces.ns273 S3FIFO-0.3500-0.9000 cache size   976328, 11800000 req, miss ratio 0.1037, byte miss ratio 0.1037
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size     1220, 11800000 req, miss ratio 0.5298, byte miss ratio 0.5298
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size     3661, 11800000 req, miss ratio 0.4509, byte miss ratio 0.4509
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size    12204, 11800000 req, miss ratio 0.3186, byte miss ratio 0.3186
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size    36612, 11800000 req, miss ratio 0.2352, byte miss ratio 0.2352
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size   122041, 11800000 req, miss ratio 0.1569, byte miss ratio 0.1569
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size   244082, 11800000 req, miss ratio 0.1295, byte miss ratio 0.1295
io_traces.ns273 S3FIFO-0.2000-0.9000 cache size   488164, 11800000 req, miss ratio 0.1118, byte miss ratio 0.1118
