exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.0000 cache size 28547667, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.0000 cache size 57095334, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-1.0000 cache size 114190669, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size   142738, 179842167 req, miss ratio 0.7941, byte miss ratio 0.7941
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size   428215, 179842167 req, miss ratio 0.7939, byte miss ratio 0.7939
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size  1427383, 179842167 req, miss ratio 0.7938, byte miss ratio 0.7938
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size  4282150, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size 14273833, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size 28547667, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size 57095334, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-0.8000 cache size 114190669, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size   142738, 179842167 req, miss ratio 0.7941, byte miss ratio 0.7941
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size   428215, 179842167 req, miss ratio 0.7939, byte miss ratio 0.7939
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size  1427383, 179842167 req, miss ratio 0.7938, byte miss ratio 0.7938
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size  4282150, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size 14273833, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
exchange_auctioncache_cache.0.oracleGeneral.sample10.zst S3FIFO-0.5000-1.5000 cache size 28547667, 179842167 req, miss ratio 0.7937, byte miss ratio 0.7937
