user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size     7152, 28647511 req, miss ratio 0.1256, byte miss ratio 0.1256
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    21457, 28647511 req, miss ratio 0.0769, byte miss ratio 0.0769
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size    71524, 28647511 req, miss ratio 0.0464, byte miss ratio 0.0464
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   143048, 28647511 req, miss ratio 0.0337, byte miss ratio 0.0337
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   286097, 28647511 req, miss ratio 0.0278, byte miss ratio 0.0278
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   572194, 28647511 req, miss ratio 0.0254, byte miss ratio 0.0254
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size      715, 28647511 req, miss ratio 0.3942, byte miss ratio 0.3942
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     2145, 28647511 req, miss ratio 0.2295, byte miss ratio 0.2295
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size     7152, 28647511 req, miss ratio 0.1383, byte miss ratio 0.1383
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    21457, 28647511 req, miss ratio 0.0857, byte miss ratio 0.0857
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size    71524, 28647511 req, miss ratio 0.0501, byte miss ratio 0.0501
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   143048, 28647511 req, miss ratio 0.0373, byte miss ratio 0.0373
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   286097, 28647511 req, miss ratio 0.0286, byte miss ratio 0.0286
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.6500-1.9000 cache size   572194, 28647511 req, miss ratio 0.0256, byte miss ratio 0.0256
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size      715, 28647511 req, miss ratio 0.3085, byte miss ratio 0.3085
user_activity_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size     2145, 28647511 req, miss ratio 0.2009, byte miss ratio 0.2009
