cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size       76, 1160612 req, miss ratio 0.3235, byte miss ratio 0.3235
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size      228, 1160612 req, miss ratio 0.2702, byte miss ratio 0.2702
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size      760, 1160612 req, miss ratio 0.2210, byte miss ratio 0.2210
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size     2282, 1160612 req, miss ratio 0.1729, byte miss ratio 0.1729
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size     7608, 1160612 req, miss ratio 0.1221, byte miss ratio 0.1221
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size    15217, 1160612 req, miss ratio 0.0906, byte miss ratio 0.0906
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size    30434, 1160612 req, miss ratio 0.0723, byte miss ratio 0.0723
cdn1_allcolo.ns1610 S3FIFO-0.5000-0.9000 cache size    60868, 1160612 req, miss ratio 0.0660, byte miss ratio 0.0660
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size       76, 1160612 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size      228, 1160612 req, miss ratio 0.2652, byte miss ratio 0.2652
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size      760, 1160612 req, miss ratio 0.2126, byte miss ratio 0.2126
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size     2282, 1160612 req, miss ratio 0.1645, byte miss ratio 0.1645
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size     7608, 1160612 req, miss ratio 0.1052, byte miss ratio 0.1052
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size    15217, 1160612 req, miss ratio 0.0804, byte miss ratio 0.0804
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size    30434, 1160612 req, miss ratio 0.0711, byte miss ratio 0.0711
cdn1_allcolo.ns1610 S3FIFO-0.0050-1.9000 cache size    60868, 1160612 req, miss ratio 0.0659, byte miss ratio 0.0659
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size       76, 1160612 req, miss ratio 0.3105, byte miss ratio 0.3105
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size      228, 1160612 req, miss ratio 0.2623, byte miss ratio 0.2623
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size      760, 1160612 req, miss ratio 0.2112, byte miss ratio 0.2112
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size     2282, 1160612 req, miss ratio 0.1643, byte miss ratio 0.1643
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size     7608, 1160612 req, miss ratio 0.1093, byte miss ratio 0.1093
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size    15217, 1160612 req, miss ratio 0.0814, byte miss ratio 0.0814
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size    30434, 1160612 req, miss ratio 0.0708, byte miss ratio 0.0708
cdn1_allcolo.ns1610 S3FIFO-0.1500-1.9000 cache size    60868, 1160612 req, miss ratio 0.0659, byte miss ratio 0.0659
cdn1_allcolo.ns1610 S3FIFO-0.0250-0.9000 cache size       76, 1160612 req, miss ratio 0.3111, byte miss ratio 0.3111
cdn1_allcolo.ns1610 S3FIFO-0.0250-0.9000 cache size      228, 1160612 req, miss ratio 0.2628, byte miss ratio 0.2628
cdn1_allcolo.ns1610 S3FIFO-0.0250-0.9000 cache size      760, 1160612 req, miss ratio 0.2107, byte miss ratio 0.2107
cdn1_allcolo.ns1610 S3FIFO-0.0250-0.9000 cache size     2282, 1160612 req, miss ratio 0.1628, byte miss ratio 0.1628
