cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size       35, 78874299 req, miss ratio 0.6230, byte miss ratio 0.6230
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size      105, 78874299 req, miss ratio 0.4830, byte miss ratio 0.4830
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size      351, 78874299 req, miss ratio 0.3172, byte miss ratio 0.3172
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size     1053, 78874299 req, miss ratio 0.1770, byte miss ratio 0.1770
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size     3511, 78874299 req, miss ratio 0.0522, byte miss ratio 0.0522
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size     7023, 78874299 req, miss ratio 0.0158, byte miss ratio 0.0158
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size    14046, 78874299 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_allcolo.ns395 S3FIFO-0.3000-0.9000 cache size    28092, 78874299 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size       35, 78874299 req, miss ratio 0.7317, byte miss ratio 0.7317
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size      105, 78874299 req, miss ratio 0.5679, byte miss ratio 0.5679
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size      351, 78874299 req, miss ratio 0.3834, byte miss ratio 0.3834
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size     1053, 78874299 req, miss ratio 0.2141, byte miss ratio 0.2141
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size     3511, 78874299 req, miss ratio 0.0663, byte miss ratio 0.0663
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size     7023, 78874299 req, miss ratio 0.0217, byte miss ratio 0.0217
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size    14046, 78874299 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns395 S3FIFO-0.7500-1.9000 cache size    28092, 78874299 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size       35, 78874299 req, miss ratio 0.7553, byte miss ratio 0.7553
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size      105, 78874299 req, miss ratio 0.5922, byte miss ratio 0.5922
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size      351, 78874299 req, miss ratio 0.3982, byte miss ratio 0.3982
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size     1053, 78874299 req, miss ratio 0.2225, byte miss ratio 0.2225
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size     3511, 78874299 req, miss ratio 0.0699, byte miss ratio 0.0699
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size     7023, 78874299 req, miss ratio 0.0233, byte miss ratio 0.0233
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size    14046, 78874299 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_allcolo.ns395 S3FIFO-0.8500-1.9000 cache size    28092, 78874299 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size       35, 78874299 req, miss ratio 0.6315, byte miss ratio 0.6315
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size      105, 78874299 req, miss ratio 0.4898, byte miss ratio 0.4898
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size      351, 78874299 req, miss ratio 0.3230, byte miss ratio 0.3230
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size     1053, 78874299 req, miss ratio 0.1811, byte miss ratio 0.1811
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size     3511, 78874299 req, miss ratio 0.0539, byte miss ratio 0.0539
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size     7023, 78874299 req, miss ratio 0.0163, byte miss ratio 0.0163
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size    14046, 78874299 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_allcolo.ns395 S3FIFO-0.3500-0.9000 cache size    28092, 78874299 req, miss ratio 0.0006, byte miss ratio 0.0006
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size       35, 78874299 req, miss ratio 0.6558, byte miss ratio 0.6558
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size      105, 78874299 req, miss ratio 0.5131, byte miss ratio 0.5131
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size      351, 78874299 req, miss ratio 0.3428, byte miss ratio 0.3428
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size     1053, 78874299 req, miss ratio 0.1938, byte miss ratio 0.1938
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size     3511, 78874299 req, miss ratio 0.0590, byte miss ratio 0.0590
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size     7023, 78874299 req, miss ratio 0.0183, byte miss ratio 0.0183
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size    14046, 78874299 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_allcolo.ns395 S3FIFO-0.5000-0.9000 cache size    28092, 78874299 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size       35, 78874299 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size      105, 78874299 req, miss ratio 0.4476, byte miss ratio 0.4476
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size      351, 78874299 req, miss ratio 0.2893, byte miss ratio 0.2893
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size     1053, 78874299 req, miss ratio 0.1575, byte miss ratio 0.1575
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size     3511, 78874299 req, miss ratio 0.0427, byte miss ratio 0.0427
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size     7023, 78874299 req, miss ratio 0.0127, byte miss ratio 0.0127
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size    14046, 78874299 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_allcolo.ns395 S3FIFO-0.0100-0.9000 cache size    28092, 78874299 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size       35, 78874299 req, miss ratio 0.6061, byte miss ratio 0.6061
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size      105, 78874299 req, miss ratio 0.4667, byte miss ratio 0.4667
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size      351, 78874299 req, miss ratio 0.3064, byte miss ratio 0.3064
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size     1053, 78874299 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size     3511, 78874299 req, miss ratio 0.0467, byte miss ratio 0.0467
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size     7023, 78874299 req, miss ratio 0.0137, byte miss ratio 0.0137
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size    14046, 78874299 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_allcolo.ns395 S3FIFO-0.1000-1.9000 cache size    28092, 78874299 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size       35, 78874299 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size      105, 78874299 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size      351, 78874299 req, miss ratio 0.2888, byte miss ratio 0.2888
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size     1053, 78874299 req, miss ratio 0.1573, byte miss ratio 0.1573
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size     3511, 78874299 req, miss ratio 0.0426, byte miss ratio 0.0426
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size     7023, 78874299 req, miss ratio 0.0127, byte miss ratio 0.0127
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size    14046, 78874299 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_allcolo.ns395 S3FIFO-0.0050-0.9000 cache size    28092, 78874299 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size       35, 78874299 req, miss ratio 0.6036, byte miss ratio 0.6036
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size      105, 78874299 req, miss ratio 0.4629, byte miss ratio 0.4629
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size      351, 78874299 req, miss ratio 0.3012, byte miss ratio 0.3012
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size     1053, 78874299 req, miss ratio 0.1653, byte miss ratio 0.1653
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size     3511, 78874299 req, miss ratio 0.0473, byte miss ratio 0.0473
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size     7023, 78874299 req, miss ratio 0.0141, byte miss ratio 0.0141
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size    14046, 78874299 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_allcolo.ns395 S3FIFO-0.1500-0.9000 cache size    28092, 78874299 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns395 S3FIFO-0.9000-0.9000 cache size       35, 78874299 req, miss ratio 0.7630, byte miss ratio 0.7630
cdn1_allcolo.ns395 S3FIFO-0.9000-0.9000 cache size      105, 78874299 req, miss ratio 0.6020, byte miss ratio 0.6020
cdn1_allcolo.ns395 S3FIFO-0.9000-0.9000 cache size      351, 78874299 req, miss ratio 0.4077, byte miss ratio 0.4077
cdn1_allcolo.ns395 S3FIFO-0.9000-0.9000 cache size     1053, 78874299 req, miss ratio 0.2323, byte miss ratio 0.2323
cdn1_allcolo.ns395 S3FIFO-0.9000-0.9000 cache size     3511, 78874299 req, miss ratio 0.0742, byte miss ratio 0.0742
cdn1_allcolo.ns395 S3FIFO-0.9000-0.9000 cache size     7023, 78874299 req, miss ratio 0.0247, byte miss ratio 0.0247
