cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0588, byte miss ratio 0.0588
cdn1_colo28.ns241 S3FIFO-0.8000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0450, byte miss ratio 0.0450
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size     1398, 32126732 req, miss ratio 0.6670, byte miss ratio 0.6670
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size     4196, 32126732 req, miss ratio 0.4458, byte miss ratio 0.4458
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size    13987, 32126732 req, miss ratio 0.2537, byte miss ratio 0.2537
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size    41961, 32126732 req, miss ratio 0.1617, byte miss ratio 0.1617
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size   139870, 32126732 req, miss ratio 0.0942, byte miss ratio 0.0942
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size   279740, 32126732 req, miss ratio 0.0687, byte miss ratio 0.0687
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.1500-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size     1398, 32126732 req, miss ratio 0.7623, byte miss ratio 0.7623
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size     4196, 32126732 req, miss ratio 0.5477, byte miss ratio 0.5477
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size    13987, 32126732 req, miss ratio 0.3003, byte miss ratio 0.3003
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size    41961, 32126732 req, miss ratio 0.1770, byte miss ratio 0.1770
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size   139870, 32126732 req, miss ratio 0.1104, byte miss ratio 0.1104
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size   279740, 32126732 req, miss ratio 0.0798, byte miss ratio 0.0798
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size   559480, 32126732 req, miss ratio 0.0570, byte miss ratio 0.0570
cdn1_colo28.ns241 S3FIFO-0.7000-1.9000 cache size  1118960, 32126732 req, miss ratio 0.0445, byte miss ratio 0.0445
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size     1398, 32126732 req, miss ratio 0.6565, byte miss ratio 0.6565
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size     4196, 32126732 req, miss ratio 0.4359, byte miss ratio 0.4359
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size    13987, 32126732 req, miss ratio 0.2548, byte miss ratio 0.2548
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size    41961, 32126732 req, miss ratio 0.1654, byte miss ratio 0.1654
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size   139870, 32126732 req, miss ratio 0.0946, byte miss ratio 0.0946
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size   279740, 32126732 req, miss ratio 0.0685, byte miss ratio 0.0685
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size   559480, 32126732 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns241 S3FIFO-0.0500-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size     1398, 32126732 req, miss ratio 0.7528, byte miss ratio 0.7528
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size     4196, 32126732 req, miss ratio 0.5431, byte miss ratio 0.5431
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size    13987, 32126732 req, miss ratio 0.2992, byte miss ratio 0.2992
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size    41961, 32126732 req, miss ratio 0.1760, byte miss ratio 0.1760
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size   139870, 32126732 req, miss ratio 0.1101, byte miss ratio 0.1101
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size   279740, 32126732 req, miss ratio 0.0799, byte miss ratio 0.0799
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0570, byte miss ratio 0.0570
cdn1_colo28.ns241 S3FIFO-0.7000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0445, byte miss ratio 0.0445
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size     1398, 32126732 req, miss ratio 0.7017, byte miss ratio 0.7017
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size     4196, 32126732 req, miss ratio 0.4831, byte miss ratio 0.4831
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size    13987, 32126732 req, miss ratio 0.2661, byte miss ratio 0.2661
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size    41961, 32126732 req, miss ratio 0.1636, byte miss ratio 0.1636
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size   139870, 32126732 req, miss ratio 0.0998, byte miss ratio 0.0998
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size   279740, 32126732 req, miss ratio 0.0723, byte miss ratio 0.0723
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0534, byte miss ratio 0.0534
cdn1_colo28.ns241 S3FIFO-0.4000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size     1398, 32126732 req, miss ratio 0.6868, byte miss ratio 0.6868
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size     4196, 32126732 req, miss ratio 0.4665, byte miss ratio 0.4665
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size    13987, 32126732 req, miss ratio 0.2594, byte miss ratio 0.2594
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size    41961, 32126732 req, miss ratio 0.1618, byte miss ratio 0.1618
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size   139870, 32126732 req, miss ratio 0.0971, byte miss ratio 0.0971
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size   279740, 32126732 req, miss ratio 0.0706, byte miss ratio 0.0706
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size   559480, 32126732 req, miss ratio 0.0527, byte miss ratio 0.0527
cdn1_colo28.ns241 S3FIFO-0.3000-0.9000 cache size  1118960, 32126732 req, miss ratio 0.0442, byte miss ratio 0.0442
