tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size       25, 1569132 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size       75, 1569132 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size      251, 1569132 req, miss ratio 0.8980, byte miss ratio 0.8980
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size      755, 1569132 req, miss ratio 0.8965, byte miss ratio 0.8965
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size     2517, 1569132 req, miss ratio 0.8962, byte miss ratio 0.8962
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size     5034, 1569132 req, miss ratio 0.7575, byte miss ratio 0.7575
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size    10069, 1569132 req, miss ratio 0.4150, byte miss ratio 0.4150
tencentBlock.ns24633 S3FIFO-0.0050-1.9000 cache size    20138, 1569132 req, miss ratio 0.0184, byte miss ratio 0.0184
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size       25, 1569132 req, miss ratio 0.9045, byte miss ratio 0.9045
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size       75, 1569132 req, miss ratio 0.8997, byte miss ratio 0.8997
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size      251, 1569132 req, miss ratio 0.8968, byte miss ratio 0.8968
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size      755, 1569132 req, miss ratio 0.8963, byte miss ratio 0.8963
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size     2517, 1569132 req, miss ratio 0.8962, byte miss ratio 0.8962
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size     5034, 1569132 req, miss ratio 0.8229, byte miss ratio 0.8229
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size    10069, 1569132 req, miss ratio 0.5780, byte miss ratio 0.5780
tencentBlock.ns24633 S3FIFO-0.4000-1.9000 cache size    20138, 1569132 req, miss ratio 0.0192, byte miss ratio 0.0192
tencentBlock.ns24633 S3FIFO-0.9000-1.9000 cache size       25, 1569132 req, miss ratio 0.9140, byte miss ratio 0.9140
tencentBlock.ns24633 S3FIFO-0.9000-1.9000 cache size       75, 1569132 req, miss ratio 0.9038, byte miss ratio 0.9038
tencentBlock.ns24633 S3FIFO-0.9000-1.9000 cache size      251, 1569132 req, miss ratio 0.9001, byte miss ratio 0.9001
tencentBlock.ns24633 S3FIFO-0.9000-1.9000 cache size      755, 1569132 req, miss ratio 0.8976, byte miss ratio 0.8976
tencentBlock.ns24633 S3FIFO-0.9000-1.9000 cache size     2517, 1569132 req, miss ratio 0.8964, byte miss ratio 0.8964
