tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size      147, 1290422 req, miss ratio 0.4996, byte miss ratio 0.4996
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size      443, 1290422 req, miss ratio 0.4817, byte miss ratio 0.4817
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size     1478, 1290422 req, miss ratio 0.4779, byte miss ratio 0.4779
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size     4435, 1290422 req, miss ratio 0.4767, byte miss ratio 0.4767
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size    14785, 1290422 req, miss ratio 0.4436, byte miss ratio 0.4436
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size    29570, 1290422 req, miss ratio 0.4105, byte miss ratio 0.4105
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size    59141, 1290422 req, miss ratio 0.3335, byte miss ratio 0.3335
tencentBlock.ns16613 S3FIFO-0.3500-1.9000 cache size   118282, 1290422 req, miss ratio 0.1455, byte miss ratio 0.1455
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size      147, 1290422 req, miss ratio 0.5094, byte miss ratio 0.5094
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size      443, 1290422 req, miss ratio 0.4849, byte miss ratio 0.4849
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size     1478, 1290422 req, miss ratio 0.4788, byte miss ratio 0.4788
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size     4435, 1290422 req, miss ratio 0.4766, byte miss ratio 0.4766
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size    14785, 1290422 req, miss ratio 0.4350, byte miss ratio 0.4350
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size    29570, 1290422 req, miss ratio 0.3861, byte miss ratio 0.3861
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size    59141, 1290422 req, miss ratio 0.2882, byte miss ratio 0.2882
tencentBlock.ns16613 S3FIFO-0.1500-0.9000 cache size   118282, 1290422 req, miss ratio 0.1410, byte miss ratio 0.1410
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size      147, 1290422 req, miss ratio 0.5119, byte miss ratio 0.5119
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size      443, 1290422 req, miss ratio 0.4862, byte miss ratio 0.4862
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size     1478, 1290422 req, miss ratio 0.4785, byte miss ratio 0.4785
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size     4435, 1290422 req, miss ratio 0.4770, byte miss ratio 0.4770
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size    14785, 1290422 req, miss ratio 0.4714, byte miss ratio 0.4714
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size    29570, 1290422 req, miss ratio 0.4191, byte miss ratio 0.4191
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size    59141, 1290422 req, miss ratio 0.3126, byte miss ratio 0.3126
tencentBlock.ns16613 S3FIFO-0.6500-0.9000 cache size   118282, 1290422 req, miss ratio 0.1559, byte miss ratio 0.1559
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size      147, 1290422 req, miss ratio 0.5090, byte miss ratio 0.5090
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size      443, 1290422 req, miss ratio 0.4840, byte miss ratio 0.4840
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size     1478, 1290422 req, miss ratio 0.4787, byte miss ratio 0.4787
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size     4435, 1290422 req, miss ratio 0.4766, byte miss ratio 0.4766
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size    14785, 1290422 req, miss ratio 0.4420, byte miss ratio 0.4420
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size    29570, 1290422 req, miss ratio 0.3917, byte miss ratio 0.3917
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size    59141, 1290422 req, miss ratio 0.3024, byte miss ratio 0.3024
tencentBlock.ns16613 S3FIFO-0.2000-0.9000 cache size   118282, 1290422 req, miss ratio 0.1399, byte miss ratio 0.1399
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size      147, 1290422 req, miss ratio 0.5084, byte miss ratio 0.5084
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size      443, 1290422 req, miss ratio 0.4831, byte miss ratio 0.4831
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size     1478, 1290422 req, miss ratio 0.4782, byte miss ratio 0.4782
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size     4435, 1290422 req, miss ratio 0.4769, byte miss ratio 0.4769
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size    14785, 1290422 req, miss ratio 0.4533, byte miss ratio 0.4533
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size    29570, 1290422 req, miss ratio 0.4107, byte miss ratio 0.4107
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size    59141, 1290422 req, miss ratio 0.3176, byte miss ratio 0.3176
tencentBlock.ns16613 S3FIFO-0.5500-0.9000 cache size   118282, 1290422 req, miss ratio 0.1539, byte miss ratio 0.1539
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size      147, 1290422 req, miss ratio 0.5029, byte miss ratio 0.5029
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size      443, 1290422 req, miss ratio 0.4825, byte miss ratio 0.4825
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size     1478, 1290422 req, miss ratio 0.4781, byte miss ratio 0.4781
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size     4435, 1290422 req, miss ratio 0.4769, byte miss ratio 0.4769
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size    14785, 1290422 req, miss ratio 0.4494, byte miss ratio 0.4494
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size    29570, 1290422 req, miss ratio 0.4089, byte miss ratio 0.4089
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size    59141, 1290422 req, miss ratio 0.3310, byte miss ratio 0.3310
tencentBlock.ns16613 S3FIFO-0.4000-0.9000 cache size   118282, 1290422 req, miss ratio 0.1470, byte miss ratio 0.1470
