tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size       38, 1247611 req, miss ratio 0.4335, byte miss ratio 0.4335
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size      116, 1247611 req, miss ratio 0.2248, byte miss ratio 0.2248
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size      387, 1247611 req, miss ratio 0.1730, byte miss ratio 0.1730
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size     1162, 1247611 req, miss ratio 0.1517, byte miss ratio 0.1517
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size     3875, 1247611 req, miss ratio 0.1322, byte miss ratio 0.1322
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size     7750, 1247611 req, miss ratio 0.1121, byte miss ratio 0.1121
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size    15501, 1247611 req, miss ratio 0.0771, byte miss ratio 0.0771
tencentBlock.ns21914 S3FIFO-0.9500-1.9000 cache size    31003, 1247611 req, miss ratio 0.0341, byte miss ratio 0.0341
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size       38, 1247611 req, miss ratio 0.4330, byte miss ratio 0.4330
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size      116, 1247611 req, miss ratio 0.2157, byte miss ratio 0.2157
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size      387, 1247611 req, miss ratio 0.1674, byte miss ratio 0.1674
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size     1162, 1247611 req, miss ratio 0.1500, byte miss ratio 0.1500
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size     3875, 1247611 req, miss ratio 0.1313, byte miss ratio 0.1313
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size     7750, 1247611 req, miss ratio 0.1118, byte miss ratio 0.1118
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size    15501, 1247611 req, miss ratio 0.0764, byte miss ratio 0.0764
tencentBlock.ns21914 S3FIFO-0.9000-1.9000 cache size    31003, 1247611 req, miss ratio 0.0331, byte miss ratio 0.0331
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size       38, 1247611 req, miss ratio 0.3694, byte miss ratio 0.3694
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size      116, 1247611 req, miss ratio 0.1715, byte miss ratio 0.1715
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size      387, 1247611 req, miss ratio 0.1524, byte miss ratio 0.1524
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size     1162, 1247611 req, miss ratio 0.1372, byte miss ratio 0.1372
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size     3875, 1247611 req, miss ratio 0.1232, byte miss ratio 0.1232
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size     7750, 1247611 req, miss ratio 0.1154, byte miss ratio 0.1154
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size    15501, 1247611 req, miss ratio 0.0702, byte miss ratio 0.0702
tencentBlock.ns21914 S3FIFO-0.4000-1.9000 cache size    31003, 1247611 req, miss ratio 0.0317, byte miss ratio 0.0317
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size       38, 1247611 req, miss ratio 0.3549, byte miss ratio 0.3549
tencentBlock.ns21914 S3FIFO-0.3000-1.9000 cache size      116, 1247611 req, miss ratio 0.1721, byte miss ratio 0.1721
