cdn1_allcolo.ns2601 S3FIFO-0.0250-0.9000 cache size       12, 1412072 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2601 S3FIFO-0.0250-0.9000 cache size       38, 1412072 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2601 S3FIFO-0.0250-0.9000 cache size      127, 1412072 req, miss ratio 0.0386, byte miss ratio 0.0386
cdn1_allcolo.ns2601 S3FIFO-0.0250-0.9000 cache size      255, 1412072 req, miss ratio 0.0108, byte miss ratio 0.0108
cdn1_allcolo.ns2601 S3FIFO-0.0250-0.9000 cache size      511, 1412072 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_allcolo.ns2601 S3FIFO-0.0250-0.9000 cache size     1022, 1412072 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns2601 S3FIFO-0.3000-1.9000 cache size       12, 1412072 req, miss ratio 0.4026, byte miss ratio 0.4026
cdn1_allcolo.ns2601 S3FIFO-0.3000-1.9000 cache size       38, 1412072 req, miss ratio 0.2287, byte miss ratio 0.2287
cdn1_allcolo.ns2601 S3FIFO-0.3000-1.9000 cache size      127, 1412072 req, miss ratio 0.0495, byte miss ratio 0.0495
cdn1_allcolo.ns2601 S3FIFO-0.3000-1.9000 cache size      255, 1412072 req, miss ratio 0.0128, byte miss ratio 0.0128
cdn1_allcolo.ns2601 S3FIFO-0.3000-1.9000 cache size      511, 1412072 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_allcolo.ns2601 S3FIFO-0.3000-1.9000 cache size     1022, 1412072 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns2601 S3FIFO-0.2000-0.9000 cache size       12, 1412072 req, miss ratio 0.3823, byte miss ratio 0.3823
cdn1_allcolo.ns2601 S3FIFO-0.2000-0.9000 cache size       38, 1412072 req, miss ratio 0.2150, byte miss ratio 0.2150
cdn1_allcolo.ns2601 S3FIFO-0.2000-0.9000 cache size      127, 1412072 req, miss ratio 0.0455, byte miss ratio 0.0455
cdn1_allcolo.ns2601 S3FIFO-0.2000-0.9000 cache size      255, 1412072 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_allcolo.ns2601 S3FIFO-0.2000-0.9000 cache size      511, 1412072 req, miss ratio 0.0028, byte miss ratio 0.0028
