cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size      285, 7520696 req, miss ratio 0.0387, byte miss ratio 0.0387
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size      855, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size     2853, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size     8559, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size    28531, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size    57062, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size   114125, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.4500-1.9000 cache size   228251, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size      285, 7520696 req, miss ratio 0.0418, byte miss ratio 0.0418
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size      855, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size     2853, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size     8559, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size    28531, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size    57062, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size   114125, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.5500-0.9000 cache size   228251, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size      285, 7520696 req, miss ratio 0.0531, byte miss ratio 0.0531
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size      855, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size     2853, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size     8559, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size    28531, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size    57062, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size   114125, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.7500-0.9000 cache size   228251, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size      285, 7520696 req, miss ratio 0.0630, byte miss ratio 0.0630
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size      855, 7520696 req, miss ratio 0.0412, byte miss ratio 0.0412
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size     2853, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size     8559, 7520696 req, miss ratio 0.0380, byte miss ratio 0.0380
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size    28531, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size    57062, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
cdn1_colo28.ns1383 S3FIFO-0.9000-0.9000 cache size   114125, 7520696 req, miss ratio 0.0379, byte miss ratio 0.0379
