tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size      386, 3329522 req, miss ratio 0.5485, byte miss ratio 0.5485
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size     1159, 3329522 req, miss ratio 0.4196, byte miss ratio 0.4196
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size     3864, 3329522 req, miss ratio 0.3090, byte miss ratio 0.3090
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size    11594, 3329522 req, miss ratio 0.2636, byte miss ratio 0.2636
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size    38646, 3329522 req, miss ratio 0.2113, byte miss ratio 0.2113
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size    77293, 3329522 req, miss ratio 0.1666, byte miss ratio 0.1666
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size   154587, 3329522 req, miss ratio 0.1392, byte miss ratio 0.1392
tencentBlock.ns15027 S3FIFO-0.0050-0.9000 cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size      386, 3329522 req, miss ratio 0.5147, byte miss ratio 0.5147
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size     1159, 3329522 req, miss ratio 0.3856, byte miss ratio 0.3856
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size     3864, 3329522 req, miss ratio 0.2949, byte miss ratio 0.2949
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size    11594, 3329522 req, miss ratio 0.2597, byte miss ratio 0.2597
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size    38646, 3329522 req, miss ratio 0.2079, byte miss ratio 0.2079
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size    77293, 3329522 req, miss ratio 0.1643, byte miss ratio 0.1643
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size   154587, 3329522 req, miss ratio 0.1360, byte miss ratio 0.1360
tencentBlock.ns15027 S3FIFO-0.0250-0.9000 cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size      386, 3329522 req, miss ratio 0.5024, byte miss ratio 0.5024
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size     1159, 3329522 req, miss ratio 0.3661, byte miss ratio 0.3661
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size     3864, 3329522 req, miss ratio 0.2928, byte miss ratio 0.2928
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size    11594, 3329522 req, miss ratio 0.2581, byte miss ratio 0.2581
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size    38646, 3329522 req, miss ratio 0.2078, byte miss ratio 0.2078
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size    77293, 3329522 req, miss ratio 0.1641, byte miss ratio 0.1641
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size   154587, 3329522 req, miss ratio 0.1336, byte miss ratio 0.1336
tencentBlock.ns15027 S3FIFO-0.0500-1.9000 cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size      386, 3329522 req, miss ratio 0.4930, byte miss ratio 0.4930
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size     1159, 3329522 req, miss ratio 0.3802, byte miss ratio 0.3802
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size     3864, 3329522 req, miss ratio 0.2919, byte miss ratio 0.2919
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size    11594, 3329522 req, miss ratio 0.2636, byte miss ratio 0.2636
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size    38646, 3329522 req, miss ratio 0.2052, byte miss ratio 0.2052
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size    77293, 3329522 req, miss ratio 0.1610, byte miss ratio 0.1610
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size   154587, 3329522 req, miss ratio 0.1311, byte miss ratio 0.1311
tencentBlock.ns15027 S3FIFO-0.2500-0.9000 cache size   309175, 3329522 req, miss ratio 0.1170, byte miss ratio 0.1170
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size      386, 3329522 req, miss ratio 0.4905, byte miss ratio 0.4905
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size     1159, 3329522 req, miss ratio 0.3914, byte miss ratio 0.3914
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size     3864, 3329522 req, miss ratio 0.2918, byte miss ratio 0.2918
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size    11594, 3329522 req, miss ratio 0.2724, byte miss ratio 0.2724
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size    38646, 3329522 req, miss ratio 0.2058, byte miss ratio 0.2058
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size    77293, 3329522 req, miss ratio 0.1625, byte miss ratio 0.1625
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size   154587, 3329522 req, miss ratio 0.1312, byte miss ratio 0.1312
tencentBlock.ns15027 S3FIFO-0.3500-0.9000 cache size   309175, 3329522 req, miss ratio 0.1171, byte miss ratio 0.1171
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size      386, 3329522 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size     1159, 3329522 req, miss ratio 0.4413, byte miss ratio 0.4413
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size     3864, 3329522 req, miss ratio 0.3433, byte miss ratio 0.3433
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size    11594, 3329522 req, miss ratio 0.2907, byte miss ratio 0.2907
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size    38646, 3329522 req, miss ratio 0.2144, byte miss ratio 0.2144
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size    77293, 3329522 req, miss ratio 0.1697, byte miss ratio 0.1697
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size   154587, 3329522 req, miss ratio 0.1404, byte miss ratio 0.1404
tencentBlock.ns15027 S3FIFO-0.0010-0.9000 cache size   309175, 3329522 req, miss ratio 0.1168, byte miss ratio 0.1168
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size      386, 3329522 req, miss ratio 0.4879, byte miss ratio 0.4879
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size     1159, 3329522 req, miss ratio 0.3863, byte miss ratio 0.3863
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size     3864, 3329522 req, miss ratio 0.2913, byte miss ratio 0.2913
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size    11594, 3329522 req, miss ratio 0.2734, byte miss ratio 0.2734
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size    38646, 3329522 req, miss ratio 0.2053, byte miss ratio 0.2053
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size    77293, 3329522 req, miss ratio 0.1620, byte miss ratio 0.1620
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size   154587, 3329522 req, miss ratio 0.1309, byte miss ratio 0.1309
tencentBlock.ns15027 S3FIFO-0.3000-1.9000 cache size   309175, 3329522 req, miss ratio 0.1171, byte miss ratio 0.1171
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size      386, 3329522 req, miss ratio 0.4875, byte miss ratio 0.4875
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size     1159, 3329522 req, miss ratio 0.3920, byte miss ratio 0.3920
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size     3864, 3329522 req, miss ratio 0.2913, byte miss ratio 0.2913
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size    11594, 3329522 req, miss ratio 0.2746, byte miss ratio 0.2746
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size    38646, 3329522 req, miss ratio 0.2062, byte miss ratio 0.2062
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size    77293, 3329522 req, miss ratio 0.1625, byte miss ratio 0.1625
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size   154587, 3329522 req, miss ratio 0.1312, byte miss ratio 0.1312
tencentBlock.ns15027 S3FIFO-0.3500-1.9000 cache size   309175, 3329522 req, miss ratio 0.1171, byte miss ratio 0.1171
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size      386, 3329522 req, miss ratio 0.5368, byte miss ratio 0.5368
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size     1159, 3329522 req, miss ratio 0.4339, byte miss ratio 0.4339
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size     3864, 3329522 req, miss ratio 0.3333, byte miss ratio 0.3333
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size    11594, 3329522 req, miss ratio 0.2806, byte miss ratio 0.2806
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size    38646, 3329522 req, miss ratio 0.2143, byte miss ratio 0.2143
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size    77293, 3329522 req, miss ratio 0.1719, byte miss ratio 0.1719
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size   154587, 3329522 req, miss ratio 0.1393, byte miss ratio 0.1393
tencentBlock.ns15027 S3FIFO-0.8500-0.9000 cache size   309175, 3329522 req, miss ratio 0.1196, byte miss ratio 0.1196
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size      386, 3329522 req, miss ratio 0.5062, byte miss ratio 0.5062
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size     1159, 3329522 req, miss ratio 0.4249, byte miss ratio 0.4249
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size     3864, 3329522 req, miss ratio 0.3089, byte miss ratio 0.3089
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size    11594, 3329522 req, miss ratio 0.2774, byte miss ratio 0.2774
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size    38646, 3329522 req, miss ratio 0.2086, byte miss ratio 0.2086
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size    77293, 3329522 req, miss ratio 0.1698, byte miss ratio 0.1698
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size   154587, 3329522 req, miss ratio 0.1369, byte miss ratio 0.1369
tencentBlock.ns15027 S3FIFO-0.7000-1.9000 cache size   309175, 3329522 req, miss ratio 0.1186, byte miss ratio 0.1186
