io_traces.ns241 S3FIFO-0.0100-0.9000 cache size     2051, 37400000 req, miss ratio 0.2922, byte miss ratio 0.2922
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size     6153, 37400000 req, miss ratio 0.2326, byte miss ratio 0.2326
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size    20510, 37400000 req, miss ratio 0.1665, byte miss ratio 0.1665
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size    61532, 37400000 req, miss ratio 0.1515, byte miss ratio 0.1515
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size   205108, 37400000 req, miss ratio 0.1161, byte miss ratio 0.1161
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size   410216, 37400000 req, miss ratio 0.0903, byte miss ratio 0.0903
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size   820432, 37400000 req, miss ratio 0.0700, byte miss ratio 0.0700
io_traces.ns241 S3FIFO-0.0100-0.9000 cache size  1640865, 37400000 req, miss ratio 0.0552, byte miss ratio 0.0552
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size     2051, 37400000 req, miss ratio 0.2940, byte miss ratio 0.2940
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size     6153, 37400000 req, miss ratio 0.2485, byte miss ratio 0.2485
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size    20510, 37400000 req, miss ratio 0.1883, byte miss ratio 0.1883
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size    61532, 37400000 req, miss ratio 0.1633, byte miss ratio 0.1633
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size   205108, 37400000 req, miss ratio 0.1382, byte miss ratio 0.1382
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size   410216, 37400000 req, miss ratio 0.1139, byte miss ratio 0.1139
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size   820432, 37400000 req, miss ratio 0.0802, byte miss ratio 0.0802
io_traces.ns241 S3FIFO-0.0010-0.9000 cache size  1640865, 37400000 req, miss ratio 0.0563, byte miss ratio 0.0563
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size     2051, 37400000 req, miss ratio 0.3778, byte miss ratio 0.3778
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size     6153, 37400000 req, miss ratio 0.2331, byte miss ratio 0.2331
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size    20510, 37400000 req, miss ratio 0.1273, byte miss ratio 0.1273
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size    61532, 37400000 req, miss ratio 0.1125, byte miss ratio 0.1125
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size   205108, 37400000 req, miss ratio 0.1001, byte miss ratio 0.1001
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size   410216, 37400000 req, miss ratio 0.0949, byte miss ratio 0.0949
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size   820432, 37400000 req, miss ratio 0.0750, byte miss ratio 0.0750
io_traces.ns241 S3FIFO-0.9500-1.9000 cache size  1640865, 37400000 req, miss ratio 0.0557, byte miss ratio 0.0557
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size     2051, 37400000 req, miss ratio 0.3705, byte miss ratio 0.3705
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size     6153, 37400000 req, miss ratio 0.2278, byte miss ratio 0.2278
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size    20510, 37400000 req, miss ratio 0.1256, byte miss ratio 0.1256
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size    61532, 37400000 req, miss ratio 0.1123, byte miss ratio 0.1123
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size   205108, 37400000 req, miss ratio 0.1000, byte miss ratio 0.1000
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size   410216, 37400000 req, miss ratio 0.0945, byte miss ratio 0.0945
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size   820432, 37400000 req, miss ratio 0.0748, byte miss ratio 0.0748
io_traces.ns241 S3FIFO-0.9000-1.9000 cache size  1640865, 37400000 req, miss ratio 0.0555, byte miss ratio 0.0555
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size     2051, 37400000 req, miss ratio 0.2658, byte miss ratio 0.2658
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size     6153, 37400000 req, miss ratio 0.2087, byte miss ratio 0.2087
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size    20510, 37400000 req, miss ratio 0.1387, byte miss ratio 0.1387
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size    61532, 37400000 req, miss ratio 0.1152, byte miss ratio 0.1152
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size   205108, 37400000 req, miss ratio 0.0914, byte miss ratio 0.0914
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size   410216, 37400000 req, miss ratio 0.0889, byte miss ratio 0.0889
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size   820432, 37400000 req, miss ratio 0.0686, byte miss ratio 0.0686
io_traces.ns241 S3FIFO-0.1500-1.9000 cache size  1640865, 37400000 req, miss ratio 0.0552, byte miss ratio 0.0552
