cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size      312, 1553093 req, miss ratio 0.3627, byte miss ratio 0.3627
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size      937, 1553093 req, miss ratio 0.2843, byte miss ratio 0.2843
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size     3125, 1553093 req, miss ratio 0.2517, byte miss ratio 0.2517
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size     9377, 1553093 req, miss ratio 0.2320, byte miss ratio 0.2320
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size    31257, 1553093 req, miss ratio 0.2141, byte miss ratio 0.2141
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size    62515, 1553093 req, miss ratio 0.2084, byte miss ratio 0.2084
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.5000-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size      312, 1553093 req, miss ratio 0.3189, byte miss ratio 0.3189
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size      937, 1553093 req, miss ratio 0.2712, byte miss ratio 0.2712
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size     3125, 1553093 req, miss ratio 0.2506, byte miss ratio 0.2506
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size     9377, 1553093 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size    31257, 1553093 req, miss ratio 0.2155, byte miss ratio 0.2155
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.0500-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size      312, 1553093 req, miss ratio 0.4312, byte miss ratio 0.4312
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size      937, 1553093 req, miss ratio 0.3144, byte miss ratio 0.3144
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2604, byte miss ratio 0.2604
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2399, byte miss ratio 0.2399
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2193, byte miss ratio 0.2193
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2098, byte miss ratio 0.2098
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2053, byte miss ratio 0.2053
cdn1_colo28.ns869 S3FIFO-0.8000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size      312, 1553093 req, miss ratio 0.3538, byte miss ratio 0.3538
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size      937, 1553093 req, miss ratio 0.2816, byte miss ratio 0.2816
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size     3125, 1553093 req, miss ratio 0.2514, byte miss ratio 0.2514
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size     9377, 1553093 req, miss ratio 0.2307, byte miss ratio 0.2307
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size    31257, 1553093 req, miss ratio 0.2140, byte miss ratio 0.2140
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size    62515, 1553093 req, miss ratio 0.2083, byte miss ratio 0.2083
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.4500-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size      312, 1553093 req, miss ratio 0.3236, byte miss ratio 0.3236
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size      937, 1553093 req, miss ratio 0.2761, byte miss ratio 0.2761
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size     3125, 1553093 req, miss ratio 0.2519, byte miss ratio 0.2519
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size     9377, 1553093 req, miss ratio 0.2320, byte miss ratio 0.2320
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size    31257, 1553093 req, miss ratio 0.2170, byte miss ratio 0.2170
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.0100-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size      312, 1553093 req, miss ratio 0.4765, byte miss ratio 0.4765
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size      937, 1553093 req, miss ratio 0.3491, byte miss ratio 0.3491
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size     3125, 1553093 req, miss ratio 0.2788, byte miss ratio 0.2788
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size     9377, 1553093 req, miss ratio 0.2498, byte miss ratio 0.2498
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size    31257, 1553093 req, miss ratio 0.2269, byte miss ratio 0.2269
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size    62515, 1553093 req, miss ratio 0.2159, byte miss ratio 0.2159
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size   125030, 1553093 req, miss ratio 0.2079, byte miss ratio 0.2079
cdn1_colo28.ns869 S3FIFO-0.9500-0.9000 cache size   250061, 1553093 req, miss ratio 0.2017, byte miss ratio 0.2017
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size      312, 1553093 req, miss ratio 0.3264, byte miss ratio 0.3264
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size      937, 1553093 req, miss ratio 0.2802, byte miss ratio 0.2802
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size     3125, 1553093 req, miss ratio 0.2545, byte miss ratio 0.2545
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size     9377, 1553093 req, miss ratio 0.2350, byte miss ratio 0.2350
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size    31257, 1553093 req, miss ratio 0.2174, byte miss ratio 0.2174
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.0050-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size      312, 1553093 req, miss ratio 0.3599, byte miss ratio 0.3599
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size      937, 1553093 req, miss ratio 0.2829, byte miss ratio 0.2829
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2519, byte miss ratio 0.2519
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2316, byte miss ratio 0.2316
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2142, byte miss ratio 0.2142
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2084, byte miss ratio 0.2084
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.5000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size      312, 1553093 req, miss ratio 0.3910, byte miss ratio 0.3910
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size      937, 1553093 req, miss ratio 0.2939, byte miss ratio 0.2939
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size     3125, 1553093 req, miss ratio 0.2539, byte miss ratio 0.2539
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size     9377, 1553093 req, miss ratio 0.2355, byte miss ratio 0.2355
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size    31257, 1553093 req, miss ratio 0.2149, byte miss ratio 0.2149
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size    62515, 1553093 req, miss ratio 0.2088, byte miss ratio 0.2088
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.6500-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size      312, 1553093 req, miss ratio 0.4772, byte miss ratio 0.4772
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size      937, 1553093 req, miss ratio 0.3496, byte miss ratio 0.3496
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size     3125, 1553093 req, miss ratio 0.2794, byte miss ratio 0.2794
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size     9377, 1553093 req, miss ratio 0.2504, byte miss ratio 0.2504
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size    31257, 1553093 req, miss ratio 0.2271, byte miss ratio 0.2271
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size    62515, 1553093 req, miss ratio 0.2161, byte miss ratio 0.2161
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size   125030, 1553093 req, miss ratio 0.2079, byte miss ratio 0.2079
cdn1_colo28.ns869 S3FIFO-0.9500-1.9000 cache size   250061, 1553093 req, miss ratio 0.2017, byte miss ratio 0.2017
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size      312, 1553093 req, miss ratio 0.3238, byte miss ratio 0.3238
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size      937, 1553093 req, miss ratio 0.2728, byte miss ratio 0.2728
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2507, byte miss ratio 0.2507
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2301, byte miss ratio 0.2301
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2143, byte miss ratio 0.2143
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.2000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size      312, 1553093 req, miss ratio 0.3720, byte miss ratio 0.3720
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size      937, 1553093 req, miss ratio 0.2876, byte miss ratio 0.2876
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size     3125, 1553093 req, miss ratio 0.2521, byte miss ratio 0.2521
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size     9377, 1553093 req, miss ratio 0.2334, byte miss ratio 0.2334
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size    31257, 1553093 req, miss ratio 0.2147, byte miss ratio 0.2147
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size    62515, 1553093 req, miss ratio 0.2085, byte miss ratio 0.2085
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.5500-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size      312, 1553093 req, miss ratio 0.4041, byte miss ratio 0.4041
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size      937, 1553093 req, miss ratio 0.2993, byte miss ratio 0.2993
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2552, byte miss ratio 0.2552
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2367, byte miss ratio 0.2367
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2156, byte miss ratio 0.2156
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2090, byte miss ratio 0.2090
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2051, byte miss ratio 0.2051
cdn1_colo28.ns869 S3FIFO-0.7000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size      312, 1553093 req, miss ratio 0.3459, byte miss ratio 0.3459
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size      937, 1553093 req, miss ratio 0.2794, byte miss ratio 0.2794
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size     3125, 1553093 req, miss ratio 0.2513, byte miss ratio 0.2513
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size     9377, 1553093 req, miss ratio 0.2299, byte miss ratio 0.2299
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size    31257, 1553093 req, miss ratio 0.2139, byte miss ratio 0.2139
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size    62515, 1553093 req, miss ratio 0.2083, byte miss ratio 0.2083
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.4000-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size      312, 1553093 req, miss ratio 0.3205, byte miss ratio 0.3205
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size      937, 1553093 req, miss ratio 0.2722, byte miss ratio 0.2722
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size     3125, 1553093 req, miss ratio 0.2507, byte miss ratio 0.2507
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size     9377, 1553093 req, miss ratio 0.2311, byte miss ratio 0.2311
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size    31257, 1553093 req, miss ratio 0.2144, byte miss ratio 0.2144
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.1500-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size      312, 1553093 req, miss ratio 0.3244, byte miss ratio 0.3244
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size      937, 1553093 req, miss ratio 0.2732, byte miss ratio 0.2732
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size     3125, 1553093 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size     9377, 1553093 req, miss ratio 0.2285, byte miss ratio 0.2285
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size    31257, 1553093 req, miss ratio 0.2139, byte miss ratio 0.2139
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.2000-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size      312, 1553093 req, miss ratio 0.3288, byte miss ratio 0.3288
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size      937, 1553093 req, miss ratio 0.2743, byte miss ratio 0.2743
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size     3125, 1553093 req, miss ratio 0.2504, byte miss ratio 0.2504
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size     9377, 1553093 req, miss ratio 0.2279, byte miss ratio 0.2279
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size    31257, 1553093 req, miss ratio 0.2139, byte miss ratio 0.2139
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size    62515, 1553093 req, miss ratio 0.2085, byte miss ratio 0.2085
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.2500-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size      312, 1553093 req, miss ratio 0.3185, byte miss ratio 0.3185
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size      937, 1553093 req, miss ratio 0.2716, byte miss ratio 0.2716
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2507, byte miss ratio 0.2507
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2324, byte miss ratio 0.2324
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2147, byte miss ratio 0.2147
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.1000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size      312, 1553093 req, miss ratio 0.3438, byte miss ratio 0.3438
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size      937, 1553093 req, miss ratio 0.2782, byte miss ratio 0.2782
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2515, byte miss ratio 0.2515
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2306, byte miss ratio 0.2306
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2141, byte miss ratio 0.2141
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2084, byte miss ratio 0.2084
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.4000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size      312, 1553093 req, miss ratio 0.3798, byte miss ratio 0.3798
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size      937, 1553093 req, miss ratio 0.2896, byte miss ratio 0.2896
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size     3125, 1553093 req, miss ratio 0.2529, byte miss ratio 0.2529
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size     9377, 1553093 req, miss ratio 0.2341, byte miss ratio 0.2341
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size    31257, 1553093 req, miss ratio 0.2148, byte miss ratio 0.2148
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.6000-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size      312, 1553093 req, miss ratio 0.3193, byte miss ratio 0.3193
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size      937, 1553093 req, miss ratio 0.2717, byte miss ratio 0.2717
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size     3125, 1553093 req, miss ratio 0.2512, byte miss ratio 0.2512
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size     9377, 1553093 req, miss ratio 0.2331, byte miss ratio 0.2331
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size    31257, 1553093 req, miss ratio 0.2157, byte miss ratio 0.2157
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.0500-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size      312, 1553093 req, miss ratio 0.4332, byte miss ratio 0.4332
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size      937, 1553093 req, miss ratio 0.3162, byte miss ratio 0.3162
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size     3125, 1553093 req, miss ratio 0.2610, byte miss ratio 0.2610
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size     9377, 1553093 req, miss ratio 0.2406, byte miss ratio 0.2406
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size    31257, 1553093 req, miss ratio 0.2197, byte miss ratio 0.2197
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size    62515, 1553093 req, miss ratio 0.2099, byte miss ratio 0.2099
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size   125030, 1553093 req, miss ratio 0.2053, byte miss ratio 0.2053
cdn1_colo28.ns869 S3FIFO-0.8000-1.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size      312, 1553093 req, miss ratio 0.3242, byte miss ratio 0.3242
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size      937, 1553093 req, miss ratio 0.2771, byte miss ratio 0.2771
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size     3125, 1553093 req, miss ratio 0.2527, byte miss ratio 0.2527
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size     9377, 1553093 req, miss ratio 0.2345, byte miss ratio 0.2345
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size    31257, 1553093 req, miss ratio 0.2171, byte miss ratio 0.2171
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size    62515, 1553093 req, miss ratio 0.2086, byte miss ratio 0.2086
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size   125030, 1553093 req, miss ratio 0.2050, byte miss ratio 0.2050
cdn1_colo28.ns869 S3FIFO-0.0100-0.9000 cache size   250061, 1553093 req, miss ratio 0.2015, byte miss ratio 0.2015
