cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size       17, 1073008 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size       53, 1073008 req, miss ratio 0.2787, byte miss ratio 0.2787
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size      179, 1073008 req, miss ratio 0.1991, byte miss ratio 0.1991
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size      537, 1073008 req, miss ratio 0.1310, byte miss ratio 0.1310
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size     1792, 1073008 req, miss ratio 0.0712, byte miss ratio 0.0712
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size     3584, 1073008 req, miss ratio 0.0443, byte miss ratio 0.0443
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size     7168, 1073008 req, miss ratio 0.0257, byte miss ratio 0.0257
cdn1_allcolo.ns2576 S3FIFO-0.0500-1.9000 cache size    14336, 1073008 req, miss ratio 0.0174, byte miss ratio 0.0174
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size       17, 1073008 req, miss ratio 0.3546, byte miss ratio 0.3546
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size       53, 1073008 req, miss ratio 0.2832, byte miss ratio 0.2832
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size      179, 1073008 req, miss ratio 0.2068, byte miss ratio 0.2068
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size      537, 1073008 req, miss ratio 0.1387, byte miss ratio 0.1387
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size     1792, 1073008 req, miss ratio 0.0765, byte miss ratio 0.0765
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size     3584, 1073008 req, miss ratio 0.0480, byte miss ratio 0.0480
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size     7168, 1073008 req, miss ratio 0.0275, byte miss ratio 0.0275
cdn1_allcolo.ns2576 S3FIFO-0.3000-0.9000 cache size    14336, 1073008 req, miss ratio 0.0174, byte miss ratio 0.0174
cdn1_allcolo.ns2576 S3FIFO-0.0010-1.9000 cache size       17, 1073008 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2576 S3FIFO-0.0010-1.9000 cache size       53, 1073008 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2576 S3FIFO-0.0010-1.9000 cache size      179, 1073008 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2576 S3FIFO-0.0010-1.9000 cache size      537, 1073008 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2576 S3FIFO-0.0010-1.9000 cache size     1792, 1073008 req, miss ratio 0.0709, byte miss ratio 0.0709
