tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size       74, 1629643 req, miss ratio 0.4244, byte miss ratio 0.4244
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size      223, 1629643 req, miss ratio 0.3040, byte miss ratio 0.3040
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size      745, 1629643 req, miss ratio 0.2617, byte miss ratio 0.2617
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size     2236, 1629643 req, miss ratio 0.2462, byte miss ratio 0.2462
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size     7454, 1629643 req, miss ratio 0.2322, byte miss ratio 0.2322
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size    14909, 1629643 req, miss ratio 0.2156, byte miss ratio 0.2156
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size    29819, 1629643 req, miss ratio 0.1565, byte miss ratio 0.1565
tencentBlock.ns6672 S3FIFO-0.8000-0.9000 cache size    59638, 1629643 req, miss ratio 0.0648, byte miss ratio 0.0648
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size       74, 1629643 req, miss ratio 0.3452, byte miss ratio 0.3452
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size      223, 1629643 req, miss ratio 0.2866, byte miss ratio 0.2866
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size      745, 1629643 req, miss ratio 0.2524, byte miss ratio 0.2524
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size     2236, 1629643 req, miss ratio 0.2333, byte miss ratio 0.2333
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size     7454, 1629643 req, miss ratio 0.2126, byte miss ratio 0.2126
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size    14909, 1629643 req, miss ratio 0.2111, byte miss ratio 0.2111
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size    29819, 1629643 req, miss ratio 0.1453, byte miss ratio 0.1453
tencentBlock.ns6672 S3FIFO-0.0250-1.9000 cache size    59638, 1629643 req, miss ratio 0.0554, byte miss ratio 0.0554
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size       74, 1629643 req, miss ratio 0.3334, byte miss ratio 0.3334
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size      223, 1629643 req, miss ratio 0.2687, byte miss ratio 0.2687
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size      745, 1629643 req, miss ratio 0.2515, byte miss ratio 0.2515
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size     2236, 1629643 req, miss ratio 0.2322, byte miss ratio 0.2322
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size     7454, 1629643 req, miss ratio 0.2145, byte miss ratio 0.2145
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size    14909, 1629643 req, miss ratio 0.1969, byte miss ratio 0.1969
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size    29819, 1629643 req, miss ratio 0.1732, byte miss ratio 0.1732
tencentBlock.ns6672 S3FIFO-0.1500-0.9000 cache size    59638, 1629643 req, miss ratio 0.0558, byte miss ratio 0.0558
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size       74, 1629643 req, miss ratio 0.3357, byte miss ratio 0.3357
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size      223, 1629643 req, miss ratio 0.2806, byte miss ratio 0.2806
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size      745, 1629643 req, miss ratio 0.2499, byte miss ratio 0.2499
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size     2236, 1629643 req, miss ratio 0.2337, byte miss ratio 0.2337
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size     7454, 1629643 req, miss ratio 0.2195, byte miss ratio 0.2195
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size    14909, 1629643 req, miss ratio 0.2147, byte miss ratio 0.2147
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size    29819, 1629643 req, miss ratio 0.1938, byte miss ratio 0.1938
tencentBlock.ns6672 S3FIFO-0.4500-1.9000 cache size    59638, 1629643 req, miss ratio 0.0577, byte miss ratio 0.0577
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size       74, 1629643 req, miss ratio 0.4349, byte miss ratio 0.4349
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size      223, 1629643 req, miss ratio 0.3111, byte miss ratio 0.3111
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size      745, 1629643 req, miss ratio 0.2660, byte miss ratio 0.2660
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size     2236, 1629643 req, miss ratio 0.2478, byte miss ratio 0.2478
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size     7454, 1629643 req, miss ratio 0.2335, byte miss ratio 0.2335
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size    14909, 1629643 req, miss ratio 0.2172, byte miss ratio 0.2172
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size    29819, 1629643 req, miss ratio 0.1567, byte miss ratio 0.1567
tencentBlock.ns6672 S3FIFO-0.8500-0.9000 cache size    59638, 1629643 req, miss ratio 0.0644, byte miss ratio 0.0644
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size       74, 1629643 req, miss ratio 0.3300, byte miss ratio 0.3300
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size      223, 1629643 req, miss ratio 0.2774, byte miss ratio 0.2774
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size      745, 1629643 req, miss ratio 0.2502, byte miss ratio 0.2502
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size     2236, 1629643 req, miss ratio 0.2334, byte miss ratio 0.2334
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size     7454, 1629643 req, miss ratio 0.2189, byte miss ratio 0.2189
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size    14909, 1629643 req, miss ratio 0.2044, byte miss ratio 0.2044
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size    29819, 1629643 req, miss ratio 0.1943, byte miss ratio 0.1943
tencentBlock.ns6672 S3FIFO-0.4000-0.9000 cache size    59638, 1629643 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size       74, 1629643 req, miss ratio 0.4162, byte miss ratio 0.4162
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size      223, 1629643 req, miss ratio 0.3000, byte miss ratio 0.3000
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size      745, 1629643 req, miss ratio 0.2581, byte miss ratio 0.2581
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size     2236, 1629643 req, miss ratio 0.2447, byte miss ratio 0.2447
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size     7454, 1629643 req, miss ratio 0.2275, byte miss ratio 0.2275
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size    14909, 1629643 req, miss ratio 0.2142, byte miss ratio 0.2142
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size    29819, 1629643 req, miss ratio 0.1577, byte miss ratio 0.1577
tencentBlock.ns6672 S3FIFO-0.7500-0.9000 cache size    59638, 1629643 req, miss ratio 0.0621, byte miss ratio 0.0621
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size       74, 1629643 req, miss ratio 0.3359, byte miss ratio 0.3359
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size      223, 1629643 req, miss ratio 0.2683, byte miss ratio 0.2683
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size      745, 1629643 req, miss ratio 0.2497, byte miss ratio 0.2497
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size     2236, 1629643 req, miss ratio 0.2324, byte miss ratio 0.2324
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size     7454, 1629643 req, miss ratio 0.2132, byte miss ratio 0.2132
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size    14909, 1629643 req, miss ratio 0.2121, byte miss ratio 0.2121
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size    29819, 1629643 req, miss ratio 0.1617, byte miss ratio 0.1617
tencentBlock.ns6672 S3FIFO-0.1000-1.9000 cache size    59638, 1629643 req, miss ratio 0.0556, byte miss ratio 0.0556
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size       74, 1629643 req, miss ratio 0.3265, byte miss ratio 0.3265
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size      223, 1629643 req, miss ratio 0.2720, byte miss ratio 0.2720
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size      745, 1629643 req, miss ratio 0.2494, byte miss ratio 0.2494
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size     2236, 1629643 req, miss ratio 0.2324, byte miss ratio 0.2324
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size     7454, 1629643 req, miss ratio 0.2170, byte miss ratio 0.2170
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size    14909, 1629643 req, miss ratio 0.2140, byte miss ratio 0.2140
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size    29819, 1629643 req, miss ratio 0.1887, byte miss ratio 0.1887
tencentBlock.ns6672 S3FIFO-0.3000-1.9000 cache size    59638, 1629643 req, miss ratio 0.0567, byte miss ratio 0.0567
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size       74, 1629643 req, miss ratio 0.3318, byte miss ratio 0.3318
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size      223, 1629643 req, miss ratio 0.2687, byte miss ratio 0.2687
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size      745, 1629643 req, miss ratio 0.2511, byte miss ratio 0.2511
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size     2236, 1629643 req, miss ratio 0.2323, byte miss ratio 0.2323
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size     7454, 1629643 req, miss ratio 0.2151, byte miss ratio 0.2151
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size    14909, 1629643 req, miss ratio 0.1980, byte miss ratio 0.1980
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size    29819, 1629643 req, miss ratio 0.1789, byte miss ratio 0.1789
tencentBlock.ns6672 S3FIFO-0.2000-0.9000 cache size    59638, 1629643 req, miss ratio 0.0563, byte miss ratio 0.0563
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size       74, 1629643 req, miss ratio 0.4343, byte miss ratio 0.4343
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size      223, 1629643 req, miss ratio 0.3115, byte miss ratio 0.3115
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size      745, 1629643 req, miss ratio 0.2662, byte miss ratio 0.2662
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size     2236, 1629643 req, miss ratio 0.2480, byte miss ratio 0.2480
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size     7454, 1629643 req, miss ratio 0.2339, byte miss ratio 0.2339
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size    14909, 1629643 req, miss ratio 0.2181, byte miss ratio 0.2181
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size    29819, 1629643 req, miss ratio 0.1567, byte miss ratio 0.1567
tencentBlock.ns6672 S3FIFO-0.8500-1.9000 cache size    59638, 1629643 req, miss ratio 0.0644, byte miss ratio 0.0644
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size       74, 1629643 req, miss ratio 0.3467, byte miss ratio 0.3467
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size      223, 1629643 req, miss ratio 0.2786, byte miss ratio 0.2786
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size      745, 1629643 req, miss ratio 0.2519, byte miss ratio 0.2519
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size     2236, 1629643 req, miss ratio 0.2338, byte miss ratio 0.2338
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size     7454, 1629643 req, miss ratio 0.2124, byte miss ratio 0.2124
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size    14909, 1629643 req, miss ratio 0.1949, byte miss ratio 0.1949
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size    29819, 1629643 req, miss ratio 0.1502, byte miss ratio 0.1502
tencentBlock.ns6672 S3FIFO-0.0500-0.9000 cache size    59638, 1629643 req, miss ratio 0.0558, byte miss ratio 0.0558
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size       74, 1629643 req, miss ratio 0.4156, byte miss ratio 0.4156
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size      223, 1629643 req, miss ratio 0.3003, byte miss ratio 0.3003
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size      745, 1629643 req, miss ratio 0.2582, byte miss ratio 0.2582
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size     2236, 1629643 req, miss ratio 0.2448, byte miss ratio 0.2448
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size     7454, 1629643 req, miss ratio 0.2312, byte miss ratio 0.2312
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size    14909, 1629643 req, miss ratio 0.2171, byte miss ratio 0.2171
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size    29819, 1629643 req, miss ratio 0.1577, byte miss ratio 0.1577
tencentBlock.ns6672 S3FIFO-0.7500-1.9000 cache size    59638, 1629643 req, miss ratio 0.0621, byte miss ratio 0.0621
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size       74, 1629643 req, miss ratio 0.4069, byte miss ratio 0.4069
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size      223, 1629643 req, miss ratio 0.2977, byte miss ratio 0.2977
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size      745, 1629643 req, miss ratio 0.2566, byte miss ratio 0.2566
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size     2236, 1629643 req, miss ratio 0.2415, byte miss ratio 0.2415
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size     7454, 1629643 req, miss ratio 0.2235, byte miss ratio 0.2235
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size    14909, 1629643 req, miss ratio 0.2167, byte miss ratio 0.2167
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size    29819, 1629643 req, miss ratio 0.1605, byte miss ratio 0.1605
tencentBlock.ns6672 S3FIFO-0.7000-1.9000 cache size    59638, 1629643 req, miss ratio 0.0623, byte miss ratio 0.0623
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size       74, 1629643 req, miss ratio 0.3978, byte miss ratio 0.3978
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size      223, 1629643 req, miss ratio 0.2903, byte miss ratio 0.2903
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size      745, 1629643 req, miss ratio 0.2527, byte miss ratio 0.2527
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size     2236, 1629643 req, miss ratio 0.2364, byte miss ratio 0.2364
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size     7454, 1629643 req, miss ratio 0.2224, byte miss ratio 0.2224
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size    14909, 1629643 req, miss ratio 0.2083, byte miss ratio 0.2083
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size    29819, 1629643 req, miss ratio 0.1783, byte miss ratio 0.1783
tencentBlock.ns6672 S3FIFO-0.6000-0.9000 cache size    59638, 1629643 req, miss ratio 0.0589, byte miss ratio 0.0589
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size       74, 1629643 req, miss ratio 0.3991, byte miss ratio 0.3991
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size      223, 1629643 req, miss ratio 0.2906, byte miss ratio 0.2906
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size      745, 1629643 req, miss ratio 0.2528, byte miss ratio 0.2528
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size     2236, 1629643 req, miss ratio 0.2361, byte miss ratio 0.2361
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size     7454, 1629643 req, miss ratio 0.2223, byte miss ratio 0.2223
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size    14909, 1629643 req, miss ratio 0.2149, byte miss ratio 0.2149
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size    29819, 1629643 req, miss ratio 0.1783, byte miss ratio 0.1783
tencentBlock.ns6672 S3FIFO-0.6000-1.9000 cache size    59638, 1629643 req, miss ratio 0.0589, byte miss ratio 0.0589
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size       74, 1629643 req, miss ratio 0.3798, byte miss ratio 0.3798
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size      223, 1629643 req, miss ratio 0.2876, byte miss ratio 0.2876
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size      745, 1629643 req, miss ratio 0.2516, byte miss ratio 0.2516
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size     2236, 1629643 req, miss ratio 0.2351, byte miss ratio 0.2351
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size     7454, 1629643 req, miss ratio 0.2214, byte miss ratio 0.2214
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size    14909, 1629643 req, miss ratio 0.2068, byte miss ratio 0.2068
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size    29819, 1629643 req, miss ratio 0.1870, byte miss ratio 0.1870
tencentBlock.ns6672 S3FIFO-0.5500-0.9000 cache size    59638, 1629643 req, miss ratio 0.0577, byte miss ratio 0.0577
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size       74, 1629643 req, miss ratio 0.3280, byte miss ratio 0.3280
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size      223, 1629643 req, miss ratio 0.2748, byte miss ratio 0.2748
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size      745, 1629643 req, miss ratio 0.2498, byte miss ratio 0.2498
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size     2236, 1629643 req, miss ratio 0.2327, byte miss ratio 0.2327
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size     7454, 1629643 req, miss ratio 0.2180, byte miss ratio 0.2180
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size    14909, 1629643 req, miss ratio 0.2140, byte miss ratio 0.2140
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size    29819, 1629643 req, miss ratio 0.1922, byte miss ratio 0.1922
tencentBlock.ns6672 S3FIFO-0.3500-1.9000 cache size    59638, 1629643 req, miss ratio 0.0572, byte miss ratio 0.0572
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size       74, 1629643 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size      223, 1629643 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size      745, 1629643 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size     2236, 1629643 req, miss ratio 0.2499, byte miss ratio 0.2499
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size     7454, 1629643 req, miss ratio 0.2162, byte miss ratio 0.2162
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size    14909, 1629643 req, miss ratio 0.2116, byte miss ratio 0.2116
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size    29819, 1629643 req, miss ratio 0.1444, byte miss ratio 0.1444
tencentBlock.ns6672 S3FIFO-0.0010-1.9000 cache size    59638, 1629643 req, miss ratio 0.0543, byte miss ratio 0.0543
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size       74, 1629643 req, miss ratio 0.3276, byte miss ratio 0.3276
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size      223, 1629643 req, miss ratio 0.2699, byte miss ratio 0.2699
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size      745, 1629643 req, miss ratio 0.2492, byte miss ratio 0.2492
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size     2236, 1629643 req, miss ratio 0.2321, byte miss ratio 0.2321
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size     7454, 1629643 req, miss ratio 0.2159, byte miss ratio 0.2159
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size    14909, 1629643 req, miss ratio 0.2140, byte miss ratio 0.2140
tencentBlock.ns6672 S3FIFO-0.2500-1.9000 cache size    29819, 1629643 req, miss ratio 0.1840, byte miss ratio 0.1840
