cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size      160, 4040363 req, miss ratio 0.3118, byte miss ratio 0.3118
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size      482, 4040363 req, miss ratio 0.2708, byte miss ratio 0.2708
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size     1609, 4040363 req, miss ratio 0.2165, byte miss ratio 0.2165
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size     4829, 4040363 req, miss ratio 0.1636, byte miss ratio 0.1636
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size    16099, 4040363 req, miss ratio 0.1053, byte miss ratio 0.1053
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size    32199, 4040363 req, miss ratio 0.0727, byte miss ratio 0.0727
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size    64399, 4040363 req, miss ratio 0.0503, byte miss ratio 0.0503
cdn1_colo28.ns588 S3FIFO-0.0500-1.9000 cache size   128799, 4040363 req, miss ratio 0.0406, byte miss ratio 0.0406
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size      160, 4040363 req, miss ratio 0.3104, byte miss ratio 0.3104
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size      482, 4040363 req, miss ratio 0.2707, byte miss ratio 0.2707
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size     1609, 4040363 req, miss ratio 0.2175, byte miss ratio 0.2175
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size     4829, 4040363 req, miss ratio 0.1652, byte miss ratio 0.1652
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size    16099, 4040363 req, miss ratio 0.1066, byte miss ratio 0.1066
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size    32199, 4040363 req, miss ratio 0.0740, byte miss ratio 0.0740
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size    64399, 4040363 req, miss ratio 0.0510, byte miss ratio 0.0510
cdn1_colo28.ns588 S3FIFO-0.2000-0.9000 cache size   128799, 4040363 req, miss ratio 0.0406, byte miss ratio 0.0406
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size      160, 4040363 req, miss ratio 0.3124, byte miss ratio 0.3124
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size      482, 4040363 req, miss ratio 0.2742, byte miss ratio 0.2742
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size     1609, 4040363 req, miss ratio 0.2223, byte miss ratio 0.2223
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size     4829, 4040363 req, miss ratio 0.1701, byte miss ratio 0.1701
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size    16099, 4040363 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size    32199, 4040363 req, miss ratio 0.0776, byte miss ratio 0.0776
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size    64399, 4040363 req, miss ratio 0.0523, byte miss ratio 0.0523
cdn1_colo28.ns588 S3FIFO-0.3500-0.9000 cache size   128799, 4040363 req, miss ratio 0.0406, byte miss ratio 0.0406
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size      160, 4040363 req, miss ratio 0.3141, byte miss ratio 0.3141
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size      482, 4040363 req, miss ratio 0.2768, byte miss ratio 0.2768
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size     1609, 4040363 req, miss ratio 0.2264, byte miss ratio 0.2264
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size     4829, 4040363 req, miss ratio 0.1743, byte miss ratio 0.1743
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size    16099, 4040363 req, miss ratio 0.1142, byte miss ratio 0.1142
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size    32199, 4040363 req, miss ratio 0.0797, byte miss ratio 0.0797
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size    64399, 4040363 req, miss ratio 0.0529, byte miss ratio 0.0529
cdn1_colo28.ns588 S3FIFO-0.4000-1.9000 cache size   128799, 4040363 req, miss ratio 0.0406, byte miss ratio 0.0406
