cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size      307, 87760234 req, miss ratio 0.0498, byte miss ratio 0.0498
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size      922, 87760234 req, miss ratio 0.0324, byte miss ratio 0.0324
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size     3075, 87760234 req, miss ratio 0.0209, byte miss ratio 0.0209
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size     9226, 87760234 req, miss ratio 0.0139, byte miss ratio 0.0139
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size    30753, 87760234 req, miss ratio 0.0084, byte miss ratio 0.0084
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size    61507, 87760234 req, miss ratio 0.0062, byte miss ratio 0.0062
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size   123014, 87760234 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns169 S3FIFO-0.5000-0.9000 cache size   246028, 87760234 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size      307, 87760234 req, miss ratio 0.0437, byte miss ratio 0.0437
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size      922, 87760234 req, miss ratio 0.0285, byte miss ratio 0.0285
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size     3075, 87760234 req, miss ratio 0.0188, byte miss ratio 0.0188
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size     9226, 87760234 req, miss ratio 0.0125, byte miss ratio 0.0125
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size    30753, 87760234 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size    61507, 87760234 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size   123014, 87760234 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns169 S3FIFO-0.0500-1.9000 cache size   246028, 87760234 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size      307, 87760234 req, miss ratio 0.0637, byte miss ratio 0.0637
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size      922, 87760234 req, miss ratio 0.0420, byte miss ratio 0.0420
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size     3075, 87760234 req, miss ratio 0.0266, byte miss ratio 0.0266
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size     9226, 87760234 req, miss ratio 0.0174, byte miss ratio 0.0174
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size    30753, 87760234 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size    61507, 87760234 req, miss ratio 0.0077, byte miss ratio 0.0077
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size   123014, 87760234 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns169 S3FIFO-0.9900-1.9000 cache size   246028, 87760234 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size      307, 87760234 req, miss ratio 0.0509, byte miss ratio 0.0509
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size      922, 87760234 req, miss ratio 0.0331, byte miss ratio 0.0331
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size     3075, 87760234 req, miss ratio 0.0213, byte miss ratio 0.0213
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size     9226, 87760234 req, miss ratio 0.0142, byte miss ratio 0.0142
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size    30753, 87760234 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size    61507, 87760234 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size   123014, 87760234 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns169 S3FIFO-0.5500-0.9000 cache size   246028, 87760234 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size      307, 87760234 req, miss ratio 0.0470, byte miss ratio 0.0470
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size      922, 87760234 req, miss ratio 0.0306, byte miss ratio 0.0306
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size     3075, 87760234 req, miss ratio 0.0198, byte miss ratio 0.0198
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size     9226, 87760234 req, miss ratio 0.0132, byte miss ratio 0.0132
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size    30753, 87760234 req, miss ratio 0.0080, byte miss ratio 0.0080
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size    61507, 87760234 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_allcolo.ns169 S3FIFO-0.3500-0.9000 cache size   123014, 87760234 req, miss ratio 0.0042, byte miss ratio 0.0042
