cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size        5, 7616519 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size       16, 7616519 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size       54, 7616519 req, miss ratio 0.2723, byte miss ratio 0.2723
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size      162, 7616519 req, miss ratio 0.0844, byte miss ratio 0.0844
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size      541, 7616519 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size     1082, 7616519 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size     2164, 7616519 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns2006 S3FIFO-0.0500-1.9000 cache size     4328, 7616519 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size        5, 7616519 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size       16, 7616519 req, miss ratio 0.4781, byte miss ratio 0.4781
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size       54, 7616519 req, miss ratio 0.2727, byte miss ratio 0.2727
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size      162, 7616519 req, miss ratio 0.0878, byte miss ratio 0.0878
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size      541, 7616519 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size     1082, 7616519 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size     2164, 7616519 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns2006 S3FIFO-0.1500-0.9000 cache size     4328, 7616519 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns2006 S3FIFO-0.1500-1.9000 cache size        5, 7616519 req, miss ratio 1.0000, byte miss ratio 1.0000
