cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size        7, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size       24, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size       73, 1179021 req, miss ratio 0.0196, byte miss ratio 0.0196
cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size      243, 1179021 req, miss ratio 0.0082, byte miss ratio 0.0082
cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size      487, 1179021 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size      975, 1179021 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_colo28.ns32369 S3FIFO-0.0250-1.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size        7, 1179021 req, miss ratio 0.0507, byte miss ratio 0.0507
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size       24, 1179021 req, miss ratio 0.0335, byte miss ratio 0.0335
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size       73, 1179021 req, miss ratio 0.0202, byte miss ratio 0.0202
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size      243, 1179021 req, miss ratio 0.0087, byte miss ratio 0.0087
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size      487, 1179021 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size      975, 1179021 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_colo28.ns32369 S3FIFO-0.1500-1.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size        7, 1179021 req, miss ratio 0.0511, byte miss ratio 0.0511
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size       24, 1179021 req, miss ratio 0.0345, byte miss ratio 0.0345
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size       73, 1179021 req, miss ratio 0.0209, byte miss ratio 0.0209
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size      243, 1179021 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size      487, 1179021 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size      975, 1179021 req, miss ratio 0.0029, byte miss ratio 0.0029
cdn1_colo28.ns32369 S3FIFO-0.3000-0.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size        7, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size       24, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size       73, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size      243, 1179021 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size      487, 1179021 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size      975, 1179021 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_colo28.ns32369 S3FIFO-0.0050-1.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size        7, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size       24, 1179021 req, miss ratio 0.0332, byte miss ratio 0.0332
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size       73, 1179021 req, miss ratio 0.0199, byte miss ratio 0.0199
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size      243, 1179021 req, miss ratio 0.0085, byte miss ratio 0.0085
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size      487, 1179021 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size      975, 1179021 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_colo28.ns32369 S3FIFO-0.1000-0.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size        7, 1179021 req, miss ratio 0.0514, byte miss ratio 0.0514
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size       24, 1179021 req, miss ratio 0.0361, byte miss ratio 0.0361
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size       73, 1179021 req, miss ratio 0.0226, byte miss ratio 0.0226
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size      243, 1179021 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size      487, 1179021 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size      975, 1179021 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns32369 S3FIFO-0.6000-0.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size        7, 1179021 req, miss ratio 0.0517, byte miss ratio 0.0517
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size       24, 1179021 req, miss ratio 0.0372, byte miss ratio 0.0372
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size       73, 1179021 req, miss ratio 0.0248, byte miss ratio 0.0248
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size      243, 1179021 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size      487, 1179021 req, miss ratio 0.0074, byte miss ratio 0.0074
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size      975, 1179021 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_colo28.ns32369 S3FIFO-0.9900-1.9000 cache size     1950, 1179021 req, miss ratio 0.0025, byte miss ratio 0.0025
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size        7, 1179021 req, miss ratio 0.0517, byte miss ratio 0.0517
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size       24, 1179021 req, miss ratio 0.0372, byte miss ratio 0.0372
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size       73, 1179021 req, miss ratio 0.0246, byte miss ratio 0.0246
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size      243, 1179021 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size      487, 1179021 req, miss ratio 0.0070, byte miss ratio 0.0070
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size      975, 1179021 req, miss ratio 0.0039, byte miss ratio 0.0039
cdn1_colo28.ns32369 S3FIFO-0.9000-1.9000 cache size     1950, 1179021 req, miss ratio 0.0024, byte miss ratio 0.0024
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size        7, 1179021 req, miss ratio 0.0514, byte miss ratio 0.0514
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size       24, 1179021 req, miss ratio 0.0363, byte miss ratio 0.0363
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size       73, 1179021 req, miss ratio 0.0229, byte miss ratio 0.0229
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size      243, 1179021 req, miss ratio 0.0105, byte miss ratio 0.0105
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size      487, 1179021 req, miss ratio 0.0063, byte miss ratio 0.0063
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size      975, 1179021 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns32369 S3FIFO-0.6500-0.9000 cache size     1950, 1179021 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size        7, 1179021 req, miss ratio 0.0516, byte miss ratio 0.0516
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size       24, 1179021 req, miss ratio 0.0370, byte miss ratio 0.0370
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size       73, 1179021 req, miss ratio 0.0241, byte miss ratio 0.0241
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size      243, 1179021 req, miss ratio 0.0111, byte miss ratio 0.0111
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size      487, 1179021 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size      975, 1179021 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns32369 S3FIFO-0.8000-1.9000 cache size     1950, 1179021 req, miss ratio 0.0023, byte miss ratio 0.0023
cdn1_colo28.ns32369 S3FIFO-0.0250-0.9000 cache size        7, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0250-0.9000 cache size       24, 1179021 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns32369 S3FIFO-0.0250-0.9000 cache size       73, 1179021 req, miss ratio 0.0196, byte miss ratio 0.0196
