tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size      111, 3017008 req, miss ratio 0.3068, byte miss ratio 0.3068
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size      333, 3017008 req, miss ratio 0.2068, byte miss ratio 0.2068
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size     1112, 3017008 req, miss ratio 0.1737, byte miss ratio 0.1737
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size     3336, 3017008 req, miss ratio 0.1578, byte miss ratio 0.1578
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size    11121, 3017008 req, miss ratio 0.1429, byte miss ratio 0.1429
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size    22242, 3017008 req, miss ratio 0.1373, byte miss ratio 0.1373
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size    44484, 3017008 req, miss ratio 0.1023, byte miss ratio 0.1023
tencentBlock.ns10095 S3FIFO-0.3000-0.9000 cache size    88968, 3017008 req, miss ratio 0.0409, byte miss ratio 0.0409
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size      111, 3017008 req, miss ratio 0.3968, byte miss ratio 0.3968
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size      333, 3017008 req, miss ratio 0.2370, byte miss ratio 0.2370
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size     1112, 3017008 req, miss ratio 0.1907, byte miss ratio 0.1907
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size     3336, 3017008 req, miss ratio 0.1669, byte miss ratio 0.1669
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size    11121, 3017008 req, miss ratio 0.1529, byte miss ratio 0.1529
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size    22242, 3017008 req, miss ratio 0.1404, byte miss ratio 0.1404
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size    44484, 3017008 req, miss ratio 0.0983, byte miss ratio 0.0983
tencentBlock.ns10095 S3FIFO-0.7500-0.9000 cache size    88968, 3017008 req, miss ratio 0.0454, byte miss ratio 0.0454
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size      111, 3017008 req, miss ratio 0.4361, byte miss ratio 0.4361
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size      333, 3017008 req, miss ratio 0.2748, byte miss ratio 0.2748
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size     1112, 3017008 req, miss ratio 0.2060, byte miss ratio 0.2060
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size     3336, 3017008 req, miss ratio 0.1787, byte miss ratio 0.1787
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size    11121, 3017008 req, miss ratio 0.1545, byte miss ratio 0.1545
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size    22242, 3017008 req, miss ratio 0.1426, byte miss ratio 0.1426
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size    44484, 3017008 req, miss ratio 0.0952, byte miss ratio 0.0952
tencentBlock.ns10095 S3FIFO-0.9500-1.9000 cache size    88968, 3017008 req, miss ratio 0.0473, byte miss ratio 0.0473
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size      111, 3017008 req, miss ratio 0.3346, byte miss ratio 0.3346
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size      333, 3017008 req, miss ratio 0.2108, byte miss ratio 0.2108
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size     1112, 3017008 req, miss ratio 0.1750, byte miss ratio 0.1750
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size     3336, 3017008 req, miss ratio 0.1585, byte miss ratio 0.1585
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size    11121, 3017008 req, miss ratio 0.1429, byte miss ratio 0.1429
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size    22242, 3017008 req, miss ratio 0.1382, byte miss ratio 0.1382
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size    44484, 3017008 req, miss ratio 0.1168, byte miss ratio 0.1168
tencentBlock.ns10095 S3FIFO-0.4000-1.9000 cache size    88968, 3017008 req, miss ratio 0.0411, byte miss ratio 0.0411
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size      111, 3017008 req, miss ratio 0.2962, byte miss ratio 0.2962
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size      333, 3017008 req, miss ratio 0.2017, byte miss ratio 0.2017
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size     1112, 3017008 req, miss ratio 0.1716, byte miss ratio 0.1716
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size     3336, 3017008 req, miss ratio 0.1571, byte miss ratio 0.1571
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size    11121, 3017008 req, miss ratio 0.1411, byte miss ratio 0.1411
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size    22242, 3017008 req, miss ratio 0.1374, byte miss ratio 0.1374
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size    44484, 3017008 req, miss ratio 0.0923, byte miss ratio 0.0923
tencentBlock.ns10095 S3FIFO-0.1500-1.9000 cache size    88968, 3017008 req, miss ratio 0.0407, byte miss ratio 0.0407
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size      111, 3017008 req, miss ratio 0.4175, byte miss ratio 0.4175
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size      333, 3017008 req, miss ratio 0.2554, byte miss ratio 0.2554
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size     1112, 3017008 req, miss ratio 0.1967, byte miss ratio 0.1967
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size     3336, 3017008 req, miss ratio 0.1718, byte miss ratio 0.1718
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size    11121, 3017008 req, miss ratio 0.1514, byte miss ratio 0.1514
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size    22242, 3017008 req, miss ratio 0.1418, byte miss ratio 0.1418
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size    44484, 3017008 req, miss ratio 0.0961, byte miss ratio 0.0961
tencentBlock.ns10095 S3FIFO-0.8500-1.9000 cache size    88968, 3017008 req, miss ratio 0.0465, byte miss ratio 0.0465
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size      111, 3017008 req, miss ratio 0.4269, byte miss ratio 0.4269
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size      333, 3017008 req, miss ratio 0.2644, byte miss ratio 0.2644
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size     1112, 3017008 req, miss ratio 0.2000, byte miss ratio 0.2000
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size     3336, 3017008 req, miss ratio 0.1746, byte miss ratio 0.1746
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size    11121, 3017008 req, miss ratio 0.1527, byte miss ratio 0.1527
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size    22242, 3017008 req, miss ratio 0.1423, byte miss ratio 0.1423
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size    44484, 3017008 req, miss ratio 0.0963, byte miss ratio 0.0963
tencentBlock.ns10095 S3FIFO-0.9000-0.9000 cache size    88968, 3017008 req, miss ratio 0.0470, byte miss ratio 0.0470
tencentBlock.ns10095 S3FIFO-0.2000-0.9000 cache size      111, 3017008 req, miss ratio 0.2970, byte miss ratio 0.2970
tencentBlock.ns10095 S3FIFO-0.2000-0.9000 cache size      333, 3017008 req, miss ratio 0.2039, byte miss ratio 0.2039
tencentBlock.ns10095 S3FIFO-0.2000-0.9000 cache size     1112, 3017008 req, miss ratio 0.1728, byte miss ratio 0.1728
