tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size     5860, 187383070 req, miss ratio 0.2243, byte miss ratio 0.2243
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size    17580, 187383070 req, miss ratio 0.0765, byte miss ratio 0.0765
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size    58600, 187383070 req, miss ratio 0.0543, byte miss ratio 0.0543
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size   175800, 187383070 req, miss ratio 0.0497, byte miss ratio 0.0497
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size   586000, 187383070 req, miss ratio 0.0480, byte miss ratio 0.0480
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size  1172000, 187383070 req, miss ratio 0.0436, byte miss ratio 0.0436
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size  2344000, 187383070 req, miss ratio 0.0425, byte miss ratio 0.0425
tencentBlock.ns1458 S3FIFO-0.0500-1.9000 cache size  4688001, 187383070 req, miss ratio 0.0324, byte miss ratio 0.0324
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size     5860, 187383070 req, miss ratio 0.2368, byte miss ratio 0.2368
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size    17580, 187383070 req, miss ratio 0.1270, byte miss ratio 0.1270
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size    58600, 187383070 req, miss ratio 0.0574, byte miss ratio 0.0574
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size   175800, 187383070 req, miss ratio 0.0510, byte miss ratio 0.0510
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size   586000, 187383070 req, miss ratio 0.0485, byte miss ratio 0.0485
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size  1172000, 187383070 req, miss ratio 0.0476, byte miss ratio 0.0476
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size  2344000, 187383070 req, miss ratio 0.0419, byte miss ratio 0.0419
tencentBlock.ns1458 S3FIFO-0.6000-0.9000 cache size  4688001, 187383070 req, miss ratio 0.0325, byte miss ratio 0.0325
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size     5860, 187383070 req, miss ratio 0.2283, byte miss ratio 0.2283
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size    17580, 187383070 req, miss ratio 0.1358, byte miss ratio 0.1358
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size    58600, 187383070 req, miss ratio 0.0561, byte miss ratio 0.0561
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size   175800, 187383070 req, miss ratio 0.0504, byte miss ratio 0.0504
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size   586000, 187383070 req, miss ratio 0.0483, byte miss ratio 0.0483
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size  1172000, 187383070 req, miss ratio 0.0474, byte miss ratio 0.0474
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size  2344000, 187383070 req, miss ratio 0.0417, byte miss ratio 0.0417
tencentBlock.ns1458 S3FIFO-0.4500-0.9000 cache size  4688001, 187383070 req, miss ratio 0.0324, byte miss ratio 0.0324
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size     5860, 187383070 req, miss ratio 0.2437, byte miss ratio 0.2437
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size    17580, 187383070 req, miss ratio 0.1321, byte miss ratio 0.1321
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size    58600, 187383070 req, miss ratio 0.0585, byte miss ratio 0.0585
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size   175800, 187383070 req, miss ratio 0.0515, byte miss ratio 0.0515
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size   586000, 187383070 req, miss ratio 0.0486, byte miss ratio 0.0486
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size  1172000, 187383070 req, miss ratio 0.0476, byte miss ratio 0.0476
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size  2344000, 187383070 req, miss ratio 0.0425, byte miss ratio 0.0425
tencentBlock.ns1458 S3FIFO-0.7000-0.9000 cache size  4688001, 187383070 req, miss ratio 0.0325, byte miss ratio 0.0325
tencentBlock.ns1458 S3FIFO-0.3000-1.9000 cache size     5860, 187383070 req, miss ratio 0.2295, byte miss ratio 0.2295
tencentBlock.ns1458 S3FIFO-0.3000-1.9000 cache size    17580, 187383070 req, miss ratio 0.1366, byte miss ratio 0.1366
tencentBlock.ns1458 S3FIFO-0.3000-1.9000 cache size    58600, 187383070 req, miss ratio 0.0549, byte miss ratio 0.0549
