cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  3310715, 182558107 req, miss ratio 0.0916, byte miss ratio 0.0916
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size  6621430, 182558107 req, miss ratio 0.0910, byte miss ratio 0.0910
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5000-1.9000 cache size 13242861, 182558107 req, miss ratio 0.0907, byte miss ratio 0.0907
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    16553, 182558107 req, miss ratio 0.1493, byte miss ratio 0.1493
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    49660, 182558107 req, miss ratio 0.1298, byte miss ratio 0.1298
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   165535, 182558107 req, miss ratio 0.1131, byte miss ratio 0.1131
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   496607, 182558107 req, miss ratio 0.1023, byte miss ratio 0.1023
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  1655357, 182558107 req, miss ratio 0.0950, byte miss ratio 0.0950
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  3310715, 182558107 req, miss ratio 0.0926, byte miss ratio 0.0926
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  6621430, 182558107 req, miss ratio 0.0915, byte miss ratio 0.0915
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 13242861, 182558107 req, miss ratio 0.0908, byte miss ratio 0.0908
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    16553, 182558107 req, miss ratio 0.1376, byte miss ratio 0.1376
cuad_ner_cfb_cache.1.oracleGeneral.sample10.zst S3FIFO-0.4500-0.9000 cache size    49660, 182558107 req, miss ratio 0.1199, byte miss ratio 0.1199
