io_traces.ns58 S3FIFO-0.2000-0.9000 cache size   183738, 382600000 req, miss ratio 0.5122, byte miss ratio 0.5122
io_traces.ns58 S3FIFO-0.2000-0.9000 cache size   612461, 382600000 req, miss ratio 0.4110, byte miss ratio 0.4110
io_traces.ns58 S3FIFO-0.2000-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3551, byte miss ratio 0.3551
io_traces.ns58 S3FIFO-0.2000-0.9000 cache size  6124613, 382600000 req, miss ratio 0.2980, byte miss ratio 0.2980
io_traces.ns58 S3FIFO-0.2000-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2553, byte miss ratio 0.2553
io_traces.ns58 S3FIFO-0.2000-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2044, byte miss ratio 0.2044
io_traces.ns58 S3FIFO-0.2000-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size    61246, 382600000 req, miss ratio 0.5837, byte miss ratio 0.5837
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size   183738, 382600000 req, miss ratio 0.5302, byte miss ratio 0.5302
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size   612461, 382600000 req, miss ratio 0.4396, byte miss ratio 0.4396
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3617, byte miss ratio 0.3617
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size  6124613, 382600000 req, miss ratio 0.3015, byte miss ratio 0.3015
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2588, byte miss ratio 0.2588
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2028, byte miss ratio 0.2028
io_traces.ns58 S3FIFO-0.5000-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1663, byte miss ratio 0.1663
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size    61246, 382600000 req, miss ratio 0.5915, byte miss ratio 0.5915
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size   183738, 382600000 req, miss ratio 0.5197, byte miss ratio 0.5197
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size   612461, 382600000 req, miss ratio 0.4208, byte miss ratio 0.4208
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size  1837383, 382600000 req, miss ratio 0.3580, byte miss ratio 0.3580
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size  6124613, 382600000 req, miss ratio 0.2999, byte miss ratio 0.2999
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size 12249226, 382600000 req, miss ratio 0.2571, byte miss ratio 0.2571
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size 24498452, 382600000 req, miss ratio 0.2031, byte miss ratio 0.2031
io_traces.ns58 S3FIFO-0.3500-1.9000 cache size 48996904, 382600000 req, miss ratio 0.1657, byte miss ratio 0.1657
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size    61246, 382600000 req, miss ratio 0.5824, byte miss ratio 0.5824
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size   183738, 382600000 req, miss ratio 0.5369, byte miss ratio 0.5369
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size   612461, 382600000 req, miss ratio 0.4590, byte miss ratio 0.4590
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size  1837383, 382600000 req, miss ratio 0.3679, byte miss ratio 0.3679
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size  6124613, 382600000 req, miss ratio 0.3041, byte miss ratio 0.3041
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size 12249226, 382600000 req, miss ratio 0.2613, byte miss ratio 0.2613
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size 24498452, 382600000 req, miss ratio 0.2043, byte miss ratio 0.2043
io_traces.ns58 S3FIFO-0.6500-0.9000 cache size 48996904, 382600000 req, miss ratio 0.1673, byte miss ratio 0.1673
