tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size     5534, 100086697 req, miss ratio 0.1503, byte miss ratio 0.1503
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size    16604, 100086697 req, miss ratio 0.0718, byte miss ratio 0.0718
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size    55349, 100086697 req, miss ratio 0.0634, byte miss ratio 0.0634
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size   166049, 100086697 req, miss ratio 0.0609, byte miss ratio 0.0609
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size   553497, 100086697 req, miss ratio 0.0594, byte miss ratio 0.0594
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size  1106995, 100086697 req, miss ratio 0.0585, byte miss ratio 0.0585
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size  2213990, 100086697 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns3342 S3FIFO-0.0050-1.9000 cache size  4427980, 100086697 req, miss ratio 0.0554, byte miss ratio 0.0554
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size     5534, 100086697 req, miss ratio 0.1501, byte miss ratio 0.1501
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size    16604, 100086697 req, miss ratio 0.0719, byte miss ratio 0.0719
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size    55349, 100086697 req, miss ratio 0.0634, byte miss ratio 0.0634
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size   166049, 100086697 req, miss ratio 0.0609, byte miss ratio 0.0609
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size   553497, 100086697 req, miss ratio 0.0594, byte miss ratio 0.0594
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size  1106995, 100086697 req, miss ratio 0.0585, byte miss ratio 0.0585
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size  2213990, 100086697 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns3342 S3FIFO-0.0050-0.9000 cache size  4427980, 100086697 req, miss ratio 0.0554, byte miss ratio 0.0554
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size     5534, 100086697 req, miss ratio 0.1530, byte miss ratio 0.1530
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size    16604, 100086697 req, miss ratio 0.0703, byte miss ratio 0.0703
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size    55349, 100086697 req, miss ratio 0.0631, byte miss ratio 0.0631
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size   166049, 100086697 req, miss ratio 0.0608, byte miss ratio 0.0608
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size   553497, 100086697 req, miss ratio 0.0594, byte miss ratio 0.0594
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size  1106995, 100086697 req, miss ratio 0.0585, byte miss ratio 0.0585
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size  2213990, 100086697 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns3342 S3FIFO-0.2000-1.9000 cache size  4427980, 100086697 req, miss ratio 0.0555, byte miss ratio 0.0555
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size     5534, 100086697 req, miss ratio 0.1838, byte miss ratio 0.1838
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size    16604, 100086697 req, miss ratio 0.0838, byte miss ratio 0.0838
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size    55349, 100086697 req, miss ratio 0.0656, byte miss ratio 0.0656
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size   166049, 100086697 req, miss ratio 0.0617, byte miss ratio 0.0617
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size   553497, 100086697 req, miss ratio 0.0599, byte miss ratio 0.0599
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size  1106995, 100086697 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size  2213990, 100086697 req, miss ratio 0.0573, byte miss ratio 0.0573
tencentBlock.ns3342 S3FIFO-0.7000-0.9000 cache size  4427980, 100086697 req, miss ratio 0.0566, byte miss ratio 0.0566
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size     5534, 100086697 req, miss ratio 0.1468, byte miss ratio 0.1468
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size    16604, 100086697 req, miss ratio 0.0713, byte miss ratio 0.0713
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size    55349, 100086697 req, miss ratio 0.0632, byte miss ratio 0.0632
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size   166049, 100086697 req, miss ratio 0.0608, byte miss ratio 0.0608
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size   553497, 100086697 req, miss ratio 0.0594, byte miss ratio 0.0594
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size  1106995, 100086697 req, miss ratio 0.0585, byte miss ratio 0.0585
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size  2213990, 100086697 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns3342 S3FIFO-0.0100-0.9000 cache size  4427980, 100086697 req, miss ratio 0.0554, byte miss ratio 0.0554
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size     5534, 100086697 req, miss ratio 0.1477, byte miss ratio 0.1477
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size    16604, 100086697 req, miss ratio 0.0705, byte miss ratio 0.0705
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size    55349, 100086697 req, miss ratio 0.0628, byte miss ratio 0.0628
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size   166049, 100086697 req, miss ratio 0.0608, byte miss ratio 0.0608
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size   553497, 100086697 req, miss ratio 0.0594, byte miss ratio 0.0594
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size  1106995, 100086697 req, miss ratio 0.0585, byte miss ratio 0.0585
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size  2213990, 100086697 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns3342 S3FIFO-0.1000-1.9000 cache size  4427980, 100086697 req, miss ratio 0.0554, byte miss ratio 0.0554
tencentBlock.ns3342 S3FIFO-0.2000-0.9000 cache size     5534, 100086697 req, miss ratio 0.1524, byte miss ratio 0.1524
tencentBlock.ns3342 S3FIFO-0.2000-0.9000 cache size    16604, 100086697 req, miss ratio 0.0703, byte miss ratio 0.0703
