tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size       88, 2000431 req, miss ratio 0.3194, byte miss ratio 0.3194
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size      266, 2000431 req, miss ratio 0.2565, byte miss ratio 0.2565
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size      887, 2000431 req, miss ratio 0.2374, byte miss ratio 0.2374
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size     2662, 2000431 req, miss ratio 0.2218, byte miss ratio 0.2218
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size     8875, 2000431 req, miss ratio 0.2074, byte miss ratio 0.2074
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size    17751, 2000431 req, miss ratio 0.2034, byte miss ratio 0.2034
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size    35502, 2000431 req, miss ratio 0.1715, byte miss ratio 0.1715
tencentBlock.ns3418 S3FIFO-0.4000-1.9000 cache size    71004, 2000431 req, miss ratio 0.0510, byte miss ratio 0.0510
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size       88, 2000431 req, miss ratio 0.4187, byte miss ratio 0.4187
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size      266, 2000431 req, miss ratio 0.3028, byte miss ratio 0.3028
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size      887, 2000431 req, miss ratio 0.2551, byte miss ratio 0.2551
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size     2662, 2000431 req, miss ratio 0.2377, byte miss ratio 0.2377
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size     8875, 2000431 req, miss ratio 0.2238, byte miss ratio 0.2238
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size    17751, 2000431 req, miss ratio 0.2083, byte miss ratio 0.2083
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size    35502, 2000431 req, miss ratio 0.1455, byte miss ratio 0.1455
tencentBlock.ns3418 S3FIFO-0.9000-0.9000 cache size    71004, 2000431 req, miss ratio 0.0572, byte miss ratio 0.0572
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size       88, 2000431 req, miss ratio 0.3728, byte miss ratio 0.3728
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size      266, 2000431 req, miss ratio 0.2757, byte miss ratio 0.2757
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size      887, 2000431 req, miss ratio 0.2425, byte miss ratio 0.2425
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size     2662, 2000431 req, miss ratio 0.2288, byte miss ratio 0.2288
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size     8875, 2000431 req, miss ratio 0.2138, byte miss ratio 0.2138
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size    17751, 2000431 req, miss ratio 0.2059, byte miss ratio 0.2059
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size    35502, 2000431 req, miss ratio 0.1569, byte miss ratio 0.1569
tencentBlock.ns3418 S3FIFO-0.7000-1.9000 cache size    71004, 2000431 req, miss ratio 0.0546, byte miss ratio 0.0546
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size       88, 2000431 req, miss ratio 0.3914, byte miss ratio 0.3914
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size      266, 2000431 req, miss ratio 0.2851, byte miss ratio 0.2851
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size      887, 2000431 req, miss ratio 0.2467, byte miss ratio 0.2467
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size     2662, 2000431 req, miss ratio 0.2335, byte miss ratio 0.2335
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size     8875, 2000431 req, miss ratio 0.2196, byte miss ratio 0.2196
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size    17751, 2000431 req, miss ratio 0.2058, byte miss ratio 0.2058
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size    35502, 2000431 req, miss ratio 0.1484, byte miss ratio 0.1484
tencentBlock.ns3418 S3FIFO-0.8000-0.9000 cache size    71004, 2000431 req, miss ratio 0.0558, byte miss ratio 0.0558
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size       88, 2000431 req, miss ratio 0.3250, byte miss ratio 0.3250
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size      266, 2000431 req, miss ratio 0.2638, byte miss ratio 0.2638
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size      887, 2000431 req, miss ratio 0.2399, byte miss ratio 0.2399
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size     2662, 2000431 req, miss ratio 0.2233, byte miss ratio 0.2233
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size     8875, 2000431 req, miss ratio 0.2041, byte miss ratio 0.2041
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size    17751, 2000431 req, miss ratio 0.1871, byte miss ratio 0.1871
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size    35502, 2000431 req, miss ratio 0.1302, byte miss ratio 0.1302
tencentBlock.ns3418 S3FIFO-0.0250-0.9000 cache size    71004, 2000431 req, miss ratio 0.0486, byte miss ratio 0.0486
tencentBlock.ns3418 S3FIFO-0.7000-0.9000 cache size       88, 2000431 req, miss ratio 0.3723, byte miss ratio 0.3723
tencentBlock.ns3418 S3FIFO-0.7000-0.9000 cache size      266, 2000431 req, miss ratio 0.2750, byte miss ratio 0.2750
