cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size     1251, 10990182 req, miss ratio 0.6850, byte miss ratio 0.6850
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size     3754, 10990182 req, miss ratio 0.6306, byte miss ratio 0.6306
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size    12516, 10990182 req, miss ratio 0.5439, byte miss ratio 0.5439
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size    37549, 10990182 req, miss ratio 0.4264, byte miss ratio 0.4264
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size   125163, 10990182 req, miss ratio 0.2755, byte miss ratio 0.2755
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size   250327, 10990182 req, miss ratio 0.1997, byte miss ratio 0.1997
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size   500655, 10990182 req, miss ratio 0.1442, byte miss ratio 0.1442
cdn1_colo28.ns252 S3FIFO-0.5000-0.9000 cache size  1001311, 10990182 req, miss ratio 0.1156, byte miss ratio 0.1156
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size     1251, 10990182 req, miss ratio 0.7018, byte miss ratio 0.7018
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size     3754, 10990182 req, miss ratio 0.6552, byte miss ratio 0.6552
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size    12516, 10990182 req, miss ratio 0.5785, byte miss ratio 0.5785
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size    37549, 10990182 req, miss ratio 0.4694, byte miss ratio 0.4694
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size   125163, 10990182 req, miss ratio 0.3126, byte miss ratio 0.3126
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size   250327, 10990182 req, miss ratio 0.2272, byte miss ratio 0.2272
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size   500655, 10990182 req, miss ratio 0.1607, byte miss ratio 0.1607
cdn1_colo28.ns252 S3FIFO-0.8500-1.9000 cache size  1001311, 10990182 req, miss ratio 0.1197, byte miss ratio 0.1197
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size     1251, 10990182 req, miss ratio 0.6835, byte miss ratio 0.6835
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size     3754, 10990182 req, miss ratio 0.6291, byte miss ratio 0.6291
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size    12516, 10990182 req, miss ratio 0.5430, byte miss ratio 0.5430
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size    37549, 10990182 req, miss ratio 0.4257, byte miss ratio 0.4257
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size   125163, 10990182 req, miss ratio 0.2737, byte miss ratio 0.2737
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size   250327, 10990182 req, miss ratio 0.1975, byte miss ratio 0.1975
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size   500655, 10990182 req, miss ratio 0.1428, byte miss ratio 0.1428
cdn1_colo28.ns252 S3FIFO-0.4500-1.9000 cache size  1001311, 10990182 req, miss ratio 0.1156, byte miss ratio 0.1156
cdn1_colo28.ns252 S3FIFO-0.7000-0.9000 cache size     1251, 10990182 req, miss ratio 0.6924, byte miss ratio 0.6924
cdn1_colo28.ns252 S3FIFO-0.7000-0.9000 cache size     3754, 10990182 req, miss ratio 0.6417, byte miss ratio 0.6417
