cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size        6, 1210695 req, miss ratio 0.8991, byte miss ratio 0.8991
cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size       21, 1210695 req, miss ratio 0.7817, byte miss ratio 0.7817
cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size       63, 1210695 req, miss ratio 0.2015, byte miss ratio 0.2015
cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size      210, 1210695 req, miss ratio 0.0136, byte miss ratio 0.0136
cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size      420, 1210695 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size      840, 1210695 req, miss ratio 0.0020, byte miss ratio 0.0020
cdn1_colo28.ns350 S3FIFO-0.4000-1.9000 cache size     1681, 1210695 req, miss ratio 0.0017, byte miss ratio 0.0017
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size        6, 1210695 req, miss ratio 0.9337, byte miss ratio 0.9337
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size       21, 1210695 req, miss ratio 0.8078, byte miss ratio 0.8078
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size       63, 1210695 req, miss ratio 0.2315, byte miss ratio 0.2315
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size      210, 1210695 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size      420, 1210695 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size      840, 1210695 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns350 S3FIFO-0.7000-1.9000 cache size     1681, 1210695 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_colo28.ns350 S3FIFO-0.5000-0.9000 cache size        6, 1210695 req, miss ratio 0.9109, byte miss ratio 0.9109
cdn1_colo28.ns350 S3FIFO-0.5000-0.9000 cache size       21, 1210695 req, miss ratio 0.7628, byte miss ratio 0.7628
cdn1_colo28.ns350 S3FIFO-0.5000-0.9000 cache size       63, 1210695 req, miss ratio 0.2130, byte miss ratio 0.2130
cdn1_colo28.ns350 S3FIFO-0.5000-0.9000 cache size      210, 1210695 req, miss ratio 0.0150, byte miss ratio 0.0150
cdn1_colo28.ns350 S3FIFO-0.5000-0.9000 cache size      420, 1210695 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_colo28.ns350 S3FIFO-0.5000-0.9000 cache size      840, 1210695 req, miss ratio 0.0020, byte miss ratio 0.0020
