tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size     1139, 6475063 req, miss ratio 0.4290, byte miss ratio 0.4290
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size     3418, 6475063 req, miss ratio 0.4071, byte miss ratio 0.4071
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size    11394, 6475063 req, miss ratio 0.3913, byte miss ratio 0.3913
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size    34182, 6475063 req, miss ratio 0.3526, byte miss ratio 0.3526
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size   113942, 6475063 req, miss ratio 0.3220, byte miss ratio 0.3220
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size   227885, 6475063 req, miss ratio 0.2833, byte miss ratio 0.2833
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size   455771, 6475063 req, miss ratio 0.2182, byte miss ratio 0.2182
tencentBlock.ns6725 S3FIFO-0.7500-0.9000 cache size   911542, 6475063 req, miss ratio 0.1773, byte miss ratio 0.1773
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size     1139, 6475063 req, miss ratio 0.4351, byte miss ratio 0.4351
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size     3418, 6475063 req, miss ratio 0.4072, byte miss ratio 0.4072
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size    11394, 6475063 req, miss ratio 0.3718, byte miss ratio 0.3718
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size    34182, 6475063 req, miss ratio 0.3463, byte miss ratio 0.3463
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size   113942, 6475063 req, miss ratio 0.2941, byte miss ratio 0.2941
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size   227885, 6475063 req, miss ratio 0.2571, byte miss ratio 0.2571
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size   455771, 6475063 req, miss ratio 0.2243, byte miss ratio 0.2243
tencentBlock.ns6725 S3FIFO-0.0100-0.9000 cache size   911542, 6475063 req, miss ratio 0.1772, byte miss ratio 0.1772
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size     1139, 6475063 req, miss ratio 0.4253, byte miss ratio 0.4253
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size     3418, 6475063 req, miss ratio 0.4054, byte miss ratio 0.4054
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size    11394, 6475063 req, miss ratio 0.3900, byte miss ratio 0.3900
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size    34182, 6475063 req, miss ratio 0.3521, byte miss ratio 0.3521
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size   113942, 6475063 req, miss ratio 0.3200, byte miss ratio 0.3200
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size   227885, 6475063 req, miss ratio 0.2817, byte miss ratio 0.2817
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size   455771, 6475063 req, miss ratio 0.2178, byte miss ratio 0.2178
tencentBlock.ns6725 S3FIFO-0.7000-0.9000 cache size   911542, 6475063 req, miss ratio 0.1772, byte miss ratio 0.1772
tencentBlock.ns6725 S3FIFO-0.5500-0.9000 cache size     1139, 6475063 req, miss ratio 0.4197, byte miss ratio 0.4197
tencentBlock.ns6725 S3FIFO-0.5500-0.9000 cache size     3418, 6475063 req, miss ratio 0.4019, byte miss ratio 0.4019
tencentBlock.ns6725 S3FIFO-0.5500-0.9000 cache size    11394, 6475063 req, miss ratio 0.3785, byte miss ratio 0.3785
tencentBlock.ns6725 S3FIFO-0.5500-0.9000 cache size    34182, 6475063 req, miss ratio 0.3505, byte miss ratio 0.3505
tencentBlock.ns6725 S3FIFO-0.5500-0.9000 cache size   113942, 6475063 req, miss ratio 0.3132, byte miss ratio 0.3132
