tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size     1911, 67764246 req, miss ratio 0.6284, byte miss ratio 0.6284
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size     5734, 67764246 req, miss ratio 0.5375, byte miss ratio 0.5375
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size    19115, 67764246 req, miss ratio 0.4491, byte miss ratio 0.4491
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size    57346, 67764246 req, miss ratio 0.3718, byte miss ratio 0.3718
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size   191153, 67764246 req, miss ratio 0.2112, byte miss ratio 0.2112
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size   382307, 67764246 req, miss ratio 0.1264, byte miss ratio 0.1264
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size   764615, 67764246 req, miss ratio 0.0649, byte miss ratio 0.0649
tencentBlock.ns1121 S3FIFO-0.5000-0.9000 cache size  1529231, 67764246 req, miss ratio 0.0305, byte miss ratio 0.0305
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size     1911, 67764246 req, miss ratio 0.6278, byte miss ratio 0.6278
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size     5734, 67764246 req, miss ratio 0.5501, byte miss ratio 0.5501
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size    19115, 67764246 req, miss ratio 0.4514, byte miss ratio 0.4514
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size    57346, 67764246 req, miss ratio 0.3580, byte miss ratio 0.3580
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size   191153, 67764246 req, miss ratio 0.2055, byte miss ratio 0.2055
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size   382307, 67764246 req, miss ratio 0.1228, byte miss ratio 0.1228
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size   764615, 67764246 req, miss ratio 0.0556, byte miss ratio 0.0556
tencentBlock.ns1121 S3FIFO-0.1500-0.9000 cache size  1529231, 67764246 req, miss ratio 0.0301, byte miss ratio 0.0301
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size     1911, 67764246 req, miss ratio 0.6299, byte miss ratio 0.6299
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size     5734, 67764246 req, miss ratio 0.5612, byte miss ratio 0.5612
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size    19115, 67764246 req, miss ratio 0.4683, byte miss ratio 0.4683
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size    57346, 67764246 req, miss ratio 0.3626, byte miss ratio 0.3626
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size   191153, 67764246 req, miss ratio 0.2049, byte miss ratio 0.2049
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size   382307, 67764246 req, miss ratio 0.1263, byte miss ratio 0.1263
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size   764615, 67764246 req, miss ratio 0.0532, byte miss ratio 0.0532
tencentBlock.ns1121 S3FIFO-0.0500-0.9000 cache size  1529231, 67764246 req, miss ratio 0.0301, byte miss ratio 0.0301
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size     1911, 67764246 req, miss ratio 0.6337, byte miss ratio 0.6337
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size     5734, 67764246 req, miss ratio 0.5413, byte miss ratio 0.5413
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size    19115, 67764246 req, miss ratio 0.4551, byte miss ratio 0.4551
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size    57346, 67764246 req, miss ratio 0.3781, byte miss ratio 0.3781
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size   191153, 67764246 req, miss ratio 0.2162, byte miss ratio 0.2162
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size   382307, 67764246 req, miss ratio 0.1319, byte miss ratio 0.1319
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size   764615, 67764246 req, miss ratio 0.0682, byte miss ratio 0.0682
tencentBlock.ns1121 S3FIFO-0.6500-0.9000 cache size  1529231, 67764246 req, miss ratio 0.0316, byte miss ratio 0.0316
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size     1911, 67764246 req, miss ratio 0.6330, byte miss ratio 0.6330
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size     5734, 67764246 req, miss ratio 0.5403, byte miss ratio 0.5403
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size    19115, 67764246 req, miss ratio 0.4548, byte miss ratio 0.4548
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size    57346, 67764246 req, miss ratio 0.3775, byte miss ratio 0.3775
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size   191153, 67764246 req, miss ratio 0.2138, byte miss ratio 0.2138
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size   382307, 67764246 req, miss ratio 0.1297, byte miss ratio 0.1297
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size   764615, 67764246 req, miss ratio 0.0670, byte miss ratio 0.0670
tencentBlock.ns1121 S3FIFO-0.6000-1.9000 cache size  1529231, 67764246 req, miss ratio 0.0311, byte miss ratio 0.0311
tencentBlock.ns1121 S3FIFO-0.8500-1.9000 cache size     1911, 67764246 req, miss ratio 0.6529, byte miss ratio 0.6529
