tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size     2660, 45021792 req, miss ratio 0.7367, byte miss ratio 0.7367
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size     7980, 45021792 req, miss ratio 0.6404, byte miss ratio 0.6404
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size    26602, 45021792 req, miss ratio 0.5263, byte miss ratio 0.5263
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size    79808, 45021792 req, miss ratio 0.3798, byte miss ratio 0.3798
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size   266029, 45021792 req, miss ratio 0.1933, byte miss ratio 0.1933
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size   532059, 45021792 req, miss ratio 0.1245, byte miss ratio 0.1245
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size  1064118, 45021792 req, miss ratio 0.0797, byte miss ratio 0.0797
tencentBlock.ns1552 S3FIFO-0.3500-0.9000 cache size  2128237, 45021792 req, miss ratio 0.0618, byte miss ratio 0.0618
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size     2660, 45021792 req, miss ratio 0.7613, byte miss ratio 0.7613
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size     7980, 45021792 req, miss ratio 0.6626, byte miss ratio 0.6626
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size    26602, 45021792 req, miss ratio 0.5325, byte miss ratio 0.5325
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size    79808, 45021792 req, miss ratio 0.3652, byte miss ratio 0.3652
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size   266029, 45021792 req, miss ratio 0.1902, byte miss ratio 0.1902
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size   532059, 45021792 req, miss ratio 0.1175, byte miss ratio 0.1175
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size  1064118, 45021792 req, miss ratio 0.0793, byte miss ratio 0.0793
tencentBlock.ns1552 S3FIFO-0.0500-1.9000 cache size  2128237, 45021792 req, miss ratio 0.0617, byte miss ratio 0.0617
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size     2660, 45021792 req, miss ratio 0.7344, byte miss ratio 0.7344
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size     7980, 45021792 req, miss ratio 0.6477, byte miss ratio 0.6477
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size    26602, 45021792 req, miss ratio 0.5423, byte miss ratio 0.5423
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size    79808, 45021792 req, miss ratio 0.3934, byte miss ratio 0.3934
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size   266029, 45021792 req, miss ratio 0.2019, byte miss ratio 0.2019
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size   532059, 45021792 req, miss ratio 0.1319, byte miss ratio 0.1319
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size  1064118, 45021792 req, miss ratio 0.0826, byte miss ratio 0.0826
tencentBlock.ns1552 S3FIFO-0.5500-1.9000 cache size  2128237, 45021792 req, miss ratio 0.0623, byte miss ratio 0.0623
tencentBlock.ns1552 S3FIFO-0.0500-0.9000 cache size     2660, 45021792 req, miss ratio 0.7676, byte miss ratio 0.7676
tencentBlock.ns1552 S3FIFO-0.0500-0.9000 cache size     7980, 45021792 req, miss ratio 0.6650, byte miss ratio 0.6650
tencentBlock.ns1552 S3FIFO-0.0500-0.9000 cache size    26602, 45021792 req, miss ratio 0.5305, byte miss ratio 0.5305
tencentBlock.ns1552 S3FIFO-0.0500-0.9000 cache size    79808, 45021792 req, miss ratio 0.3600, byte miss ratio 0.3600
