cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size       10, 2744134 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size       35, 2744134 req, miss ratio 0.0016, byte miss ratio 0.0016
cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size      105, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size      704, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size     1408, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.7000-1.9000 cache size     2816, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size       10, 2744134 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size       35, 2744134 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size      105, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size      704, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size     1408, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0100-0.9000 cache size     2816, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size       10, 2744134 req, miss ratio 0.0091, byte miss ratio 0.0091
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size       35, 2744134 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size      105, 2744134 req, miss ratio 0.0015, byte miss ratio 0.0015
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size      704, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size     1408, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.9500-1.9000 cache size     2816, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size       10, 2744134 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size       35, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size      105, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size      704, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size     1408, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.1500-0.9000 cache size     2816, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size       10, 2744134 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size       35, 2744134 req, miss ratio 0.0018, byte miss ratio 0.0018
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size      105, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size      704, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size     1408, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.8000-0.9000 cache size     2816, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size       10, 2744134 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size       35, 2744134 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size      105, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size      704, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size     1408, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.0250-0.9000 cache size     2816, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.2500-1.9000 cache size       10, 2744134 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns2213 S3FIFO-0.2500-1.9000 cache size       35, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.2500-1.9000 cache size      105, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns2213 S3FIFO-0.2500-1.9000 cache size      352, 2744134 req, miss ratio 0.0013, byte miss ratio 0.0013
