cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size        9, 1360096 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size       28, 1360096 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size       94, 1360096 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size      282, 1360096 req, miss ratio 0.1208, byte miss ratio 0.1208
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size      942, 1360096 req, miss ratio 0.0465, byte miss ratio 0.0465
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size     1885, 1360096 req, miss ratio 0.0235, byte miss ratio 0.0235
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size     3771, 1360096 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_allcolo.ns953 S3FIFO-0.0050-0.9000 cache size     7542, 1360096 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size        9, 1360096 req, miss ratio 0.4664, byte miss ratio 0.4664
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size       28, 1360096 req, miss ratio 0.3725, byte miss ratio 0.3725
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size       94, 1360096 req, miss ratio 0.2630, byte miss ratio 0.2630
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size      282, 1360096 req, miss ratio 0.1532, byte miss ratio 0.1532
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size      942, 1360096 req, miss ratio 0.0590, byte miss ratio 0.0590
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size     1885, 1360096 req, miss ratio 0.0295, byte miss ratio 0.0295
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size     3771, 1360096 req, miss ratio 0.0135, byte miss ratio 0.0135
cdn1_allcolo.ns953 S3FIFO-0.6000-1.9000 cache size     7542, 1360096 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_allcolo.ns953 S3FIFO-0.7000-0.9000 cache size        9, 1360096 req, miss ratio 0.4757, byte miss ratio 0.4757
