cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size       16, 2386948 req, miss ratio 0.9802, byte miss ratio 0.9802
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size       48, 2386948 req, miss ratio 0.9670, byte miss ratio 0.9670
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size      161, 2386948 req, miss ratio 0.9128, byte miss ratio 0.9128
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size      484, 2386948 req, miss ratio 0.7758, byte miss ratio 0.7758
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size     1613, 2386948 req, miss ratio 0.4642, byte miss ratio 0.4642
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size     3227, 2386948 req, miss ratio 0.2585, byte miss ratio 0.2585
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size     6454, 2386948 req, miss ratio 0.0820, byte miss ratio 0.0820
cdn1_colo28.ns197 S3FIFO-0.8500-1.9000 cache size    12908, 2386948 req, miss ratio 0.0106, byte miss ratio 0.0106
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size       16, 2386948 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size       48, 2386948 req, miss ratio 0.9290, byte miss ratio 0.9290
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size      161, 2386948 req, miss ratio 0.8311, byte miss ratio 0.8311
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size      484, 2386948 req, miss ratio 0.6462, byte miss ratio 0.6462
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size     1613, 2386948 req, miss ratio 0.3743, byte miss ratio 0.3743
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size     3227, 2386948 req, miss ratio 0.1929, byte miss ratio 0.1929
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size     6454, 2386948 req, miss ratio 0.0470, byte miss ratio 0.0470
cdn1_colo28.ns197 S3FIFO-0.0500-1.9000 cache size    12908, 2386948 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size       16, 2386948 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size       48, 2386948 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size      161, 2386948 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size      484, 2386948 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size     1613, 2386948 req, miss ratio 0.3489, byte miss ratio 0.3489
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size     3227, 2386948 req, miss ratio 0.1866, byte miss ratio 0.1866
cdn1_colo28.ns197 S3FIFO-0.0010-0.9000 cache size     6454, 2386948 req, miss ratio 0.0456, byte miss ratio 0.0456
