cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size      136, 2416298 req, miss ratio 0.0620, byte miss ratio 0.0620
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size      409, 2416298 req, miss ratio 0.0574, byte miss ratio 0.0574
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size     1366, 2416298 req, miss ratio 0.0568, byte miss ratio 0.0568
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size     4099, 2416298 req, miss ratio 0.0567, byte miss ratio 0.0567
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size    13666, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size    27332, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size    54664, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.6500-0.9000 cache size   109328, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size      136, 2416298 req, miss ratio 0.0589, byte miss ratio 0.0589
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size      409, 2416298 req, miss ratio 0.0570, byte miss ratio 0.0570
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size     1366, 2416298 req, miss ratio 0.0567, byte miss ratio 0.0567
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size     4099, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size    13666, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size    27332, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size    54664, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.3500-1.9000 cache size   109328, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size      136, 2416298 req, miss ratio 0.0712, byte miss ratio 0.0712
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size      409, 2416298 req, miss ratio 0.0605, byte miss ratio 0.0605
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size     1366, 2416298 req, miss ratio 0.0575, byte miss ratio 0.0575
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size     4099, 2416298 req, miss ratio 0.0568, byte miss ratio 0.0568
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size    13666, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size    27332, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size    54664, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.9500-1.9000 cache size   109328, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size      136, 2416298 req, miss ratio 0.0578, byte miss ratio 0.0578
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size      409, 2416298 req, miss ratio 0.0569, byte miss ratio 0.0569
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size     1366, 2416298 req, miss ratio 0.0567, byte miss ratio 0.0567
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size     4099, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size    13666, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size    27332, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size    54664, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.0500-1.9000 cache size   109328, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size      136, 2416298 req, miss ratio 0.0648, byte miss ratio 0.0648
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size      409, 2416298 req, miss ratio 0.0582, byte miss ratio 0.0582
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size     1366, 2416298 req, miss ratio 0.0569, byte miss ratio 0.0569
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size     4099, 2416298 req, miss ratio 0.0567, byte miss ratio 0.0567
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size    13666, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size    27332, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size    54664, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.8000-1.9000 cache size   109328, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size      136, 2416298 req, miss ratio 0.0629, byte miss ratio 0.0629
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size      409, 2416298 req, miss ratio 0.0576, byte miss ratio 0.0576
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size     1366, 2416298 req, miss ratio 0.0568, byte miss ratio 0.0568
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size     4099, 2416298 req, miss ratio 0.0567, byte miss ratio 0.0567
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size    13666, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size    27332, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size    54664, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.7000-0.9000 cache size   109328, 2416298 req, miss ratio 0.0566, byte miss ratio 0.0566
cdn1_colo28.ns510 S3FIFO-0.6500-1.9000 cache size      136, 2416298 req, miss ratio 0.0620, byte miss ratio 0.0620
cdn1_colo28.ns510 S3FIFO-0.6500-1.9000 cache size      409, 2416298 req, miss ratio 0.0574, byte miss ratio 0.0574
cdn1_colo28.ns510 S3FIFO-0.6500-1.9000 cache size     1366, 2416298 req, miss ratio 0.0568, byte miss ratio 0.0568
