cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size        8, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size       28, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size       84, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size      281, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size      562, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size     1125, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.8500-1.9000 cache size     2251, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size        8, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size       28, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size       84, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size      281, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size      562, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size     1125, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.7500-1.9000 cache size     2251, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size        8, 2440616 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size       28, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size       84, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size      281, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size      562, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size     1125, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9500-0.9000 cache size     2251, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size        8, 2440616 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size       28, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size       84, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size      281, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size      562, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size     1125, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.9900-1.9000 cache size     2251, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns407 S3FIFO-0.2500-1.9000 cache size        8, 2440616 req, miss ratio 0.0012, byte miss ratio 0.0012
