cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size      168, 1012707 req, miss ratio 0.1735, byte miss ratio 0.1735
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size      504, 1012707 req, miss ratio 0.1699, byte miss ratio 0.1699
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size     1683, 1012707 req, miss ratio 0.1678, byte miss ratio 0.1678
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size     5049, 1012707 req, miss ratio 0.1669, byte miss ratio 0.1669
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size    16831, 1012707 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.6000-1.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size      168, 1012707 req, miss ratio 0.1728, byte miss ratio 0.1728
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size      504, 1012707 req, miss ratio 0.1700, byte miss ratio 0.1700
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size     1683, 1012707 req, miss ratio 0.1679, byte miss ratio 0.1679
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size     5049, 1012707 req, miss ratio 0.1670, byte miss ratio 0.1670
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.4500-0.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size      168, 1012707 req, miss ratio 0.1732, byte miss ratio 0.1732
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size      504, 1012707 req, miss ratio 0.1706, byte miss ratio 0.1706
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size     1683, 1012707 req, miss ratio 0.1687, byte miss ratio 0.1687
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size     5049, 1012707 req, miss ratio 0.1672, byte miss ratio 0.1672
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size    16831, 1012707 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.0500-1.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size      168, 1012707 req, miss ratio 0.1731, byte miss ratio 0.1731
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size      504, 1012707 req, miss ratio 0.1699, byte miss ratio 0.1699
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size     1683, 1012707 req, miss ratio 0.1678, byte miss ratio 0.1678
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size     5049, 1012707 req, miss ratio 0.1669, byte miss ratio 0.1669
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size    16831, 1012707 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.5500-1.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size      168, 1012707 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size      504, 1012707 req, miss ratio 0.1728, byte miss ratio 0.1728
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size     1683, 1012707 req, miss ratio 0.1700, byte miss ratio 0.1700
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size     5049, 1012707 req, miss ratio 0.1677, byte miss ratio 0.1677
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.0050-0.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size      168, 1012707 req, miss ratio 0.1758, byte miss ratio 0.1758
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size      504, 1012707 req, miss ratio 0.1707, byte miss ratio 0.1707
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size     1683, 1012707 req, miss ratio 0.1680, byte miss ratio 0.1680
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size     5049, 1012707 req, miss ratio 0.1671, byte miss ratio 0.1671
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.7500-0.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size      168, 1012707 req, miss ratio 0.1748, byte miss ratio 0.1748
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size      504, 1012707 req, miss ratio 0.1704, byte miss ratio 0.1704
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size     1683, 1012707 req, miss ratio 0.1680, byte miss ratio 0.1680
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size     5049, 1012707 req, miss ratio 0.1671, byte miss ratio 0.1671
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.7000-0.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size      168, 1012707 req, miss ratio 0.1748, byte miss ratio 0.1748
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size      504, 1012707 req, miss ratio 0.1703, byte miss ratio 0.1703
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size     1683, 1012707 req, miss ratio 0.1679, byte miss ratio 0.1679
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size     5049, 1012707 req, miss ratio 0.1670, byte miss ratio 0.1670
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size    16831, 1012707 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.7000-1.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size      168, 1012707 req, miss ratio 0.1725, byte miss ratio 0.1725
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size      504, 1012707 req, miss ratio 0.1700, byte miss ratio 0.1700
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size     1683, 1012707 req, miss ratio 0.1681, byte miss ratio 0.1681
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size     5049, 1012707 req, miss ratio 0.1670, byte miss ratio 0.1670
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.3000-0.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size      168, 1012707 req, miss ratio 0.1746, byte miss ratio 0.1746
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size      504, 1012707 req, miss ratio 0.1719, byte miss ratio 0.1719
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size     1683, 1012707 req, miss ratio 0.1694, byte miss ratio 0.1694
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size     5049, 1012707 req, miss ratio 0.1675, byte miss ratio 0.1675
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size    16831, 1012707 req, miss ratio 0.1665, byte miss ratio 0.1665
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.0100-1.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size      168, 1012707 req, miss ratio 0.1846, byte miss ratio 0.1846
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size      504, 1012707 req, miss ratio 0.1731, byte miss ratio 0.1731
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size     1683, 1012707 req, miss ratio 0.1688, byte miss ratio 0.1688
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size     5049, 1012707 req, miss ratio 0.1675, byte miss ratio 0.1675
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.9000-1.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size      168, 1012707 req, miss ratio 0.1740, byte miss ratio 0.1740
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size      504, 1012707 req, miss ratio 0.1702, byte miss ratio 0.1702
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size     1683, 1012707 req, miss ratio 0.1680, byte miss ratio 0.1680
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size     5049, 1012707 req, miss ratio 0.1670, byte miss ratio 0.1670
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size    16831, 1012707 req, miss ratio 0.1666, byte miss ratio 0.1666
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size    33662, 1012707 req, miss ratio 0.1664, byte miss ratio 0.1664
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size    67325, 1012707 req, miss ratio 0.1663, byte miss ratio 0.1663
cdn1_allcolo.ns478 S3FIFO-0.6500-0.9000 cache size   134650, 1012707 req, miss ratio 0.1662, byte miss ratio 0.1662
cdn1_allcolo.ns478 S3FIFO-0.8500-0.9000 cache size      168, 1012707 req, miss ratio 0.1793, byte miss ratio 0.1793
