cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size       34, 3188321 req, miss ratio 0.6902, byte miss ratio 0.6902
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size      103, 3188321 req, miss ratio 0.5011, byte miss ratio 0.5011
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size      343, 3188321 req, miss ratio 0.3214, byte miss ratio 0.3214
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size     1031, 3188321 req, miss ratio 0.2130, byte miss ratio 0.2130
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size     3438, 3188321 req, miss ratio 0.1333, byte miss ratio 0.1333
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size     6876, 3188321 req, miss ratio 0.1004, byte miss ratio 0.1004
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size    13753, 3188321 req, miss ratio 0.0493, byte miss ratio 0.0493
cdn1_colo28.ns990 S3FIFO-0.8000-1.9000 cache size    27507, 3188321 req, miss ratio 0.0150, byte miss ratio 0.0150
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size       34, 3188321 req, miss ratio 0.6888, byte miss ratio 0.6888
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size      103, 3188321 req, miss ratio 0.5092, byte miss ratio 0.5092
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size      343, 3188321 req, miss ratio 0.3298, byte miss ratio 0.3298
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size     1031, 3188321 req, miss ratio 0.2181, byte miss ratio 0.2181
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size     3438, 3188321 req, miss ratio 0.1361, byte miss ratio 0.1361
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size     6876, 3188321 req, miss ratio 0.1018, byte miss ratio 0.1018
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size    13753, 3188321 req, miss ratio 0.0506, byte miss ratio 0.0506
cdn1_colo28.ns990 S3FIFO-0.8500-0.9000 cache size    27507, 3188321 req, miss ratio 0.0153, byte miss ratio 0.0153
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size       34, 3188321 req, miss ratio 0.7096, byte miss ratio 0.7096
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size      103, 3188321 req, miss ratio 0.5356, byte miss ratio 0.5356
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size      343, 3188321 req, miss ratio 0.3570, byte miss ratio 0.3570
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size     1031, 3188321 req, miss ratio 0.2365, byte miss ratio 0.2365
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size     3438, 3188321 req, miss ratio 0.1456, byte miss ratio 0.1456
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size     6876, 3188321 req, miss ratio 0.1055, byte miss ratio 0.1055
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size    13753, 3188321 req, miss ratio 0.0546, byte miss ratio 0.0546
cdn1_colo28.ns990 S3FIFO-0.9900-0.9000 cache size    27507, 3188321 req, miss ratio 0.0163, byte miss ratio 0.0163
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size       34, 3188321 req, miss ratio 0.6938, byte miss ratio 0.6938
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size      103, 3188321 req, miss ratio 0.5103, byte miss ratio 0.5103
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size      343, 3188321 req, miss ratio 0.3302, byte miss ratio 0.3302
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size     1031, 3188321 req, miss ratio 0.2178, byte miss ratio 0.2178
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size     3438, 3188321 req, miss ratio 0.1353, byte miss ratio 0.1353
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size     6876, 3188321 req, miss ratio 0.1011, byte miss ratio 0.1011
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size    13753, 3188321 req, miss ratio 0.0506, byte miss ratio 0.0506
cdn1_colo28.ns990 S3FIFO-0.8500-1.9000 cache size    27507, 3188321 req, miss ratio 0.0153, byte miss ratio 0.0153
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size       34, 3188321 req, miss ratio 0.5809, byte miss ratio 0.5809
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size      103, 3188321 req, miss ratio 0.3707, byte miss ratio 0.3707
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size      343, 3188321 req, miss ratio 0.2475, byte miss ratio 0.2475
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size     1031, 3188321 req, miss ratio 0.1684, byte miss ratio 0.1684
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size     3438, 3188321 req, miss ratio 0.1172, byte miss ratio 0.1172
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size     6876, 3188321 req, miss ratio 0.0880, byte miss ratio 0.0880
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size    13753, 3188321 req, miss ratio 0.0314, byte miss ratio 0.0314
cdn1_colo28.ns990 S3FIFO-0.1000-0.9000 cache size    27507, 3188321 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size       34, 3188321 req, miss ratio 0.6026, byte miss ratio 0.6026
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size      103, 3188321 req, miss ratio 0.3869, byte miss ratio 0.3869
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size      343, 3188321 req, miss ratio 0.2584, byte miss ratio 0.2584
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size     1031, 3188321 req, miss ratio 0.1730, byte miss ratio 0.1730
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size     3438, 3188321 req, miss ratio 0.1186, byte miss ratio 0.1186
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size     6876, 3188321 req, miss ratio 0.0888, byte miss ratio 0.0888
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size    13753, 3188321 req, miss ratio 0.0381, byte miss ratio 0.0381
cdn1_colo28.ns990 S3FIFO-0.2500-0.9000 cache size    27507, 3188321 req, miss ratio 0.0116, byte miss ratio 0.0116
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size       34, 3188321 req, miss ratio 0.6424, byte miss ratio 0.6424
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size      103, 3188321 req, miss ratio 0.4286, byte miss ratio 0.4286
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size      343, 3188321 req, miss ratio 0.2799, byte miss ratio 0.2799
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size     1031, 3188321 req, miss ratio 0.1854, byte miss ratio 0.1854
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size     3438, 3188321 req, miss ratio 0.1241, byte miss ratio 0.1241
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size     6876, 3188321 req, miss ratio 0.0938, byte miss ratio 0.0938
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size    13753, 3188321 req, miss ratio 0.0421, byte miss ratio 0.0421
cdn1_colo28.ns990 S3FIFO-0.4500-1.9000 cache size    27507, 3188321 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size       34, 3188321 req, miss ratio 0.6617, byte miss ratio 0.6617
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size      103, 3188321 req, miss ratio 0.4661, byte miss ratio 0.4661
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size      343, 3188321 req, miss ratio 0.2976, byte miss ratio 0.2976
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size     1031, 3188321 req, miss ratio 0.1984, byte miss ratio 0.1984
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size     3438, 3188321 req, miss ratio 0.1274, byte miss ratio 0.1274
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size     6876, 3188321 req, miss ratio 0.0981, byte miss ratio 0.0981
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size    13753, 3188321 req, miss ratio 0.0468, byte miss ratio 0.0468
cdn1_colo28.ns990 S3FIFO-0.6500-0.9000 cache size    27507, 3188321 req, miss ratio 0.0137, byte miss ratio 0.0137
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size       34, 3188321 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size      103, 3188321 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size      343, 3188321 req, miss ratio 0.2503, byte miss ratio 0.2503
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size     1031, 3188321 req, miss ratio 0.1697, byte miss ratio 0.1697
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size     3438, 3188321 req, miss ratio 0.1202, byte miss ratio 0.1202
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size     6876, 3188321 req, miss ratio 0.0884, byte miss ratio 0.0884
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size    13753, 3188321 req, miss ratio 0.0270, byte miss ratio 0.0270
cdn1_colo28.ns990 S3FIFO-0.0050-1.9000 cache size    27507, 3188321 req, miss ratio 0.0114, byte miss ratio 0.0114
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size       34, 3188321 req, miss ratio 0.6412, byte miss ratio 0.6412
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size      103, 3188321 req, miss ratio 0.4320, byte miss ratio 0.4320
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size      343, 3188321 req, miss ratio 0.2813, byte miss ratio 0.2813
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size     1031, 3188321 req, miss ratio 0.1860, byte miss ratio 0.1860
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size     3438, 3188321 req, miss ratio 0.1235, byte miss ratio 0.1235
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size     6876, 3188321 req, miss ratio 0.0942, byte miss ratio 0.0942
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size    13753, 3188321 req, miss ratio 0.0434, byte miss ratio 0.0434
cdn1_colo28.ns990 S3FIFO-0.5000-0.9000 cache size    27507, 3188321 req, miss ratio 0.0125, byte miss ratio 0.0125
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size       34, 3188321 req, miss ratio 0.6970, byte miss ratio 0.6970
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size      103, 3188321 req, miss ratio 0.5195, byte miss ratio 0.5195
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size      343, 3188321 req, miss ratio 0.3398, byte miss ratio 0.3398
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size     1031, 3188321 req, miss ratio 0.2238, byte miss ratio 0.2238
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size     3438, 3188321 req, miss ratio 0.1392, byte miss ratio 0.1392
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size     6876, 3188321 req, miss ratio 0.1032, byte miss ratio 0.1032
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size    13753, 3188321 req, miss ratio 0.0522, byte miss ratio 0.0522
cdn1_colo28.ns990 S3FIFO-0.9000-0.9000 cache size    27507, 3188321 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size       34, 3188321 req, miss ratio 0.6825, byte miss ratio 0.6825
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size      103, 3188321 req, miss ratio 0.4920, byte miss ratio 0.4920
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size      343, 3188321 req, miss ratio 0.3136, byte miss ratio 0.3136
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size     1031, 3188321 req, miss ratio 0.2085, byte miss ratio 0.2085
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size     3438, 3188321 req, miss ratio 0.1315, byte miss ratio 0.1315
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size     6876, 3188321 req, miss ratio 0.0995, byte miss ratio 0.0995
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size    13753, 3188321 req, miss ratio 0.0485, byte miss ratio 0.0485
cdn1_colo28.ns990 S3FIFO-0.7500-1.9000 cache size    27507, 3188321 req, miss ratio 0.0145, byte miss ratio 0.0145
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size       34, 3188321 req, miss ratio 0.6533, byte miss ratio 0.6533
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size      103, 3188321 req, miss ratio 0.4547, byte miss ratio 0.4547
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size      343, 3188321 req, miss ratio 0.2917, byte miss ratio 0.2917
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size     1031, 3188321 req, miss ratio 0.1939, byte miss ratio 0.1939
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size     3438, 3188321 req, miss ratio 0.1260, byte miss ratio 0.1260
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size     6876, 3188321 req, miss ratio 0.0966, byte miss ratio 0.0966
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size    13753, 3188321 req, miss ratio 0.0456, byte miss ratio 0.0456
cdn1_colo28.ns990 S3FIFO-0.6000-0.9000 cache size    27507, 3188321 req, miss ratio 0.0133, byte miss ratio 0.0133
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size       34, 3188321 req, miss ratio 0.6451, byte miss ratio 0.6451
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size      103, 3188321 req, miss ratio 0.4432, byte miss ratio 0.4432
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size      343, 3188321 req, miss ratio 0.2864, byte miss ratio 0.2864
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size     1031, 3188321 req, miss ratio 0.1898, byte miss ratio 0.1898
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size     3438, 3188321 req, miss ratio 0.1247, byte miss ratio 0.1247
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size     6876, 3188321 req, miss ratio 0.0953, byte miss ratio 0.0953
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size    13753, 3188321 req, miss ratio 0.0445, byte miss ratio 0.0445
cdn1_colo28.ns990 S3FIFO-0.5500-0.9000 cache size    27507, 3188321 req, miss ratio 0.0129, byte miss ratio 0.0129
cdn1_colo28.ns990 S3FIFO-0.1500-0.9000 cache size       34, 3188321 req, miss ratio 0.5889, byte miss ratio 0.5889
cdn1_colo28.ns990 S3FIFO-0.1500-0.9000 cache size      103, 3188321 req, miss ratio 0.3751, byte miss ratio 0.3751
cdn1_colo28.ns990 S3FIFO-0.1500-0.9000 cache size      343, 3188321 req, miss ratio 0.2508, byte miss ratio 0.2508
