io_traces.ns470 S3FIFO-0.0100-1.9000 cache size     4348, 9800000 req, miss ratio 0.6229, byte miss ratio 0.6229
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size    13046, 9800000 req, miss ratio 0.5972, byte miss ratio 0.5972
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size    43489, 9800000 req, miss ratio 0.5158, byte miss ratio 0.5158
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size   130468, 9800000 req, miss ratio 0.4763, byte miss ratio 0.4763
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size   434894, 9800000 req, miss ratio 0.4691, byte miss ratio 0.4691
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size   869789, 9800000 req, miss ratio 0.4637, byte miss ratio 0.4637
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size  1739578, 9800000 req, miss ratio 0.4576, byte miss ratio 0.4576
io_traces.ns470 S3FIFO-0.0100-1.9000 cache size  3479157, 9800000 req, miss ratio 0.4455, byte miss ratio 0.4455
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size     4348, 9800000 req, miss ratio 0.6092, byte miss ratio 0.6092
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size    13046, 9800000 req, miss ratio 0.5982, byte miss ratio 0.5982
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size    43489, 9800000 req, miss ratio 0.5555, byte miss ratio 0.5555
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size   130468, 9800000 req, miss ratio 0.4851, byte miss ratio 0.4851
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size   434894, 9800000 req, miss ratio 0.4706, byte miss ratio 0.4706
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size   869789, 9800000 req, miss ratio 0.4639, byte miss ratio 0.4639
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size  1739578, 9800000 req, miss ratio 0.4576, byte miss ratio 0.4576
io_traces.ns470 S3FIFO-0.5500-1.9000 cache size  3479157, 9800000 req, miss ratio 0.4455, byte miss ratio 0.4455
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size     4348, 9800000 req, miss ratio 0.6117, byte miss ratio 0.6117
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size    13046, 9800000 req, miss ratio 0.6025, byte miss ratio 0.6025
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size    43489, 9800000 req, miss ratio 0.5677, byte miss ratio 0.5677
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size   130468, 9800000 req, miss ratio 0.5054, byte miss ratio 0.5054
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size   434894, 9800000 req, miss ratio 0.4721, byte miss ratio 0.4721
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size   869789, 9800000 req, miss ratio 0.4662, byte miss ratio 0.4662
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size  1739578, 9800000 req, miss ratio 0.4576, byte miss ratio 0.4576
io_traces.ns470 S3FIFO-0.7000-0.9000 cache size  3479157, 9800000 req, miss ratio 0.4455, byte miss ratio 0.4455
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size     4348, 9800000 req, miss ratio 0.6177, byte miss ratio 0.6177
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size    13046, 9800000 req, miss ratio 0.5917, byte miss ratio 0.5917
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size    43489, 9800000 req, miss ratio 0.5150, byte miss ratio 0.5150
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size   130468, 9800000 req, miss ratio 0.4762, byte miss ratio 0.4762
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size   434894, 9800000 req, miss ratio 0.4691, byte miss ratio 0.4691
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size   869789, 9800000 req, miss ratio 0.4637, byte miss ratio 0.4637
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size  1739578, 9800000 req, miss ratio 0.4576, byte miss ratio 0.4576
io_traces.ns470 S3FIFO-0.0250-1.9000 cache size  3479157, 9800000 req, miss ratio 0.4455, byte miss ratio 0.4455
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size     4348, 9800000 req, miss ratio 0.6097, byte miss ratio 0.6097
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size    13046, 9800000 req, miss ratio 0.5925, byte miss ratio 0.5925
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size    43489, 9800000 req, miss ratio 0.5359, byte miss ratio 0.5359
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size   130468, 9800000 req, miss ratio 0.4774, byte miss ratio 0.4774
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size   434894, 9800000 req, miss ratio 0.4694, byte miss ratio 0.4694
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size   869789, 9800000 req, miss ratio 0.4637, byte miss ratio 0.4637
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size  1739578, 9800000 req, miss ratio 0.4576, byte miss ratio 0.4576
io_traces.ns470 S3FIFO-0.3000-1.9000 cache size  3479157, 9800000 req, miss ratio 0.4455, byte miss ratio 0.4455
io_traces.ns470 S3FIFO-0.6500-0.9000 cache size     4348, 9800000 req, miss ratio 0.6115, byte miss ratio 0.6115
io_traces.ns470 S3FIFO-0.6500-0.9000 cache size    13046, 9800000 req, miss ratio 0.6015, byte miss ratio 0.6015
io_traces.ns470 S3FIFO-0.6500-0.9000 cache size    43489, 9800000 req, miss ratio 0.5640, byte miss ratio 0.5640
io_traces.ns470 S3FIFO-0.6500-0.9000 cache size   130468, 9800000 req, miss ratio 0.4966, byte miss ratio 0.4966
io_traces.ns470 S3FIFO-0.6500-0.9000 cache size   434894, 9800000 req, miss ratio 0.4717, byte miss ratio 0.4717
