tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size       85, 1629871 req, miss ratio 0.4042, byte miss ratio 0.4042
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size      255, 1629871 req, miss ratio 0.3274, byte miss ratio 0.3274
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size      852, 1629871 req, miss ratio 0.3080, byte miss ratio 0.3080
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size     2557, 1629871 req, miss ratio 0.2937, byte miss ratio 0.2937
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size     8525, 1629871 req, miss ratio 0.2816, byte miss ratio 0.2816
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size    17050, 1629871 req, miss ratio 0.2462, byte miss ratio 0.2462
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size    34101, 1629871 req, miss ratio 0.2170, byte miss ratio 0.2170
tencentBlock.ns18686 S3FIFO-0.6000-0.9000 cache size    68202, 1629871 req, miss ratio 0.0743, byte miss ratio 0.0743
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size       85, 1629871 req, miss ratio 0.4066, byte miss ratio 0.4066
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size      255, 1629871 req, miss ratio 0.3271, byte miss ratio 0.3271
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size      852, 1629871 req, miss ratio 0.3064, byte miss ratio 0.3064
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size     2557, 1629871 req, miss ratio 0.2911, byte miss ratio 0.2911
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size     8525, 1629871 req, miss ratio 0.2467, byte miss ratio 0.2467
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size    17050, 1629871 req, miss ratio 0.2498, byte miss ratio 0.2498
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size    34101, 1629871 req, miss ratio 0.1895, byte miss ratio 0.1895
tencentBlock.ns18686 S3FIFO-0.0250-1.9000 cache size    68202, 1629871 req, miss ratio 0.0538, byte miss ratio 0.0538
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size       85, 1629871 req, miss ratio 0.4362, byte miss ratio 0.4362
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size      255, 1629871 req, miss ratio 0.3549, byte miss ratio 0.3549
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size      852, 1629871 req, miss ratio 0.3123, byte miss ratio 0.3123
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size     2557, 1629871 req, miss ratio 0.2984, byte miss ratio 0.2984
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size     8525, 1629871 req, miss ratio 0.2855, byte miss ratio 0.2855
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size    17050, 1629871 req, miss ratio 0.2790, byte miss ratio 0.2790
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size    34101, 1629871 req, miss ratio 0.2066, byte miss ratio 0.2066
tencentBlock.ns18686 S3FIFO-0.7500-1.9000 cache size    68202, 1629871 req, miss ratio 0.0804, byte miss ratio 0.0804
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size       85, 1629871 req, miss ratio 0.3984, byte miss ratio 0.3984
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size      255, 1629871 req, miss ratio 0.3229, byte miss ratio 0.3229
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size      852, 1629871 req, miss ratio 0.3067, byte miss ratio 0.3067
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size     2557, 1629871 req, miss ratio 0.2933, byte miss ratio 0.2933
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size     8525, 1629871 req, miss ratio 0.2769, byte miss ratio 0.2769
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size    17050, 1629871 req, miss ratio 0.2421, byte miss ratio 0.2421
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size    34101, 1629871 req, miss ratio 0.2130, byte miss ratio 0.2130
tencentBlock.ns18686 S3FIFO-0.5500-0.9000 cache size    68202, 1629871 req, miss ratio 0.0723, byte miss ratio 0.0723
tencentBlock.ns18686 S3FIFO-0.5000-1.9000 cache size       85, 1629871 req, miss ratio 0.3999, byte miss ratio 0.3999
tencentBlock.ns18686 S3FIFO-0.5000-1.9000 cache size      255, 1629871 req, miss ratio 0.3201, byte miss ratio 0.3201
tencentBlock.ns18686 S3FIFO-0.5000-1.9000 cache size      852, 1629871 req, miss ratio 0.3056, byte miss ratio 0.3056
tencentBlock.ns18686 S3FIFO-0.5000-1.9000 cache size     2557, 1629871 req, miss ratio 0.2935, byte miss ratio 0.2935
tencentBlock.ns18686 S3FIFO-0.5000-1.9000 cache size     8525, 1629871 req, miss ratio 0.2739, byte miss ratio 0.2739
