tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size       84, 2354091 req, miss ratio 0.2901, byte miss ratio 0.2901
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size      253, 2354091 req, miss ratio 0.2265, byte miss ratio 0.2265
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size      845, 2354091 req, miss ratio 0.2046, byte miss ratio 0.2046
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size     2536, 2354091 req, miss ratio 0.1957, byte miss ratio 0.1957
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size     8455, 2354091 req, miss ratio 0.1927, byte miss ratio 0.1927
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size    16911, 2354091 req, miss ratio 0.1839, byte miss ratio 0.1839
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size    33822, 2354091 req, miss ratio 0.1325, byte miss ratio 0.1325
tencentBlock.ns11882 S3FIFO-0.6000-1.9000 cache size    67645, 2354091 req, miss ratio 0.0512, byte miss ratio 0.0512
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size       84, 2354091 req, miss ratio 0.2733, byte miss ratio 0.2733
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size      253, 2354091 req, miss ratio 0.2132, byte miss ratio 0.2132
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size      845, 2354091 req, miss ratio 0.2042, byte miss ratio 0.2042
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size     2536, 2354091 req, miss ratio 0.1951, byte miss ratio 0.1951
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size     8455, 2354091 req, miss ratio 0.1862, byte miss ratio 0.1862
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size    16911, 2354091 req, miss ratio 0.1666, byte miss ratio 0.1666
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size    33822, 2354091 req, miss ratio 0.1481, byte miss ratio 0.1481
tencentBlock.ns11882 S3FIFO-0.4500-0.9000 cache size    67645, 2354091 req, miss ratio 0.0472, byte miss ratio 0.0472
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size       84, 2354091 req, miss ratio 0.2830, byte miss ratio 0.2830
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size      253, 2354091 req, miss ratio 0.2196, byte miss ratio 0.2196
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size      845, 2354091 req, miss ratio 0.2042, byte miss ratio 0.2042
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size     2536, 2354091 req, miss ratio 0.1954, byte miss ratio 0.1954
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1913, byte miss ratio 0.1913
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1872, byte miss ratio 0.1872
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1345, byte miss ratio 0.1345
tencentBlock.ns11882 S3FIFO-0.5500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0498, byte miss ratio 0.0498
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size       84, 2354091 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size      253, 2354091 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size      845, 2354091 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size     2536, 2354091 req, miss ratio 0.2014, byte miss ratio 0.2014
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size     8455, 2354091 req, miss ratio 0.1737, byte miss ratio 0.1737
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size    16911, 2354091 req, miss ratio 0.1648, byte miss ratio 0.1648
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size    33822, 2354091 req, miss ratio 0.1142, byte miss ratio 0.1142
tencentBlock.ns11882 S3FIFO-0.0010-1.9000 cache size    67645, 2354091 req, miss ratio 0.0385, byte miss ratio 0.0385
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size       84, 2354091 req, miss ratio 0.3619, byte miss ratio 0.3619
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size      253, 2354091 req, miss ratio 0.2731, byte miss ratio 0.2731
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size      845, 2354091 req, miss ratio 0.2289, byte miss ratio 0.2289
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size     2536, 2354091 req, miss ratio 0.2126, byte miss ratio 0.2126
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size     8455, 2354091 req, miss ratio 0.2005, byte miss ratio 0.2005
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size    16911, 2354091 req, miss ratio 0.1817, byte miss ratio 0.1817
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size    33822, 2354091 req, miss ratio 0.1267, byte miss ratio 0.1267
tencentBlock.ns11882 S3FIFO-0.9900-0.9000 cache size    67645, 2354091 req, miss ratio 0.0587, byte miss ratio 0.0587
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size       84, 2354091 req, miss ratio 0.3568, byte miss ratio 0.3568
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size      253, 2354091 req, miss ratio 0.2732, byte miss ratio 0.2732
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size      845, 2354091 req, miss ratio 0.2289, byte miss ratio 0.2289
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size     2536, 2354091 req, miss ratio 0.2126, byte miss ratio 0.2126
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size     8455, 2354091 req, miss ratio 0.2004, byte miss ratio 0.2004
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size    16911, 2354091 req, miss ratio 0.1798, byte miss ratio 0.1798
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size    33822, 2354091 req, miss ratio 0.1267, byte miss ratio 0.1267
tencentBlock.ns11882 S3FIFO-0.9900-1.9000 cache size    67645, 2354091 req, miss ratio 0.0587, byte miss ratio 0.0587
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size       84, 2354091 req, miss ratio 0.2708, byte miss ratio 0.2708
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size      253, 2354091 req, miss ratio 0.2108, byte miss ratio 0.2108
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size      845, 2354091 req, miss ratio 0.2026, byte miss ratio 0.2026
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size     2536, 2354091 req, miss ratio 0.1942, byte miss ratio 0.1942
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1769, byte miss ratio 0.1769
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1737, byte miss ratio 0.1737
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1402, byte miss ratio 0.1402
tencentBlock.ns11882 S3FIFO-0.2500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0430, byte miss ratio 0.0430
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size       84, 2354091 req, miss ratio 0.2718, byte miss ratio 0.2718
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size      253, 2354091 req, miss ratio 0.2116, byte miss ratio 0.2116
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size      845, 2354091 req, miss ratio 0.2031, byte miss ratio 0.2031
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size     2536, 2354091 req, miss ratio 0.1946, byte miss ratio 0.1946
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1803, byte miss ratio 0.1803
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1805, byte miss ratio 0.1805
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1464, byte miss ratio 0.1464
tencentBlock.ns11882 S3FIFO-0.3500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0450, byte miss ratio 0.0450
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size       84, 2354091 req, miss ratio 0.3521, byte miss ratio 0.3521
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size      253, 2354091 req, miss ratio 0.2658, byte miss ratio 0.2658
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size      845, 2354091 req, miss ratio 0.2227, byte miss ratio 0.2227
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size     2536, 2354091 req, miss ratio 0.2074, byte miss ratio 0.2074
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size     8455, 2354091 req, miss ratio 0.1978, byte miss ratio 0.1978
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size    16911, 2354091 req, miss ratio 0.1816, byte miss ratio 0.1816
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size    33822, 2354091 req, miss ratio 0.1272, byte miss ratio 0.1272
tencentBlock.ns11882 S3FIFO-0.9500-0.9000 cache size    67645, 2354091 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size       84, 2354091 req, miss ratio 0.3482, byte miss ratio 0.3482
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size      253, 2354091 req, miss ratio 0.2660, byte miss ratio 0.2660
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size      845, 2354091 req, miss ratio 0.2228, byte miss ratio 0.2228
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size     2536, 2354091 req, miss ratio 0.2074, byte miss ratio 0.2074
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1985, byte miss ratio 0.1985
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1796, byte miss ratio 0.1796
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1272, byte miss ratio 0.1272
tencentBlock.ns11882 S3FIFO-0.9500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0580, byte miss ratio 0.0580
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size       84, 2354091 req, miss ratio 0.2969, byte miss ratio 0.2969
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size      253, 2354091 req, miss ratio 0.2402, byte miss ratio 0.2402
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size      845, 2354091 req, miss ratio 0.2058, byte miss ratio 0.2058
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size     2536, 2354091 req, miss ratio 0.1962, byte miss ratio 0.1962
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1934, byte miss ratio 0.1934
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1814, byte miss ratio 0.1814
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1275, byte miss ratio 0.1275
tencentBlock.ns11882 S3FIFO-0.6500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0525, byte miss ratio 0.0525
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size       84, 2354091 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size      253, 2354091 req, miss ratio 0.2229, byte miss ratio 0.2229
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size      845, 2354091 req, miss ratio 0.2082, byte miss ratio 0.2082
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size     2536, 2354091 req, miss ratio 0.1935, byte miss ratio 0.1935
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size     8455, 2354091 req, miss ratio 0.1716, byte miss ratio 0.1716
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size    16911, 2354091 req, miss ratio 0.1654, byte miss ratio 0.1654
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size    33822, 2354091 req, miss ratio 0.1150, byte miss ratio 0.1150
tencentBlock.ns11882 S3FIFO-0.0100-1.9000 cache size    67645, 2354091 req, miss ratio 0.0385, byte miss ratio 0.0385
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size       84, 2354091 req, miss ratio 0.2745, byte miss ratio 0.2745
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size      253, 2354091 req, miss ratio 0.2131, byte miss ratio 0.2131
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size      845, 2354091 req, miss ratio 0.2037, byte miss ratio 0.2037
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size     2536, 2354091 req, miss ratio 0.1950, byte miss ratio 0.1950
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1858, byte miss ratio 0.1858
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1862, byte miss ratio 0.1862
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1481, byte miss ratio 0.1481
tencentBlock.ns11882 S3FIFO-0.4500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0472, byte miss ratio 0.0472
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size       84, 2354091 req, miss ratio 0.3289, byte miss ratio 0.3289
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size      253, 2354091 req, miss ratio 0.2537, byte miss ratio 0.2537
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size      845, 2354091 req, miss ratio 0.2102, byte miss ratio 0.2102
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size     2536, 2354091 req, miss ratio 0.2033, byte miss ratio 0.2033
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1955, byte miss ratio 0.1955
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1788, byte miss ratio 0.1788
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1285, byte miss ratio 0.1285
tencentBlock.ns11882 S3FIFO-0.8500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0562, byte miss ratio 0.0562
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size       84, 2354091 req, miss ratio 0.2779, byte miss ratio 0.2779
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size      253, 2354091 req, miss ratio 0.2161, byte miss ratio 0.2161
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size      845, 2354091 req, miss ratio 0.2020, byte miss ratio 0.2020
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size     2536, 2354091 req, miss ratio 0.1931, byte miss ratio 0.1931
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size     8455, 2354091 req, miss ratio 0.1725, byte miss ratio 0.1725
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size    16911, 2354091 req, miss ratio 0.1668, byte miss ratio 0.1668
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size    33822, 2354091 req, miss ratio 0.1181, byte miss ratio 0.1181
tencentBlock.ns11882 S3FIFO-0.0500-1.9000 cache size    67645, 2354091 req, miss ratio 0.0385, byte miss ratio 0.0385
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size       84, 2354091 req, miss ratio 0.3100, byte miss ratio 0.3100
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size      253, 2354091 req, miss ratio 0.2503, byte miss ratio 0.2503
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size      845, 2354091 req, miss ratio 0.2076, byte miss ratio 0.2076
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size     2536, 2354091 req, miss ratio 0.1993, byte miss ratio 0.1993
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size     8455, 2354091 req, miss ratio 0.1924, byte miss ratio 0.1924
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size    16911, 2354091 req, miss ratio 0.1885, byte miss ratio 0.1885
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size    33822, 2354091 req, miss ratio 0.1295, byte miss ratio 0.1295
tencentBlock.ns11882 S3FIFO-0.7500-0.9000 cache size    67645, 2354091 req, miss ratio 0.0541, byte miss ratio 0.0541
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size       84, 2354091 req, miss ratio 0.2788, byte miss ratio 0.2788
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size      253, 2354091 req, miss ratio 0.2170, byte miss ratio 0.2170
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size      845, 2354091 req, miss ratio 0.2024, byte miss ratio 0.2024
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size     2536, 2354091 req, miss ratio 0.1935, byte miss ratio 0.1935
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size     8455, 2354091 req, miss ratio 0.1848, byte miss ratio 0.1848
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size    16911, 2354091 req, miss ratio 0.1497, byte miss ratio 0.1497
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size    33822, 2354091 req, miss ratio 0.1179, byte miss ratio 0.1179
tencentBlock.ns11882 S3FIFO-0.0500-0.9000 cache size    67645, 2354091 req, miss ratio 0.0385, byte miss ratio 0.0385
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size       84, 2354091 req, miss ratio 0.3402, byte miss ratio 0.3402
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size      253, 2354091 req, miss ratio 0.2594, byte miss ratio 0.2594
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size      845, 2354091 req, miss ratio 0.2150, byte miss ratio 0.2150
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size     2536, 2354091 req, miss ratio 0.2050, byte miss ratio 0.2050
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size     8455, 2354091 req, miss ratio 0.1952, byte miss ratio 0.1952
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size    16911, 2354091 req, miss ratio 0.1823, byte miss ratio 0.1823
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size    33822, 2354091 req, miss ratio 0.1275, byte miss ratio 0.1275
tencentBlock.ns11882 S3FIFO-0.9000-0.9000 cache size    67645, 2354091 req, miss ratio 0.0572, byte miss ratio 0.0572
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size       84, 2354091 req, miss ratio 0.3192, byte miss ratio 0.3192
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size      253, 2354091 req, miss ratio 0.2508, byte miss ratio 0.2508
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size      845, 2354091 req, miss ratio 0.2086, byte miss ratio 0.2086
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size     2536, 2354091 req, miss ratio 0.2017, byte miss ratio 0.2017
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size     8455, 2354091 req, miss ratio 0.1934, byte miss ratio 0.1934
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size    16911, 2354091 req, miss ratio 0.1903, byte miss ratio 0.1903
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size    33822, 2354091 req, miss ratio 0.1289, byte miss ratio 0.1289
tencentBlock.ns11882 S3FIFO-0.8000-0.9000 cache size    67645, 2354091 req, miss ratio 0.0555, byte miss ratio 0.0555
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size       84, 2354091 req, miss ratio 0.2984, byte miss ratio 0.2984
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size      253, 2354091 req, miss ratio 0.2490, byte miss ratio 0.2490
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size      845, 2354091 req, miss ratio 0.2068, byte miss ratio 0.2068
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size     2536, 2354091 req, miss ratio 0.1974, byte miss ratio 0.1974
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size     8455, 2354091 req, miss ratio 0.1917, byte miss ratio 0.1917
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size    16911, 2354091 req, miss ratio 0.1831, byte miss ratio 0.1831
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size    33822, 2354091 req, miss ratio 0.1301, byte miss ratio 0.1301
tencentBlock.ns11882 S3FIFO-0.7000-0.9000 cache size    67645, 2354091 req, miss ratio 0.0535, byte miss ratio 0.0535
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size       84, 2354091 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size      253, 2354091 req, miss ratio 0.2237, byte miss ratio 0.2237
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size      845, 2354091 req, miss ratio 0.2089, byte miss ratio 0.2089
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size     2536, 2354091 req, miss ratio 0.1939, byte miss ratio 0.1939
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size     8455, 2354091 req, miss ratio 0.1848, byte miss ratio 0.1848
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size    16911, 2354091 req, miss ratio 0.1483, byte miss ratio 0.1483
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size    33822, 2354091 req, miss ratio 0.1149, byte miss ratio 0.1149
tencentBlock.ns11882 S3FIFO-0.0100-0.9000 cache size    67645, 2354091 req, miss ratio 0.0385, byte miss ratio 0.0385
tencentBlock.ns11882 S3FIFO-0.6000-0.9000 cache size       84, 2354091 req, miss ratio 0.2844, byte miss ratio 0.2844
tencentBlock.ns11882 S3FIFO-0.6000-0.9000 cache size      253, 2354091 req, miss ratio 0.2257, byte miss ratio 0.2257
tencentBlock.ns11882 S3FIFO-0.6000-0.9000 cache size      845, 2354091 req, miss ratio 0.2050, byte miss ratio 0.2050
