cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size       58, 200114998 req, miss ratio 0.0573, byte miss ratio 0.0573
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size      176, 200114998 req, miss ratio 0.0253, byte miss ratio 0.0253
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size      589, 200114998 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size     1768, 200114998 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size     5895, 200114998 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size    11790, 200114998 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size    23581, 200114998 req, miss ratio 0.0005, byte miss ratio 0.0005
cdn1_allcolo.ns29 S3FIFO-0.8500-1.9000 cache size    47163, 200114998 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size       58, 200114998 req, miss ratio 0.0519, byte miss ratio 0.0519
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size      176, 200114998 req, miss ratio 0.0234, byte miss ratio 0.0234
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size      589, 200114998 req, miss ratio 0.0095, byte miss ratio 0.0095
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size     1768, 200114998 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size     5895, 200114998 req, miss ratio 0.0013, byte miss ratio 0.0013
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size    11790, 200114998 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size    23581, 200114998 req, miss ratio 0.0004, byte miss ratio 0.0004
cdn1_allcolo.ns29 S3FIFO-0.7000-0.9000 cache size    47163, 200114998 req, miss ratio 0.0003, byte miss ratio 0.0003
cdn1_allcolo.ns29 S3FIFO-0.6500-1.9000 cache size       58, 200114998 req, miss ratio 0.0500, byte miss ratio 0.0500
cdn1_allcolo.ns29 S3FIFO-0.6500-1.9000 cache size      176, 200114998 req, miss ratio 0.0225, byte miss ratio 0.0225
cdn1_allcolo.ns29 S3FIFO-0.6500-1.9000 cache size      589, 200114998 req, miss ratio 0.0092, byte miss ratio 0.0092
