cdn1_allcolo.ns1309 S3FIFO-0.2500-0.9000 cache size       11, 1720507 req, miss ratio 0.1285, byte miss ratio 0.1285
cdn1_allcolo.ns1309 S3FIFO-0.2500-0.9000 cache size       33, 1720507 req, miss ratio 0.0842, byte miss ratio 0.0842
cdn1_allcolo.ns1309 S3FIFO-0.2500-0.9000 cache size      112, 1720507 req, miss ratio 0.0400, byte miss ratio 0.0400
cdn1_allcolo.ns1309 S3FIFO-0.2500-0.9000 cache size      225, 1720507 req, miss ratio 0.0176, byte miss ratio 0.0176
cdn1_allcolo.ns1309 S3FIFO-0.2500-0.9000 cache size      450, 1720507 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns1309 S3FIFO-0.2500-0.9000 cache size      900, 1720507 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1309 S3FIFO-0.9500-1.9000 cache size       11, 1720507 req, miss ratio 0.1749, byte miss ratio 0.1749
cdn1_allcolo.ns1309 S3FIFO-0.9500-1.9000 cache size       33, 1720507 req, miss ratio 0.1119, byte miss ratio 0.1119
cdn1_allcolo.ns1309 S3FIFO-0.9500-1.9000 cache size      112, 1720507 req, miss ratio 0.0521, byte miss ratio 0.0521
cdn1_allcolo.ns1309 S3FIFO-0.9500-1.9000 cache size      225, 1720507 req, miss ratio 0.0246, byte miss ratio 0.0246
cdn1_allcolo.ns1309 S3FIFO-0.9500-1.9000 cache size      450, 1720507 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_allcolo.ns1309 S3FIFO-0.9500-1.9000 cache size      900, 1720507 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns1309 S3FIFO-0.2500-1.9000 cache size       11, 1720507 req, miss ratio 0.1316, byte miss ratio 0.1316
cdn1_allcolo.ns1309 S3FIFO-0.2500-1.9000 cache size       33, 1720507 req, miss ratio 0.0869, byte miss ratio 0.0869
cdn1_allcolo.ns1309 S3FIFO-0.2500-1.9000 cache size      112, 1720507 req, miss ratio 0.0408, byte miss ratio 0.0408
cdn1_allcolo.ns1309 S3FIFO-0.2500-1.9000 cache size      225, 1720507 req, miss ratio 0.0176, byte miss ratio 0.0176
cdn1_allcolo.ns1309 S3FIFO-0.2500-1.9000 cache size      450, 1720507 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns1309 S3FIFO-0.2500-1.9000 cache size      900, 1720507 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1309 S3FIFO-0.7000-0.9000 cache size       11, 1720507 req, miss ratio 0.1505, byte miss ratio 0.1505
cdn1_allcolo.ns1309 S3FIFO-0.7000-0.9000 cache size       33, 1720507 req, miss ratio 0.1014, byte miss ratio 0.1014
cdn1_allcolo.ns1309 S3FIFO-0.7000-0.9000 cache size      112, 1720507 req, miss ratio 0.0479, byte miss ratio 0.0479
cdn1_allcolo.ns1309 S3FIFO-0.7000-0.9000 cache size      225, 1720507 req, miss ratio 0.0220, byte miss ratio 0.0220
cdn1_allcolo.ns1309 S3FIFO-0.7000-0.9000 cache size      450, 1720507 req, miss ratio 0.0059, byte miss ratio 0.0059
cdn1_allcolo.ns1309 S3FIFO-0.7000-0.9000 cache size      900, 1720507 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns1309 S3FIFO-0.9000-1.9000 cache size       11, 1720507 req, miss ratio 0.1650, byte miss ratio 0.1650
cdn1_allcolo.ns1309 S3FIFO-0.9000-1.9000 cache size       33, 1720507 req, miss ratio 0.1093, byte miss ratio 0.1093
cdn1_allcolo.ns1309 S3FIFO-0.9000-1.9000 cache size      112, 1720507 req, miss ratio 0.0509, byte miss ratio 0.0509
cdn1_allcolo.ns1309 S3FIFO-0.9000-1.9000 cache size      225, 1720507 req, miss ratio 0.0240, byte miss ratio 0.0240
cdn1_allcolo.ns1309 S3FIFO-0.9000-1.9000 cache size      450, 1720507 req, miss ratio 0.0069, byte miss ratio 0.0069
cdn1_allcolo.ns1309 S3FIFO-0.9000-1.9000 cache size      900, 1720507 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns1309 S3FIFO-0.5500-1.9000 cache size       11, 1720507 req, miss ratio 0.1480, byte miss ratio 0.1480
cdn1_allcolo.ns1309 S3FIFO-0.5500-1.9000 cache size       33, 1720507 req, miss ratio 0.0967, byte miss ratio 0.0967
cdn1_allcolo.ns1309 S3FIFO-0.5500-1.9000 cache size      112, 1720507 req, miss ratio 0.0447, byte miss ratio 0.0447
cdn1_allcolo.ns1309 S3FIFO-0.5500-1.9000 cache size      225, 1720507 req, miss ratio 0.0203, byte miss ratio 0.0203
cdn1_allcolo.ns1309 S3FIFO-0.5500-1.9000 cache size      450, 1720507 req, miss ratio 0.0053, byte miss ratio 0.0053
cdn1_allcolo.ns1309 S3FIFO-0.5500-1.9000 cache size      900, 1720507 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns1309 S3FIFO-0.6500-1.9000 cache size       11, 1720507 req, miss ratio 0.1529, byte miss ratio 0.1529
cdn1_allcolo.ns1309 S3FIFO-0.6500-1.9000 cache size       33, 1720507 req, miss ratio 0.0999, byte miss ratio 0.0999
cdn1_allcolo.ns1309 S3FIFO-0.6500-1.9000 cache size      112, 1720507 req, miss ratio 0.0463, byte miss ratio 0.0463
cdn1_allcolo.ns1309 S3FIFO-0.6500-1.9000 cache size      225, 1720507 req, miss ratio 0.0212, byte miss ratio 0.0212
cdn1_allcolo.ns1309 S3FIFO-0.6500-1.9000 cache size      450, 1720507 req, miss ratio 0.0057, byte miss ratio 0.0057
cdn1_allcolo.ns1309 S3FIFO-0.6500-1.9000 cache size      900, 1720507 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns1309 S3FIFO-0.3000-0.9000 cache size       11, 1720507 req, miss ratio 0.1321, byte miss ratio 0.1321
cdn1_allcolo.ns1309 S3FIFO-0.3000-0.9000 cache size       33, 1720507 req, miss ratio 0.0851, byte miss ratio 0.0851
cdn1_allcolo.ns1309 S3FIFO-0.3000-0.9000 cache size      112, 1720507 req, miss ratio 0.0407, byte miss ratio 0.0407
cdn1_allcolo.ns1309 S3FIFO-0.3000-0.9000 cache size      225, 1720507 req, miss ratio 0.0181, byte miss ratio 0.0181
cdn1_allcolo.ns1309 S3FIFO-0.3000-0.9000 cache size      450, 1720507 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns1309 S3FIFO-0.3000-0.9000 cache size      900, 1720507 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns1309 S3FIFO-0.9500-0.9000 cache size       11, 1720507 req, miss ratio 0.1745, byte miss ratio 0.1745
cdn1_allcolo.ns1309 S3FIFO-0.9500-0.9000 cache size       33, 1720507 req, miss ratio 0.1134, byte miss ratio 0.1134
cdn1_allcolo.ns1309 S3FIFO-0.9500-0.9000 cache size      112, 1720507 req, miss ratio 0.0537, byte miss ratio 0.0537
cdn1_allcolo.ns1309 S3FIFO-0.9500-0.9000 cache size      225, 1720507 req, miss ratio 0.0249, byte miss ratio 0.0249
cdn1_allcolo.ns1309 S3FIFO-0.9500-0.9000 cache size      450, 1720507 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_allcolo.ns1309 S3FIFO-0.9500-0.9000 cache size      900, 1720507 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns1309 S3FIFO-0.0050-1.9000 cache size       11, 1720507 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1309 S3FIFO-0.0050-1.9000 cache size       33, 1720507 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1309 S3FIFO-0.0050-1.9000 cache size      112, 1720507 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1309 S3FIFO-0.0050-1.9000 cache size      225, 1720507 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_allcolo.ns1309 S3FIFO-0.0050-1.9000 cache size      450, 1720507 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn1_allcolo.ns1309 S3FIFO-0.0050-1.9000 cache size      900, 1720507 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns1309 S3FIFO-0.8500-1.9000 cache size       11, 1720507 req, miss ratio 0.1650, byte miss ratio 0.1650
cdn1_allcolo.ns1309 S3FIFO-0.8500-1.9000 cache size       33, 1720507 req, miss ratio 0.1081, byte miss ratio 0.1081
cdn1_allcolo.ns1309 S3FIFO-0.8500-1.9000 cache size      112, 1720507 req, miss ratio 0.0500, byte miss ratio 0.0500
cdn1_allcolo.ns1309 S3FIFO-0.8500-1.9000 cache size      225, 1720507 req, miss ratio 0.0234, byte miss ratio 0.0234
cdn1_allcolo.ns1309 S3FIFO-0.8500-1.9000 cache size      450, 1720507 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_allcolo.ns1309 S3FIFO-0.8500-1.9000 cache size      900, 1720507 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns1309 S3FIFO-0.3000-1.9000 cache size       11, 1720507 req, miss ratio 0.1352, byte miss ratio 0.1352
cdn1_allcolo.ns1309 S3FIFO-0.3000-1.9000 cache size       33, 1720507 req, miss ratio 0.0879, byte miss ratio 0.0879
cdn1_allcolo.ns1309 S3FIFO-0.3000-1.9000 cache size      112, 1720507 req, miss ratio 0.0413, byte miss ratio 0.0413
cdn1_allcolo.ns1309 S3FIFO-0.3000-1.9000 cache size      225, 1720507 req, miss ratio 0.0180, byte miss ratio 0.0180
cdn1_allcolo.ns1309 S3FIFO-0.3000-1.9000 cache size      450, 1720507 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns1309 S3FIFO-0.3000-1.9000 cache size      900, 1720507 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns1309 S3FIFO-0.0250-0.9000 cache size       11, 1720507 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1309 S3FIFO-0.0250-0.9000 cache size       33, 1720507 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns1309 S3FIFO-0.0250-0.9000 cache size      112, 1720507 req, miss ratio 0.0366, byte miss ratio 0.0366
cdn1_allcolo.ns1309 S3FIFO-0.0250-0.9000 cache size      225, 1720507 req, miss ratio 0.0156, byte miss ratio 0.0156
