tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size      159, 1410662 req, miss ratio 1.0000, byte miss ratio 1.0000
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size      479, 1410662 req, miss ratio 0.4882, byte miss ratio 0.4882
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size     1599, 1410662 req, miss ratio 0.4028, byte miss ratio 0.4028
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size     4798, 1410662 req, miss ratio 0.3967, byte miss ratio 0.3967
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size    15996, 1410662 req, miss ratio 0.3382, byte miss ratio 0.3382
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size    31992, 1410662 req, miss ratio 0.2763, byte miss ratio 0.2763
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size    63985, 1410662 req, miss ratio 0.1810, byte miss ratio 0.1810
tencentBlock.ns17154 S3FIFO-0.0050-0.9000 cache size   127970, 1410662 req, miss ratio 0.1186, byte miss ratio 0.1186
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size      159, 1410662 req, miss ratio 0.4060, byte miss ratio 0.4060
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size      479, 1410662 req, miss ratio 0.3985, byte miss ratio 0.3985
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size     1599, 1410662 req, miss ratio 0.3948, byte miss ratio 0.3948
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size     4798, 1410662 req, miss ratio 0.3943, byte miss ratio 0.3943
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size    15996, 1410662 req, miss ratio 0.3586, byte miss ratio 0.3586
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size    31992, 1410662 req, miss ratio 0.2980, byte miss ratio 0.2980
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size    63985, 1410662 req, miss ratio 0.2034, byte miss ratio 0.2034
tencentBlock.ns17154 S3FIFO-0.4500-1.9000 cache size   127970, 1410662 req, miss ratio 0.1187, byte miss ratio 0.1187
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size      159, 1410662 req, miss ratio 0.4150, byte miss ratio 0.4150
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size      479, 1410662 req, miss ratio 0.3997, byte miss ratio 0.3997
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size     1599, 1410662 req, miss ratio 0.3948, byte miss ratio 0.3948
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size     4798, 1410662 req, miss ratio 0.3926, byte miss ratio 0.3926
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size    15996, 1410662 req, miss ratio 0.3414, byte miss ratio 0.3414
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size    31992, 1410662 req, miss ratio 0.2815, byte miss ratio 0.2815
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size    63985, 1410662 req, miss ratio 0.1827, byte miss ratio 0.1827
tencentBlock.ns17154 S3FIFO-0.0500-1.9000 cache size   127970, 1410662 req, miss ratio 0.1185, byte miss ratio 0.1185
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size      159, 1410662 req, miss ratio 0.4076, byte miss ratio 0.4076
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size      479, 1410662 req, miss ratio 0.3975, byte miss ratio 0.3975
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size     1599, 1410662 req, miss ratio 0.3948, byte miss ratio 0.3948
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size     4798, 1410662 req, miss ratio 0.3943, byte miss ratio 0.3943
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size    15996, 1410662 req, miss ratio 0.3455, byte miss ratio 0.3455
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size    31992, 1410662 req, miss ratio 0.2906, byte miss ratio 0.2906
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size    63985, 1410662 req, miss ratio 0.1872, byte miss ratio 0.1872
tencentBlock.ns17154 S3FIFO-0.1500-0.9000 cache size   127970, 1410662 req, miss ratio 0.1184, byte miss ratio 0.1184
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size      159, 1410662 req, miss ratio 0.4280, byte miss ratio 0.4280
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size      479, 1410662 req, miss ratio 0.4026, byte miss ratio 0.4026
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size     1599, 1410662 req, miss ratio 0.3967, byte miss ratio 0.3967
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size     4798, 1410662 req, miss ratio 0.3947, byte miss ratio 0.3947
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size    15996, 1410662 req, miss ratio 0.3586, byte miss ratio 0.3586
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size    31992, 1410662 req, miss ratio 0.3060, byte miss ratio 0.3060
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size    63985, 1410662 req, miss ratio 0.2135, byte miss ratio 0.2135
tencentBlock.ns17154 S3FIFO-0.8000-1.9000 cache size   127970, 1410662 req, miss ratio 0.1239, byte miss ratio 0.1239
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size      159, 1410662 req, miss ratio 0.4054, byte miss ratio 0.4054
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size      479, 1410662 req, miss ratio 0.3973, byte miss ratio 0.3973
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size     1599, 1410662 req, miss ratio 0.3946, byte miss ratio 0.3946
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size     4798, 1410662 req, miss ratio 0.3942, byte miss ratio 0.3942
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size    15996, 1410662 req, miss ratio 0.3497, byte miss ratio 0.3497
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size    31992, 1410662 req, miss ratio 0.2905, byte miss ratio 0.2905
tencentBlock.ns17154 S3FIFO-0.2500-1.9000 cache size    63985, 1410662 req, miss ratio 0.1922, byte miss ratio 0.1922
