cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size        5, 1796791 req, miss ratio 0.3820, byte miss ratio 0.3820
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size       15, 1796791 req, miss ratio 0.1910, byte miss ratio 0.1910
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size       51, 1796791 req, miss ratio 0.0139, byte miss ratio 0.0139
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size      155, 1796791 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size      517, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size     1035, 1796791 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1050 S3FIFO-0.6000-1.9000 cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size        5, 1796791 req, miss ratio 0.3795, byte miss ratio 0.3795
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size       15, 1796791 req, miss ratio 0.1979, byte miss ratio 0.1979
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size       51, 1796791 req, miss ratio 0.0171, byte miss ratio 0.0171
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size      155, 1796791 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size      517, 1796791 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size     1035, 1796791 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size     2070, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_colo28.ns1050 S3FIFO-0.9000-1.9000 cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size        5, 1796791 req, miss ratio 0.3795, byte miss ratio 0.3795
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size       15, 1796791 req, miss ratio 0.1989, byte miss ratio 0.1989
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size       51, 1796791 req, miss ratio 0.0178, byte miss ratio 0.0178
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size      155, 1796791 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size      517, 1796791 req, miss ratio 0.0040, byte miss ratio 0.0040
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size     1035, 1796791 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size     2070, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_colo28.ns1050 S3FIFO-0.9900-1.9000 cache size     4140, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size        5, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size       15, 1796791 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size       51, 1796791 req, miss ratio 0.0097, byte miss ratio 0.0097
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size      155, 1796791 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size      517, 1796791 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size     1035, 1796791 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_colo28.ns1050 S3FIFO-0.0500-0.9000 cache size     2070, 1796791 req, miss ratio 0.0030, byte miss ratio 0.0030
