cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size      747, 6410757 req, miss ratio 0.5675, byte miss ratio 0.5675
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size     2241, 6410757 req, miss ratio 0.4965, byte miss ratio 0.4965
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size     7472, 6410757 req, miss ratio 0.4070, byte miss ratio 0.4070
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size    22416, 6410757 req, miss ratio 0.3187, byte miss ratio 0.3187
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size    74720, 6410757 req, miss ratio 0.2226, byte miss ratio 0.2226
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size   149440, 6410757 req, miss ratio 0.1745, byte miss ratio 0.1745
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size   298880, 6410757 req, miss ratio 0.1384, byte miss ratio 0.1384
cdn1_colo28.ns169 S3FIFO-0.1000-0.9000 cache size   597760, 6410757 req, miss ratio 0.1185, byte miss ratio 0.1185
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size      747, 6410757 req, miss ratio 0.6319, byte miss ratio 0.6319
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size     2241, 6410757 req, miss ratio 0.5632, byte miss ratio 0.5632
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size     7472, 6410757 req, miss ratio 0.4724, byte miss ratio 0.4724
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size    22416, 6410757 req, miss ratio 0.3805, byte miss ratio 0.3805
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size    74720, 6410757 req, miss ratio 0.2741, byte miss ratio 0.2741
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size   149440, 6410757 req, miss ratio 0.2115, byte miss ratio 0.2115
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size   298880, 6410757 req, miss ratio 0.1582, byte miss ratio 0.1582
cdn1_colo28.ns169 S3FIFO-0.8000-1.9000 cache size   597760, 6410757 req, miss ratio 0.1207, byte miss ratio 0.1207
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size      747, 6410757 req, miss ratio 0.5747, byte miss ratio 0.5747
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size     2241, 6410757 req, miss ratio 0.5043, byte miss ratio 0.5043
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size     7472, 6410757 req, miss ratio 0.4138, byte miss ratio 0.4138
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size    22416, 6410757 req, miss ratio 0.3252, byte miss ratio 0.3252
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size    74720, 6410757 req, miss ratio 0.2291, byte miss ratio 0.2291
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size   149440, 6410757 req, miss ratio 0.1788, byte miss ratio 0.1788
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size   298880, 6410757 req, miss ratio 0.1397, byte miss ratio 0.1397
cdn1_colo28.ns169 S3FIFO-0.2500-0.9000 cache size   597760, 6410757 req, miss ratio 0.1185, byte miss ratio 0.1185
cdn1_colo28.ns169 S3FIFO-0.0010-0.9000 cache size      747, 6410757 req, miss ratio 1.0000, byte miss ratio 1.0000
