cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size        8, 2869045 req, miss ratio 0.6887, byte miss ratio 0.6887
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size       24, 2869045 req, miss ratio 0.4342, byte miss ratio 0.4342
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size       83, 2869045 req, miss ratio 0.1855, byte miss ratio 0.1855
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size      249, 2869045 req, miss ratio 0.0672, byte miss ratio 0.0672
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size      830, 2869045 req, miss ratio 0.0192, byte miss ratio 0.0192
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_colo28.ns1323 S3FIFO-0.5000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size        8, 2869045 req, miss ratio 0.7307, byte miss ratio 0.7307
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size       24, 2869045 req, miss ratio 0.4881, byte miss ratio 0.4881
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size       83, 2869045 req, miss ratio 0.2225, byte miss ratio 0.2225
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size      249, 2869045 req, miss ratio 0.0848, byte miss ratio 0.0848
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size      830, 2869045 req, miss ratio 0.0245, byte miss ratio 0.0245
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0113, byte miss ratio 0.0113
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_colo28.ns1323 S3FIFO-0.9000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size        8, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size       24, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size       83, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size      249, 2869045 req, miss ratio 0.0579, byte miss ratio 0.0579
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size      830, 2869045 req, miss ratio 0.0159, byte miss ratio 0.0159
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size     1661, 2869045 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size     3323, 2869045 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns1323 S3FIFO-0.0100-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size        8, 2869045 req, miss ratio 0.6293, byte miss ratio 0.6293
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size       24, 2869045 req, miss ratio 0.4067, byte miss ratio 0.4067
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size       83, 2869045 req, miss ratio 0.1722, byte miss ratio 0.1722
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size      249, 2869045 req, miss ratio 0.0623, byte miss ratio 0.0623
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size      830, 2869045 req, miss ratio 0.0177, byte miss ratio 0.0177
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size     1661, 2869045 req, miss ratio 0.0078, byte miss ratio 0.0078
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size     3323, 2869045 req, miss ratio 0.0038, byte miss ratio 0.0038
cdn1_colo28.ns1323 S3FIFO-0.3500-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size        8, 2869045 req, miss ratio 0.6452, byte miss ratio 0.6452
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size       24, 2869045 req, miss ratio 0.4055, byte miss ratio 0.4055
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size       83, 2869045 req, miss ratio 0.1669, byte miss ratio 0.1669
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size      249, 2869045 req, miss ratio 0.0600, byte miss ratio 0.0600
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size      830, 2869045 req, miss ratio 0.0169, byte miss ratio 0.0169
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size     1661, 2869045 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size     3323, 2869045 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_colo28.ns1323 S3FIFO-0.2500-1.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size        8, 2869045 req, miss ratio 0.7278, byte miss ratio 0.7278
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size       24, 2869045 req, miss ratio 0.4992, byte miss ratio 0.4992
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size       83, 2869045 req, miss ratio 0.2359, byte miss ratio 0.2359
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size      249, 2869045 req, miss ratio 0.0915, byte miss ratio 0.0915
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size      830, 2869045 req, miss ratio 0.0267, byte miss ratio 0.0267
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size     1661, 2869045 req, miss ratio 0.0122, byte miss ratio 0.0122
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size     3323, 2869045 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_colo28.ns1323 S3FIFO-0.9900-0.9000 cache size     6646, 2869045 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size        8, 2869045 req, miss ratio 0.7307, byte miss ratio 0.7307
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size       24, 2869045 req, miss ratio 0.4924, byte miss ratio 0.4924
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size       83, 2869045 req, miss ratio 0.2275, byte miss ratio 0.2275
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size      249, 2869045 req, miss ratio 0.0873, byte miss ratio 0.0873
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size      830, 2869045 req, miss ratio 0.0254, byte miss ratio 0.0254
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size     1661, 2869045 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size     3323, 2869045 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns1323 S3FIFO-0.9500-1.9000 cache size     6646, 2869045 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size        8, 2869045 req, miss ratio 0.7278, byte miss ratio 0.7278
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size       24, 2869045 req, miss ratio 0.4948, byte miss ratio 0.4948
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size       83, 2869045 req, miss ratio 0.2315, byte miss ratio 0.2315
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size      249, 2869045 req, miss ratio 0.0891, byte miss ratio 0.0891
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size      830, 2869045 req, miss ratio 0.0259, byte miss ratio 0.0259
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size     1661, 2869045 req, miss ratio 0.0119, byte miss ratio 0.0119
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size     3323, 2869045 req, miss ratio 0.0056, byte miss ratio 0.0056
cdn1_colo28.ns1323 S3FIFO-0.9500-0.9000 cache size     6646, 2869045 req, miss ratio 0.0036, byte miss ratio 0.0036
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size        8, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size       24, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size       83, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size      249, 2869045 req, miss ratio 0.0584, byte miss ratio 0.0584
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size      830, 2869045 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size     1661, 2869045 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size     3323, 2869045 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns1323 S3FIFO-0.0050-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size        8, 2869045 req, miss ratio 0.6452, byte miss ratio 0.6452
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size       24, 2869045 req, miss ratio 0.4101, byte miss ratio 0.4101
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size       83, 2869045 req, miss ratio 0.1701, byte miss ratio 0.1701
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size      249, 2869045 req, miss ratio 0.0613, byte miss ratio 0.0613
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size      830, 2869045 req, miss ratio 0.0172, byte miss ratio 0.0172
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0076, byte miss ratio 0.0076
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns1323 S3FIFO-0.3000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size        8, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size       24, 2869045 req, miss ratio 0.3886, byte miss ratio 0.3886
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size       83, 2869045 req, miss ratio 0.1600, byte miss ratio 0.1600
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size      249, 2869045 req, miss ratio 0.0573, byte miss ratio 0.0573
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size      830, 2869045 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0066, byte miss ratio 0.0066
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns1323 S3FIFO-0.1000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size        8, 2869045 req, miss ratio 0.6211, byte miss ratio 0.6211
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size       24, 2869045 req, miss ratio 0.3969, byte miss ratio 0.3969
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size       83, 2869045 req, miss ratio 0.1641, byte miss ratio 0.1641
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size      249, 2869045 req, miss ratio 0.0588, byte miss ratio 0.0588
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size      830, 2869045 req, miss ratio 0.0165, byte miss ratio 0.0165
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0071, byte miss ratio 0.0071
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0035, byte miss ratio 0.0035
cdn1_colo28.ns1323 S3FIFO-0.2000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size        8, 2869045 req, miss ratio 0.6054, byte miss ratio 0.6054
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size       24, 2869045 req, miss ratio 0.3833, byte miss ratio 0.3833
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size       83, 2869045 req, miss ratio 0.1586, byte miss ratio 0.1586
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size      249, 2869045 req, miss ratio 0.0570, byte miss ratio 0.0570
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size      830, 2869045 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size     1661, 2869045 req, miss ratio 0.0068, byte miss ratio 0.0068
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size     3323, 2869045 req, miss ratio 0.0034, byte miss ratio 0.0034
cdn1_colo28.ns1323 S3FIFO-0.1500-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size        8, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size       24, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size       83, 2869045 req, miss ratio 0.1564, byte miss ratio 0.1564
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size      249, 2869045 req, miss ratio 0.0569, byte miss ratio 0.0569
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size      830, 2869045 req, miss ratio 0.0157, byte miss ratio 0.0157
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size     1661, 2869045 req, miss ratio 0.0064, byte miss ratio 0.0064
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size     3323, 2869045 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns1323 S3FIFO-0.0250-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size        8, 2869045 req, miss ratio 0.7061, byte miss ratio 0.7061
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size       24, 2869045 req, miss ratio 0.4583, byte miss ratio 0.4583
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size       83, 2869045 req, miss ratio 0.2035, byte miss ratio 0.2035
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size      249, 2869045 req, miss ratio 0.0750, byte miss ratio 0.0750
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size      830, 2869045 req, miss ratio 0.0215, byte miss ratio 0.0215
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0098, byte miss ratio 0.0098
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_colo28.ns1323 S3FIFO-0.7000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0032, byte miss ratio 0.0032
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size        8, 2869045 req, miss ratio 0.6766, byte miss ratio 0.6766
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size       24, 2869045 req, miss ratio 0.4276, byte miss ratio 0.4276
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size       83, 2869045 req, miss ratio 0.1845, byte miss ratio 0.1845
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size      249, 2869045 req, miss ratio 0.0674, byte miss ratio 0.0674
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size      830, 2869045 req, miss ratio 0.0192, byte miss ratio 0.0192
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size     1661, 2869045 req, miss ratio 0.0086, byte miss ratio 0.0086
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size     3323, 2869045 req, miss ratio 0.0041, byte miss ratio 0.0041
cdn1_colo28.ns1323 S3FIFO-0.5000-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size        8, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size       24, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size       83, 2869045 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size      249, 2869045 req, miss ratio 0.0590, byte miss ratio 0.0590
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size      830, 2869045 req, miss ratio 0.0161, byte miss ratio 0.0161
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size     1661, 2869045 req, miss ratio 0.0065, byte miss ratio 0.0065
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size     3323, 2869045 req, miss ratio 0.0033, byte miss ratio 0.0033
cdn1_colo28.ns1323 S3FIFO-0.0100-1.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size        8, 2869045 req, miss ratio 0.6887, byte miss ratio 0.6887
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size       24, 2869045 req, miss ratio 0.4456, byte miss ratio 0.4456
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size       83, 2869045 req, miss ratio 0.1938, byte miss ratio 0.1938
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size      249, 2869045 req, miss ratio 0.0709, byte miss ratio 0.0709
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size      830, 2869045 req, miss ratio 0.0203, byte miss ratio 0.0203
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size     1661, 2869045 req, miss ratio 0.0092, byte miss ratio 0.0092
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size     3323, 2869045 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_colo28.ns1323 S3FIFO-0.6000-1.9000 cache size     6646, 2869045 req, miss ratio 0.0031, byte miss ratio 0.0031
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size        8, 2869045 req, miss ratio 0.6293, byte miss ratio 0.6293
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size       24, 2869045 req, miss ratio 0.4018, byte miss ratio 0.4018
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size       83, 2869045 req, miss ratio 0.1675, byte miss ratio 0.1675
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size      249, 2869045 req, miss ratio 0.0606, byte miss ratio 0.0606
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size      830, 2869045 req, miss ratio 0.0172, byte miss ratio 0.0172
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size     1661, 2869045 req, miss ratio 0.0075, byte miss ratio 0.0075
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size     3323, 2869045 req, miss ratio 0.0037, byte miss ratio 0.0037
cdn1_colo28.ns1323 S3FIFO-0.3000-0.9000 cache size     6646, 2869045 req, miss ratio 0.0030, byte miss ratio 0.0030
