tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size       65, 4013450 req, miss ratio 0.3894, byte miss ratio 0.3894
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size      197, 4013450 req, miss ratio 0.1465, byte miss ratio 0.1465
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size      657, 4013450 req, miss ratio 0.0797, byte miss ratio 0.0797
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size     1972, 4013450 req, miss ratio 0.0711, byte miss ratio 0.0711
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size     6576, 4013450 req, miss ratio 0.0571, byte miss ratio 0.0571
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size    13153, 4013450 req, miss ratio 0.0480, byte miss ratio 0.0480
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size    26306, 4013450 req, miss ratio 0.0338, byte miss ratio 0.0338
tencentBlock.ns3410 S3FIFO-0.6500-1.9000 cache size    52612, 4013450 req, miss ratio 0.0177, byte miss ratio 0.0177
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size       65, 4013450 req, miss ratio 0.3999, byte miss ratio 0.3999
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size      197, 4013450 req, miss ratio 0.1565, byte miss ratio 0.1565
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size      657, 4013450 req, miss ratio 0.0819, byte miss ratio 0.0819
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size     1972, 4013450 req, miss ratio 0.0717, byte miss ratio 0.0717
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size     6576, 4013450 req, miss ratio 0.0579, byte miss ratio 0.0579
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size    13153, 4013450 req, miss ratio 0.0490, byte miss ratio 0.0490
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size    26306, 4013450 req, miss ratio 0.0338, byte miss ratio 0.0338
tencentBlock.ns3410 S3FIFO-0.7500-0.9000 cache size    52612, 4013450 req, miss ratio 0.0181, byte miss ratio 0.0181
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size       65, 4013450 req, miss ratio 0.4086, byte miss ratio 0.4086
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size      197, 4013450 req, miss ratio 0.1620, byte miss ratio 0.1620
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size      657, 4013450 req, miss ratio 0.0832, byte miss ratio 0.0832
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size     1972, 4013450 req, miss ratio 0.0723, byte miss ratio 0.0723
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size     6576, 4013450 req, miss ratio 0.0587, byte miss ratio 0.0587
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size    13153, 4013450 req, miss ratio 0.0498, byte miss ratio 0.0498
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size    26306, 4013450 req, miss ratio 0.0340, byte miss ratio 0.0340
tencentBlock.ns3410 S3FIFO-0.8000-0.9000 cache size    52612, 4013450 req, miss ratio 0.0184, byte miss ratio 0.0184
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size       65, 4013450 req, miss ratio 0.4141, byte miss ratio 0.4141
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size      197, 4013450 req, miss ratio 0.1673, byte miss ratio 0.1673
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size      657, 4013450 req, miss ratio 0.0856, byte miss ratio 0.0856
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size     1972, 4013450 req, miss ratio 0.0729, byte miss ratio 0.0729
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size     6576, 4013450 req, miss ratio 0.0586, byte miss ratio 0.0586
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size    13153, 4013450 req, miss ratio 0.0501, byte miss ratio 0.0501
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size    26306, 4013450 req, miss ratio 0.0339, byte miss ratio 0.0339
tencentBlock.ns3410 S3FIFO-0.8500-1.9000 cache size    52612, 4013450 req, miss ratio 0.0185, byte miss ratio 0.0185
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size       65, 4013450 req, miss ratio 0.3684, byte miss ratio 0.3684
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size      197, 4013450 req, miss ratio 0.1253, byte miss ratio 0.1253
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size      657, 4013450 req, miss ratio 0.0775, byte miss ratio 0.0775
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size     1972, 4013450 req, miss ratio 0.0687, byte miss ratio 0.0687
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size     6576, 4013450 req, miss ratio 0.0541, byte miss ratio 0.0541
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size    13153, 4013450 req, miss ratio 0.0468, byte miss ratio 0.0468
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size    26306, 4013450 req, miss ratio 0.0338, byte miss ratio 0.0338
tencentBlock.ns3410 S3FIFO-0.4500-0.9000 cache size    52612, 4013450 req, miss ratio 0.0171, byte miss ratio 0.0171
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size       65, 4013450 req, miss ratio 0.3225, byte miss ratio 0.3225
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size      197, 4013450 req, miss ratio 0.1115, byte miss ratio 0.1115
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size      657, 4013450 req, miss ratio 0.0777, byte miss ratio 0.0777
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size     1972, 4013450 req, miss ratio 0.0690, byte miss ratio 0.0690
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size     6576, 4013450 req, miss ratio 0.0517, byte miss ratio 0.0517
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size    13153, 4013450 req, miss ratio 0.0447, byte miss ratio 0.0447
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size    26306, 4013450 req, miss ratio 0.0313, byte miss ratio 0.0313
tencentBlock.ns3410 S3FIFO-0.0500-1.9000 cache size    52612, 4013450 req, miss ratio 0.0171, byte miss ratio 0.0171
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size       65, 4013450 req, miss ratio 0.3401, byte miss ratio 0.3401
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size      197, 4013450 req, miss ratio 0.1077, byte miss ratio 0.1077
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size      657, 4013450 req, miss ratio 0.0768, byte miss ratio 0.0768
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size     1972, 4013450 req, miss ratio 0.0676, byte miss ratio 0.0676
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size     6576, 4013450 req, miss ratio 0.0526, byte miss ratio 0.0526
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size    13153, 4013450 req, miss ratio 0.0451, byte miss ratio 0.0451
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size    26306, 4013450 req, miss ratio 0.0326, byte miss ratio 0.0326
tencentBlock.ns3410 S3FIFO-0.2000-0.9000 cache size    52612, 4013450 req, miss ratio 0.0169, byte miss ratio 0.0169
tencentBlock.ns3410 S3FIFO-0.0250-1.9000 cache size       65, 4013450 req, miss ratio 0.3175, byte miss ratio 0.3175
tencentBlock.ns3410 S3FIFO-0.0250-1.9000 cache size      197, 4013450 req, miss ratio 0.1176, byte miss ratio 0.1176
tencentBlock.ns3410 S3FIFO-0.0250-1.9000 cache size      657, 4013450 req, miss ratio 0.0786, byte miss ratio 0.0786
tencentBlock.ns3410 S3FIFO-0.0250-1.9000 cache size     1972, 4013450 req, miss ratio 0.0700, byte miss ratio 0.0700
tencentBlock.ns3410 S3FIFO-0.0250-1.9000 cache size     6576, 4013450 req, miss ratio 0.0519, byte miss ratio 0.0519
tencentBlock.ns3410 S3FIFO-0.0250-1.9000 cache size    13153, 4013450 req, miss ratio 0.0441, byte miss ratio 0.0441
