io_traces.ns93 S3FIFO-0.6500-1.9000 cache size      434, 4800000 req, miss ratio 0.5126, byte miss ratio 0.5126
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size     4347, 4800000 req, miss ratio 0.4993, byte miss ratio 0.4993
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size    13041, 4800000 req, miss ratio 0.4312, byte miss ratio 0.4312
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size    43470, 4800000 req, miss ratio 0.2530, byte miss ratio 0.2530
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size    86940, 4800000 req, miss ratio 0.1334, byte miss ratio 0.1334
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size   173880, 4800000 req, miss ratio 0.0916, byte miss ratio 0.0916
io_traces.ns93 S3FIFO-0.6500-1.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size      434, 4800000 req, miss ratio 0.5126, byte miss ratio 0.5126
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size     4347, 4800000 req, miss ratio 0.5037, byte miss ratio 0.5037
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size    13041, 4800000 req, miss ratio 0.4258, byte miss ratio 0.4258
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size    43470, 4800000 req, miss ratio 0.2574, byte miss ratio 0.2574
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size    86940, 4800000 req, miss ratio 0.1389, byte miss ratio 0.1389
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size   173880, 4800000 req, miss ratio 0.0940, byte miss ratio 0.0940
io_traces.ns93 S3FIFO-0.7000-1.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size      434, 4800000 req, miss ratio 0.5268, byte miss ratio 0.5268
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size     1304, 4800000 req, miss ratio 0.5120, byte miss ratio 0.5120
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size     4347, 4800000 req, miss ratio 0.4745, byte miss ratio 0.4745
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size    13041, 4800000 req, miss ratio 0.4044, byte miss ratio 0.4044
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size    43470, 4800000 req, miss ratio 0.1779, byte miss ratio 0.1779
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size    86940, 4800000 req, miss ratio 0.0944, byte miss ratio 0.0944
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size   173880, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.0500-1.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size      434, 4800000 req, miss ratio 0.5410, byte miss ratio 0.5410
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size     1304, 4800000 req, miss ratio 0.5197, byte miss ratio 0.5197
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size     4347, 4800000 req, miss ratio 0.5124, byte miss ratio 0.5124
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size    13041, 4800000 req, miss ratio 0.4317, byte miss ratio 0.4317
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size    43470, 4800000 req, miss ratio 0.2772, byte miss ratio 0.2772
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size    86940, 4800000 req, miss ratio 0.1665, byte miss ratio 0.1665
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size   173880, 4800000 req, miss ratio 0.1123, byte miss ratio 0.1123
io_traces.ns93 S3FIFO-0.9900-0.9000 cache size   347761, 4800000 req, miss ratio 0.0997, byte miss ratio 0.0997
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size      434, 4800000 req, miss ratio 0.5127, byte miss ratio 0.5127
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size     4347, 4800000 req, miss ratio 0.5090, byte miss ratio 0.5090
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size    13041, 4800000 req, miss ratio 0.4233, byte miss ratio 0.4233
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size    43470, 4800000 req, miss ratio 0.2612, byte miss ratio 0.2612
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size    86940, 4800000 req, miss ratio 0.1443, byte miss ratio 0.1443
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size   173880, 4800000 req, miss ratio 0.0972, byte miss ratio 0.0972
io_traces.ns93 S3FIFO-0.7500-1.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size      434, 4800000 req, miss ratio 0.5125, byte miss ratio 0.5125
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size     4347, 4800000 req, miss ratio 0.5024, byte miss ratio 0.5024
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size    13041, 4800000 req, miss ratio 0.4230, byte miss ratio 0.4230
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size    43470, 4800000 req, miss ratio 0.2258, byte miss ratio 0.2258
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size    86940, 4800000 req, miss ratio 0.1081, byte miss ratio 0.1081
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size   173880, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.4000-0.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size      434, 4800000 req, miss ratio 0.5125, byte miss ratio 0.5125
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size     4347, 4800000 req, miss ratio 0.5030, byte miss ratio 0.5030
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size    13041, 4800000 req, miss ratio 0.4197, byte miss ratio 0.4197
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size    43470, 4800000 req, miss ratio 0.2318, byte miss ratio 0.2318
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size    86940, 4800000 req, miss ratio 0.1126, byte miss ratio 0.1126
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size   173880, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.4500-0.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size      434, 4800000 req, miss ratio 0.5125, byte miss ratio 0.5125
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size     4347, 4800000 req, miss ratio 0.5019, byte miss ratio 0.5019
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size    13041, 4800000 req, miss ratio 0.4331, byte miss ratio 0.4331
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size    43470, 4800000 req, miss ratio 0.2191, byte miss ratio 0.2191
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size    86940, 4800000 req, miss ratio 0.1034, byte miss ratio 0.1034
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size   173880, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.3500-0.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size      434, 4800000 req, miss ratio 0.5125, byte miss ratio 0.5125
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size     1304, 4800000 req, miss ratio 0.5119, byte miss ratio 0.5119
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size     4347, 4800000 req, miss ratio 0.4795, byte miss ratio 0.4795
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size    13041, 4800000 req, miss ratio 0.4198, byte miss ratio 0.4198
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size    43470, 4800000 req, miss ratio 0.1977, byte miss ratio 0.1977
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size    86940, 4800000 req, miss ratio 0.0943, byte miss ratio 0.0943
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size   173880, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.2000-1.9000 cache size   347761, 4800000 req, miss ratio 0.0906, byte miss ratio 0.0906
io_traces.ns93 S3FIFO-0.8500-1.9000 cache size      434, 4800000 req, miss ratio 0.5131, byte miss ratio 0.5131
io_traces.ns93 S3FIFO-0.8500-1.9000 cache size     1304, 4800000 req, miss ratio 0.5121, byte miss ratio 0.5121
io_traces.ns93 S3FIFO-0.8500-1.9000 cache size     4347, 4800000 req, miss ratio 0.5120, byte miss ratio 0.5120
io_traces.ns93 S3FIFO-0.8500-1.9000 cache size    13041, 4800000 req, miss ratio 0.4352, byte miss ratio 0.4352
io_traces.ns93 S3FIFO-0.8500-1.9000 cache size    43470, 4800000 req, miss ratio 0.2678, byte miss ratio 0.2678
io_traces.ns93 S3FIFO-0.8500-1.9000 cache size    86940, 4800000 req, miss ratio 0.1544, byte miss ratio 0.1544
