cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size      725, 1149250 req, miss ratio 0.7551, byte miss ratio 0.7551
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size     2175, 1149250 req, miss ratio 0.7505, byte miss ratio 0.7505
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size     7251, 1149250 req, miss ratio 0.7384, byte miss ratio 0.7384
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size    21755, 1149250 req, miss ratio 0.7240, byte miss ratio 0.7240
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size    72518, 1149250 req, miss ratio 0.7128, byte miss ratio 0.7128
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size   145037, 1149250 req, miss ratio 0.6949, byte miss ratio 0.6949
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size   290075, 1149250 req, miss ratio 0.6684, byte miss ratio 0.6684
cdn1_colo28.ns355 S3FIFO-0.9000-1.9000 cache size   580150, 1149250 req, miss ratio 0.6351, byte miss ratio 0.6351
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size      725, 1149250 req, miss ratio 0.7539, byte miss ratio 0.7539
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size     2175, 1149250 req, miss ratio 0.7423, byte miss ratio 0.7423
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size     7251, 1149250 req, miss ratio 0.7329, byte miss ratio 0.7329
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size    21755, 1149250 req, miss ratio 0.7243, byte miss ratio 0.7243
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size    72518, 1149250 req, miss ratio 0.7056, byte miss ratio 0.7056
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size   145037, 1149250 req, miss ratio 0.6906, byte miss ratio 0.6906
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size   290075, 1149250 req, miss ratio 0.6666, byte miss ratio 0.6666
cdn1_colo28.ns355 S3FIFO-0.2000-1.9000 cache size   580150, 1149250 req, miss ratio 0.6353, byte miss ratio 0.6353
