io_traces.ns48 S3FIFO-0.0250-0.9000 cache size     1441, 36200000 req, miss ratio 0.2315, byte miss ratio 0.2315
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size     4325, 36200000 req, miss ratio 0.2118, byte miss ratio 0.2118
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size    14419, 36200000 req, miss ratio 0.1954, byte miss ratio 0.1954
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size    43258, 36200000 req, miss ratio 0.1609, byte miss ratio 0.1609
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size   144196, 36200000 req, miss ratio 0.1066, byte miss ratio 0.1066
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size   288393, 36200000 req, miss ratio 0.0769, byte miss ratio 0.0769
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size   576786, 36200000 req, miss ratio 0.0598, byte miss ratio 0.0598
io_traces.ns48 S3FIFO-0.0250-0.9000 cache size  1153572, 36200000 req, miss ratio 0.0421, byte miss ratio 0.0421
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size     1441, 36200000 req, miss ratio 0.2279, byte miss ratio 0.2279
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size     4325, 36200000 req, miss ratio 0.2104, byte miss ratio 0.2104
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size    14419, 36200000 req, miss ratio 0.1960, byte miss ratio 0.1960
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size    43258, 36200000 req, miss ratio 0.1639, byte miss ratio 0.1639
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size   144196, 36200000 req, miss ratio 0.0924, byte miss ratio 0.0924
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size   288393, 36200000 req, miss ratio 0.0635, byte miss ratio 0.0635
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size   576786, 36200000 req, miss ratio 0.0542, byte miss ratio 0.0542
io_traces.ns48 S3FIFO-0.2000-0.9000 cache size  1153572, 36200000 req, miss ratio 0.0418, byte miss ratio 0.0418
io_traces.ns48 S3FIFO-0.0100-1.9000 cache size     1441, 36200000 req, miss ratio 0.2345, byte miss ratio 0.2345
io_traces.ns48 S3FIFO-0.0100-1.9000 cache size     4325, 36200000 req, miss ratio 0.2131, byte miss ratio 0.2131
io_traces.ns48 S3FIFO-0.0100-1.9000 cache size    14419, 36200000 req, miss ratio 0.1969, byte miss ratio 0.1969
