io_traces.ns129 S3FIFO-0.8000-0.9000 cache size      496, 4200000 req, miss ratio 0.4877, byte miss ratio 0.4877
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size     1490, 4200000 req, miss ratio 0.4311, byte miss ratio 0.4311
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size     4967, 4200000 req, miss ratio 0.3780, byte miss ratio 0.3780
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size    14901, 4200000 req, miss ratio 0.3368, byte miss ratio 0.3368
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size    49670, 4200000 req, miss ratio 0.2423, byte miss ratio 0.2423
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size    99340, 4200000 req, miss ratio 0.1758, byte miss ratio 0.1758
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size   198680, 4200000 req, miss ratio 0.1358, byte miss ratio 0.1358
io_traces.ns129 S3FIFO-0.8000-0.9000 cache size   397360, 4200000 req, miss ratio 0.1211, byte miss ratio 0.1211
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size      496, 4200000 req, miss ratio 0.4857, byte miss ratio 0.4857
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size     1490, 4200000 req, miss ratio 0.4170, byte miss ratio 0.4170
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size     4967, 4200000 req, miss ratio 0.3717, byte miss ratio 0.3717
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size    14901, 4200000 req, miss ratio 0.3237, byte miss ratio 0.3237
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size    49670, 4200000 req, miss ratio 0.2125, byte miss ratio 0.2125
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size    99340, 4200000 req, miss ratio 0.1539, byte miss ratio 0.1539
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size   198680, 4200000 req, miss ratio 0.1302, byte miss ratio 0.1302
io_traces.ns129 S3FIFO-0.0050-1.9000 cache size   397360, 4200000 req, miss ratio 0.1194, byte miss ratio 0.1194
io_traces.ns129 S3FIFO-0.7000-1.9000 cache size      496, 4200000 req, miss ratio 0.4813, byte miss ratio 0.4813
io_traces.ns129 S3FIFO-0.7000-1.9000 cache size     1490, 4200000 req, miss ratio 0.4243, byte miss ratio 0.4243
io_traces.ns129 S3FIFO-0.7000-1.9000 cache size     4967, 4200000 req, miss ratio 0.3754, byte miss ratio 0.3754
io_traces.ns129 S3FIFO-0.7000-1.9000 cache size    14901, 4200000 req, miss ratio 0.3342, byte miss ratio 0.3342
io_traces.ns129 S3FIFO-0.7000-1.9000 cache size    49670, 4200000 req, miss ratio 0.2407, byte miss ratio 0.2407
