cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size       14, 2811980 req, miss ratio 0.0485, byte miss ratio 0.0485
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size       42, 2811980 req, miss ratio 0.0297, byte miss ratio 0.0297
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size      141, 2811980 req, miss ratio 0.0209, byte miss ratio 0.0209
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size      423, 2811980 req, miss ratio 0.0162, byte miss ratio 0.0162
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size     1412, 2811980 req, miss ratio 0.0120, byte miss ratio 0.0120
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size     2824, 2811980 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size     5648, 2811980 req, miss ratio 0.0072, byte miss ratio 0.0072
cdn1_allcolo.ns4012 S3FIFO-0.9500-1.9000 cache size    11296, 2811980 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size       14, 2811980 req, miss ratio 0.0325, byte miss ratio 0.0325
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size       42, 2811980 req, miss ratio 0.0226, byte miss ratio 0.0226
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size      141, 2811980 req, miss ratio 0.0169, byte miss ratio 0.0169
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size      423, 2811980 req, miss ratio 0.0136, byte miss ratio 0.0136
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size     1412, 2811980 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size     2824, 2811980 req, miss ratio 0.0081, byte miss ratio 0.0081
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size     5648, 2811980 req, miss ratio 0.0061, byte miss ratio 0.0061
cdn1_allcolo.ns4012 S3FIFO-0.4000-1.9000 cache size    11296, 2811980 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size       14, 2811980 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size       42, 2811980 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size      141, 2811980 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size      423, 2811980 req, miss ratio 0.0129, byte miss ratio 0.0129
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size     1412, 2811980 req, miss ratio 0.0096, byte miss ratio 0.0096
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size     2824, 2811980 req, miss ratio 0.0073, byte miss ratio 0.0073
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size     5648, 2811980 req, miss ratio 0.0058, byte miss ratio 0.0058
cdn1_allcolo.ns4012 S3FIFO-0.0050-1.9000 cache size    11296, 2811980 req, miss ratio 0.0051, byte miss ratio 0.0051
