tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size      402, 4441845 req, miss ratio 0.4980, byte miss ratio 0.4980
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size     1206, 4441845 req, miss ratio 0.4071, byte miss ratio 0.4071
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size     4020, 4441845 req, miss ratio 0.3874, byte miss ratio 0.3874
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size    12060, 4441845 req, miss ratio 0.3808, byte miss ratio 0.3808
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size    40200, 4441845 req, miss ratio 0.3321, byte miss ratio 0.3321
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size    80401, 4441845 req, miss ratio 0.2900, byte miss ratio 0.2900
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size   160802, 4441845 req, miss ratio 0.2419, byte miss ratio 0.2419
tencentBlock.ns17830 S3FIFO-0.7000-0.9000 cache size   321604, 4441845 req, miss ratio 0.1464, byte miss ratio 0.1464
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size      402, 4441845 req, miss ratio 0.4412, byte miss ratio 0.4412
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size     1206, 4441845 req, miss ratio 0.4015, byte miss ratio 0.4015
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size     4020, 4441845 req, miss ratio 0.3862, byte miss ratio 0.3862
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size    12060, 4441845 req, miss ratio 0.3642, byte miss ratio 0.3642
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size    40200, 4441845 req, miss ratio 0.3284, byte miss ratio 0.3284
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size    80401, 4441845 req, miss ratio 0.2773, byte miss ratio 0.2773
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size   160802, 4441845 req, miss ratio 0.2334, byte miss ratio 0.2334
tencentBlock.ns17830 S3FIFO-0.5500-0.9000 cache size   321604, 4441845 req, miss ratio 0.1640, byte miss ratio 0.1640
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size      402, 4441845 req, miss ratio 0.4350, byte miss ratio 0.4350
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size     1206, 4441845 req, miss ratio 0.3998, byte miss ratio 0.3998
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size     4020, 4441845 req, miss ratio 0.3859, byte miss ratio 0.3859
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size    12060, 4441845 req, miss ratio 0.3622, byte miss ratio 0.3622
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size    40200, 4441845 req, miss ratio 0.3259, byte miss ratio 0.3259
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size    80401, 4441845 req, miss ratio 0.2775, byte miss ratio 0.2775
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size   160802, 4441845 req, miss ratio 0.2311, byte miss ratio 0.2311
tencentBlock.ns17830 S3FIFO-0.5000-1.9000 cache size   321604, 4441845 req, miss ratio 0.1648, byte miss ratio 0.1648
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size      402, 4441845 req, miss ratio 0.5002, byte miss ratio 0.5002
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size     1206, 4441845 req, miss ratio 0.4072, byte miss ratio 0.4072
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size     4020, 4441845 req, miss ratio 0.3885, byte miss ratio 0.3885
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size    12060, 4441845 req, miss ratio 0.3819, byte miss ratio 0.3819
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size    40200, 4441845 req, miss ratio 0.3321, byte miss ratio 0.3321
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size    80401, 4441845 req, miss ratio 0.2940, byte miss ratio 0.2940
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size   160802, 4441845 req, miss ratio 0.2419, byte miss ratio 0.2419
tencentBlock.ns17830 S3FIFO-0.7000-1.9000 cache size   321604, 4441845 req, miss ratio 0.1464, byte miss ratio 0.1464
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size      402, 4441845 req, miss ratio 0.4511, byte miss ratio 0.4511
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size     1206, 4441845 req, miss ratio 0.4032, byte miss ratio 0.4032
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size     4020, 4441845 req, miss ratio 0.3865, byte miss ratio 0.3865
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size    12060, 4441845 req, miss ratio 0.3658, byte miss ratio 0.3658
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size    40200, 4441845 req, miss ratio 0.3304, byte miss ratio 0.3304
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size    80401, 4441845 req, miss ratio 0.2818, byte miss ratio 0.2818
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size   160802, 4441845 req, miss ratio 0.2375, byte miss ratio 0.2375
tencentBlock.ns17830 S3FIFO-0.6000-0.9000 cache size   321604, 4441845 req, miss ratio 0.1581, byte miss ratio 0.1581
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size      402, 4441845 req, miss ratio 0.5233, byte miss ratio 0.5233
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size     1206, 4441845 req, miss ratio 0.4097, byte miss ratio 0.4097
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size     4020, 4441845 req, miss ratio 0.3895, byte miss ratio 0.3895
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size    12060, 4441845 req, miss ratio 0.3827, byte miss ratio 0.3827
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size    40200, 4441845 req, miss ratio 0.3334, byte miss ratio 0.3334
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size    80401, 4441845 req, miss ratio 0.2935, byte miss ratio 0.2935
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size   160802, 4441845 req, miss ratio 0.2423, byte miss ratio 0.2423
tencentBlock.ns17830 S3FIFO-0.7500-0.9000 cache size   321604, 4441845 req, miss ratio 0.1415, byte miss ratio 0.1415
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size      402, 4441845 req, miss ratio 0.4472, byte miss ratio 0.4472
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size     1206, 4441845 req, miss ratio 0.4129, byte miss ratio 0.4129
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size     4020, 4441845 req, miss ratio 0.3910, byte miss ratio 0.3910
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size    12060, 4441845 req, miss ratio 0.3626, byte miss ratio 0.3626
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size    40200, 4441845 req, miss ratio 0.3005, byte miss ratio 0.3005
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size    80401, 4441845 req, miss ratio 0.2351, byte miss ratio 0.2351
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size   160802, 4441845 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns17830 S3FIFO-0.0100-0.9000 cache size   321604, 4441845 req, miss ratio 0.1563, byte miss ratio 0.1563
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size      402, 4441845 req, miss ratio 0.4493, byte miss ratio 0.4493
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size     1206, 4441845 req, miss ratio 0.4214, byte miss ratio 0.4214
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size     4020, 4441845 req, miss ratio 0.3953, byte miss ratio 0.3953
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size    12060, 4441845 req, miss ratio 0.3655, byte miss ratio 0.3655
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size    40200, 4441845 req, miss ratio 0.3009, byte miss ratio 0.3009
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size    80401, 4441845 req, miss ratio 0.2362, byte miss ratio 0.2362
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size   160802, 4441845 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns17830 S3FIFO-0.0050-0.9000 cache size   321604, 4441845 req, miss ratio 0.1559, byte miss ratio 0.1559
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size      402, 4441845 req, miss ratio 0.4292, byte miss ratio 0.4292
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size     1206, 4441845 req, miss ratio 0.4006, byte miss ratio 0.4006
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size     4020, 4441845 req, miss ratio 0.3863, byte miss ratio 0.3863
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size    12060, 4441845 req, miss ratio 0.3605, byte miss ratio 0.3605
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size    40200, 4441845 req, miss ratio 0.3016, byte miss ratio 0.3016
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size    80401, 4441845 req, miss ratio 0.2373, byte miss ratio 0.2373
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size   160802, 4441845 req, miss ratio 0.2023, byte miss ratio 0.2023
tencentBlock.ns17830 S3FIFO-0.0500-0.9000 cache size   321604, 4441845 req, miss ratio 0.1609, byte miss ratio 0.1609
