cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size       11, 1286732 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size       35, 1286732 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size      119, 1286732 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size      359, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size     1198, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size     2397, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size     4794, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.0050-1.9000 cache size     9588, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size       11, 1286732 req, miss ratio 0.0635, byte miss ratio 0.0635
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size       35, 1286732 req, miss ratio 0.0110, byte miss ratio 0.0110
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size      119, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size      359, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size     1198, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size     2397, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size     4794, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.6000-0.9000 cache size     9588, 1286732 req, miss ratio 0.0093, byte miss ratio 0.0093
cdn1_colo28.ns1002 S3FIFO-0.8500-1.9000 cache size       11, 1286732 req, miss ratio 0.0744, byte miss ratio 0.0744
