cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size      347, 11445642 req, miss ratio 0.7925, byte miss ratio 0.7925
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size     1043, 11445642 req, miss ratio 0.6951, byte miss ratio 0.6951
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size     3478, 11445642 req, miss ratio 0.5429, byte miss ratio 0.5429
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size    10434, 11445642 req, miss ratio 0.3575, byte miss ratio 0.3575
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size    34782, 11445642 req, miss ratio 0.1601, byte miss ratio 0.1601
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size    69565, 11445642 req, miss ratio 0.0939, byte miss ratio 0.0939
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size   139130, 11445642 req, miss ratio 0.0531, byte miss ratio 0.0531
cdn1_allcolo.ns105 S3FIFO-0.6500-0.9000 cache size   278260, 11445642 req, miss ratio 0.0324, byte miss ratio 0.0324
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size      347, 11445642 req, miss ratio 0.8134, byte miss ratio 0.8134
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size     1043, 11445642 req, miss ratio 0.7228, byte miss ratio 0.7228
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size     3478, 11445642 req, miss ratio 0.5692, byte miss ratio 0.5692
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size    10434, 11445642 req, miss ratio 0.3776, byte miss ratio 0.3776
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size    34782, 11445642 req, miss ratio 0.1724, byte miss ratio 0.1724
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size    69565, 11445642 req, miss ratio 0.1012, byte miss ratio 0.1012
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size   139130, 11445642 req, miss ratio 0.0574, byte miss ratio 0.0574
cdn1_allcolo.ns105 S3FIFO-0.8000-0.9000 cache size   278260, 11445642 req, miss ratio 0.0340, byte miss ratio 0.0340
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size      347, 11445642 req, miss ratio 0.7746, byte miss ratio 0.7746
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size     1043, 11445642 req, miss ratio 0.6730, byte miss ratio 0.6730
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size     3478, 11445642 req, miss ratio 0.5208, byte miss ratio 0.5208
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size    10434, 11445642 req, miss ratio 0.3395, byte miss ratio 0.3395
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size    34782, 11445642 req, miss ratio 0.1500, byte miss ratio 0.1500
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size    69565, 11445642 req, miss ratio 0.0875, byte miss ratio 0.0875
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size   139130, 11445642 req, miss ratio 0.0496, byte miss ratio 0.0496
cdn1_allcolo.ns105 S3FIFO-0.5000-0.9000 cache size   278260, 11445642 req, miss ratio 0.0317, byte miss ratio 0.0317
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size      347, 11445642 req, miss ratio 0.7339, byte miss ratio 0.7339
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size     1043, 11445642 req, miss ratio 0.6257, byte miss ratio 0.6257
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size     3478, 11445642 req, miss ratio 0.4735, byte miss ratio 0.4735
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size    10434, 11445642 req, miss ratio 0.2998, byte miss ratio 0.2998
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size    34782, 11445642 req, miss ratio 0.1346, byte miss ratio 0.1346
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size    69565, 11445642 req, miss ratio 0.0731, byte miss ratio 0.0731
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size   139130, 11445642 req, miss ratio 0.0434, byte miss ratio 0.0434
cdn1_allcolo.ns105 S3FIFO-0.0250-0.9000 cache size   278260, 11445642 req, miss ratio 0.0313, byte miss ratio 0.0313
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size      347, 11445642 req, miss ratio 0.7425, byte miss ratio 0.7425
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size     1043, 11445642 req, miss ratio 0.6350, byte miss ratio 0.6350
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size     3478, 11445642 req, miss ratio 0.4823, byte miss ratio 0.4823
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size    10434, 11445642 req, miss ratio 0.3063, byte miss ratio 0.3063
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size    34782, 11445642 req, miss ratio 0.1343, byte miss ratio 0.1343
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size    69565, 11445642 req, miss ratio 0.0757, byte miss ratio 0.0757
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size   139130, 11445642 req, miss ratio 0.0443, byte miss ratio 0.0443
cdn1_allcolo.ns105 S3FIFO-0.1500-0.9000 cache size   278260, 11445642 req, miss ratio 0.0313, byte miss ratio 0.0313
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size      347, 11445642 req, miss ratio 0.7925, byte miss ratio 0.7925
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size     1043, 11445642 req, miss ratio 0.6963, byte miss ratio 0.6963
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size     3478, 11445642 req, miss ratio 0.5436, byte miss ratio 0.5436
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size    10434, 11445642 req, miss ratio 0.3534, byte miss ratio 0.3534
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size    34782, 11445642 req, miss ratio 0.1562, byte miss ratio 0.1562
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size    69565, 11445642 req, miss ratio 0.0912, byte miss ratio 0.0912
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size   139130, 11445642 req, miss ratio 0.0518, byte miss ratio 0.0518
cdn1_allcolo.ns105 S3FIFO-0.6000-1.9000 cache size   278260, 11445642 req, miss ratio 0.0321, byte miss ratio 0.0321
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size      347, 11445642 req, miss ratio 0.8187, byte miss ratio 0.8187
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size     1043, 11445642 req, miss ratio 0.7305, byte miss ratio 0.7305
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size     3478, 11445642 req, miss ratio 0.5742, byte miss ratio 0.5742
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size    10434, 11445642 req, miss ratio 0.3764, byte miss ratio 0.3764
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size    34782, 11445642 req, miss ratio 0.1709, byte miss ratio 0.1709
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size    69565, 11445642 req, miss ratio 0.0997, byte miss ratio 0.0997
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size   139130, 11445642 req, miss ratio 0.0574, byte miss ratio 0.0574
cdn1_allcolo.ns105 S3FIFO-0.8000-1.9000 cache size   278260, 11445642 req, miss ratio 0.0340, byte miss ratio 0.0340
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size      347, 11445642 req, miss ratio 0.7704, byte miss ratio 0.7704
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size     1043, 11445642 req, miss ratio 0.6693, byte miss ratio 0.6693
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size     3478, 11445642 req, miss ratio 0.5178, byte miss ratio 0.5178
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size    10434, 11445642 req, miss ratio 0.3332, byte miss ratio 0.3332
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size    34782, 11445642 req, miss ratio 0.1452, byte miss ratio 0.1452
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size    69565, 11445642 req, miss ratio 0.0840, byte miss ratio 0.0840
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size   139130, 11445642 req, miss ratio 0.0478, byte miss ratio 0.0478
cdn1_allcolo.ns105 S3FIFO-0.4000-1.9000 cache size   278260, 11445642 req, miss ratio 0.0314, byte miss ratio 0.0314
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size      347, 11445642 req, miss ratio 0.8210, byte miss ratio 0.8210
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size     1043, 11445642 req, miss ratio 0.7331, byte miss ratio 0.7331
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size     3478, 11445642 req, miss ratio 0.5790, byte miss ratio 0.5790
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size    10434, 11445642 req, miss ratio 0.3848, byte miss ratio 0.3848
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size    34782, 11445642 req, miss ratio 0.1771, byte miss ratio 0.1771
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size    69565, 11445642 req, miss ratio 0.1040, byte miss ratio 0.1040
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size   139130, 11445642 req, miss ratio 0.0590, byte miss ratio 0.0590
cdn1_allcolo.ns105 S3FIFO-0.8500-0.9000 cache size   278260, 11445642 req, miss ratio 0.0349, byte miss ratio 0.0349
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size      347, 11445642 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size     1043, 11445642 req, miss ratio 0.6317, byte miss ratio 0.6317
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size     3478, 11445642 req, miss ratio 0.4815, byte miss ratio 0.4815
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size    10434, 11445642 req, miss ratio 0.3072, byte miss ratio 0.3072
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size    34782, 11445642 req, miss ratio 0.1399, byte miss ratio 0.1399
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size    69565, 11445642 req, miss ratio 0.0760, byte miss ratio 0.0760
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size   139130, 11445642 req, miss ratio 0.0437, byte miss ratio 0.0437
cdn1_allcolo.ns105 S3FIFO-0.0010-1.9000 cache size   278260, 11445642 req, miss ratio 0.0313, byte miss ratio 0.0313
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size      347, 11445642 req, miss ratio 0.7357, byte miss ratio 0.7357
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size     1043, 11445642 req, miss ratio 0.6271, byte miss ratio 0.6271
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size     3478, 11445642 req, miss ratio 0.4748, byte miss ratio 0.4748
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size    10434, 11445642 req, miss ratio 0.3006, byte miss ratio 0.3006
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size    34782, 11445642 req, miss ratio 0.1335, byte miss ratio 0.1335
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size    69565, 11445642 req, miss ratio 0.0733, byte miss ratio 0.0733
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size   139130, 11445642 req, miss ratio 0.0435, byte miss ratio 0.0435
cdn1_allcolo.ns105 S3FIFO-0.0500-0.9000 cache size   278260, 11445642 req, miss ratio 0.0313, byte miss ratio 0.0313
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size      347, 11445642 req, miss ratio 0.7388, byte miss ratio 0.7388
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size     1043, 11445642 req, miss ratio 0.6308, byte miss ratio 0.6308
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size     3478, 11445642 req, miss ratio 0.4783, byte miss ratio 0.4783
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size    10434, 11445642 req, miss ratio 0.3032, byte miss ratio 0.3032
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size    34782, 11445642 req, miss ratio 0.1332, byte miss ratio 0.1332
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size    69565, 11445642 req, miss ratio 0.0743, byte miss ratio 0.0743
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size   139130, 11445642 req, miss ratio 0.0438, byte miss ratio 0.0438
cdn1_allcolo.ns105 S3FIFO-0.1000-0.9000 cache size   278260, 11445642 req, miss ratio 0.0313, byte miss ratio 0.0313
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size      347, 11445642 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size     1043, 11445642 req, miss ratio 0.6246, byte miss ratio 0.6246
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size     3478, 11445642 req, miss ratio 0.4733, byte miss ratio 0.4733
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size    10434, 11445642 req, miss ratio 0.3012, byte miss ratio 0.3012
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size    34782, 11445642 req, miss ratio 0.1377, byte miss ratio 0.1377
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size    69565, 11445642 req, miss ratio 0.0746, byte miss ratio 0.0746
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size   139130, 11445642 req, miss ratio 0.0437, byte miss ratio 0.0437
cdn1_allcolo.ns105 S3FIFO-0.0010-0.9000 cache size   278260, 11445642 req, miss ratio 0.0313, byte miss ratio 0.0313
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size      347, 11445642 req, miss ratio 0.7986, byte miss ratio 0.7986
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size     1043, 11445642 req, miss ratio 0.7041, byte miss ratio 0.7041
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size     3478, 11445642 req, miss ratio 0.5508, byte miss ratio 0.5508
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size    10434, 11445642 req, miss ratio 0.3589, byte miss ratio 0.3589
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size    34782, 11445642 req, miss ratio 0.1596, byte miss ratio 0.1596
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size    69565, 11445642 req, miss ratio 0.0931, byte miss ratio 0.0931
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size   139130, 11445642 req, miss ratio 0.0531, byte miss ratio 0.0531
cdn1_allcolo.ns105 S3FIFO-0.6500-1.9000 cache size   278260, 11445642 req, miss ratio 0.0324, byte miss ratio 0.0324
cdn1_allcolo.ns105 S3FIFO-0.7500-0.9000 cache size      347, 11445642 req, miss ratio 0.8062, byte miss ratio 0.8062
