tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size     2671, 44084830 req, miss ratio 0.7332, byte miss ratio 0.7332
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size     8013, 44084830 req, miss ratio 0.6528, byte miss ratio 0.6528
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size    26711, 44084830 req, miss ratio 0.5538, byte miss ratio 0.5538
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size    80133, 44084830 req, miss ratio 0.4081, byte miss ratio 0.4081
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size   267110, 44084830 req, miss ratio 0.2187, byte miss ratio 0.2187
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size   534221, 44084830 req, miss ratio 0.1409, byte miss ratio 0.1409
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size  1068442, 44084830 req, miss ratio 0.0904, byte miss ratio 0.0904
tencentBlock.ns3699 S3FIFO-0.7500-0.9000 cache size  2136884, 44084830 req, miss ratio 0.0648, byte miss ratio 0.0648
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size     2671, 44084830 req, miss ratio 0.7271, byte miss ratio 0.7271
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size     8013, 44084830 req, miss ratio 0.6395, byte miss ratio 0.6395
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size    26711, 44084830 req, miss ratio 0.5332, byte miss ratio 0.5332
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size    80133, 44084830 req, miss ratio 0.3892, byte miss ratio 0.3892
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size   267110, 44084830 req, miss ratio 0.1998, byte miss ratio 0.1998
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size   534221, 44084830 req, miss ratio 0.1268, byte miss ratio 0.1268
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size  1068442, 44084830 req, miss ratio 0.0832, byte miss ratio 0.0832
tencentBlock.ns3699 S3FIFO-0.4500-0.9000 cache size  2136884, 44084830 req, miss ratio 0.0635, byte miss ratio 0.0635
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size     2671, 44084830 req, miss ratio 0.7342, byte miss ratio 0.7342
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size     8013, 44084830 req, miss ratio 0.6542, byte miss ratio 0.6542
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size    26711, 44084830 req, miss ratio 0.5558, byte miss ratio 0.5558
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size    80133, 44084830 req, miss ratio 0.4065, byte miss ratio 0.4065
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size   267110, 44084830 req, miss ratio 0.2184, byte miss ratio 0.2184
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size   534221, 44084830 req, miss ratio 0.1409, byte miss ratio 0.1409
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size  1068442, 44084830 req, miss ratio 0.0904, byte miss ratio 0.0904
tencentBlock.ns3699 S3FIFO-0.7500-1.9000 cache size  2136884, 44084830 req, miss ratio 0.0648, byte miss ratio 0.0648
tencentBlock.ns3699 S3FIFO-0.6000-0.9000 cache size     2671, 44084830 req, miss ratio 0.7279, byte miss ratio 0.7279
tencentBlock.ns3699 S3FIFO-0.6000-0.9000 cache size     8013, 44084830 req, miss ratio 0.6452, byte miss ratio 0.6452
tencentBlock.ns3699 S3FIFO-0.6000-0.9000 cache size    26711, 44084830 req, miss ratio 0.5430, byte miss ratio 0.5430
