cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size        6, 3019062 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size       18, 3019062 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size       60, 3019062 req, miss ratio 0.1412, byte miss ratio 0.1412
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size      180, 3019062 req, miss ratio 0.0658, byte miss ratio 0.0658
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size      600, 3019062 req, miss ratio 0.0218, byte miss ratio 0.0218
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size     1201, 3019062 req, miss ratio 0.0103, byte miss ratio 0.0103
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size     2402, 3019062 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_colo28.ns1349 S3FIFO-0.0250-1.9000 cache size     4804, 3019062 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size        6, 3019062 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size       18, 3019062 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size       60, 3019062 req, miss ratio 0.1425, byte miss ratio 0.1425
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size      180, 3019062 req, miss ratio 0.0644, byte miss ratio 0.0644
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size      600, 3019062 req, miss ratio 0.0218, byte miss ratio 0.0218
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size     1201, 3019062 req, miss ratio 0.0104, byte miss ratio 0.0104
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size     2402, 3019062 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_colo28.ns1349 S3FIFO-0.0500-1.9000 cache size     4804, 3019062 req, miss ratio 0.0021, byte miss ratio 0.0021
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size        6, 3019062 req, miss ratio 0.4953, byte miss ratio 0.4953
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size       18, 3019062 req, miss ratio 0.3277, byte miss ratio 0.3277
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size       60, 3019062 req, miss ratio 0.1622, byte miss ratio 0.1622
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size      180, 3019062 req, miss ratio 0.0691, byte miss ratio 0.0691
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size      600, 3019062 req, miss ratio 0.0248, byte miss ratio 0.0248
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size     1201, 3019062 req, miss ratio 0.0118, byte miss ratio 0.0118
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size     2402, 3019062 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_colo28.ns1349 S3FIFO-0.4000-1.9000 cache size     4804, 3019062 req, miss ratio 0.0022, byte miss ratio 0.0022
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size        6, 3019062 req, miss ratio 0.5850, byte miss ratio 0.5850
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size       18, 3019062 req, miss ratio 0.4072, byte miss ratio 0.4072
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size       60, 3019062 req, miss ratio 0.2053, byte miss ratio 0.2053
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size      180, 3019062 req, miss ratio 0.0923, byte miss ratio 0.0923
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size      600, 3019062 req, miss ratio 0.0330, byte miss ratio 0.0330
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size     1201, 3019062 req, miss ratio 0.0160, byte miss ratio 0.0160
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size     2402, 3019062 req, miss ratio 0.0070, byte miss ratio 0.0070
cdn1_colo28.ns1349 S3FIFO-0.9500-1.9000 cache size     4804, 3019062 req, miss ratio 0.0028, byte miss ratio 0.0028
cdn1_colo28.ns1349 S3FIFO-0.6000-1.9000 cache size        6, 3019062 req, miss ratio 0.5188, byte miss ratio 0.5188
